# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	2				
2020-03-12	7				
2020-03-13	7				
2020-03-14	8				
2020-03-15	8				
2020-03-16	8				
2020-03-17	8				
2020-03-18	8	0			1
2020-03-19	9	0			1
2020-03-20	9	0			1
2020-03-21	9	0			1
2020-03-22	9	0			2
2020-03-23	9	0			2
2020-03-24	9	0			2
2020-03-25	9	0			2
2020-03-26	9	0			2
2020-03-27	9	0			2
2020-03-28	9	0			2
2020-03-29	9	0			2
2020-03-30	11	0			2
2020-03-31	11	0			2
2020-04-01	11	0			2
2020-04-02	12	0			2
2020-04-03	12	0			4
2020-04-04	12	0			4
2020-04-05	13	0			4
2020-04-06	13	0			4
2020-04-07	13	0			4
2020-04-08	13	0			5
2020-04-09	15	0			5
2020-04-10	15	0			5
2020-04-11	17	0			5
2020-04-12	17	0			9
2020-04-13	17	0			11
2020-04-14	19	0			11
2020-04-15	20	0			11
2020-04-16	26	1			11
2020-04-17	32	1			11
2020-04-18	35	1			11
2020-04-19	36	1			11
2020-04-20	39	1			11
2020-04-21	41	1			11
2020-04-22	43	1			11
2020-04-23	43	1			11
2020-04-24	45	1			11
2020-04-25	45	1			16
2020-04-26	45	1			16
2020-04-27	45	1			16
2020-04-28	45	1			16
2020-04-29	45	1			19
2020-04-30	45	1			19
2020-05-01	45	1			19
2020-05-02	45	1			19
2020-05-03	45	1			19
2020-05-04	45	1			19
2020-05-05	45	1			20
2020-05-06	45	1			29
2020-05-07	45	1			29
2020-05-08	45	1			30
2020-05-09	45	1			32
2020-05-10	45	1			33
2020-05-11	45	1			34
2020-05-12	45	1			34
2020-05-13	45	1			34
2020-05-14	45	1			36
2020-05-15	45	1			37
2020-05-16	45	1			37
2020-05-17	45	1			38
2020-05-18	45	1			39
2020-05-19	45	1			39
2020-05-20	45	1			39
2020-05-21	45	1			39
2020-05-22	45	1			39
2020-05-23	45	1			39
2020-05-24	45	1			40
2020-05-25	45	1			40
2020-05-26	45	1			41
2020-05-27	45	1			41
2020-05-28	45	1			41
2020-05-29	45	1			41
2020-05-30	45	1			41
2020-05-31	45	1			44
2020-06-01	45	1			44
2020-06-02	45	1			44
2020-06-03	45	1			44
2020-06-04	45	1			44
2020-06-05	45	1			44
2020-06-06	45	1			44
2020-06-07	45	1			44
2020-06-08	45	1			44
2020-06-09	45	1			44
2020-06-10	45	1			44
2020-06-11	45	1			44
2020-06-12	45	1			44
2020-06-13	45	1			44
2020-06-14	45	1			44
2020-06-15	45	1			44
2020-06-16	45	1			44
2020-06-17	45	1			44
2020-06-18	45	1			44
2020-06-19	46	1			44
2020-06-20	46	1			44
2020-06-21	46	1			44
2020-06-22	46	1			44
2020-06-23	46	1			44
2020-06-24	46	1			44
2020-06-25	46	1			44
2020-06-26	46	1			44
2020-06-27	46	1			44
2020-06-28	46	1			44
2020-06-29	46	1			44
2020-06-30	46	1			45
2020-07-01	46	1			45
2020-07-02	46	1			45
2020-07-03	46	1			45
2020-07-04	46	1			45
2020-07-05	46	1			45
2020-07-06	46	1			45
2020-07-07	46	1			45
2020-07-08	46	1			45
2020-07-09	46	1			45
2020-07-10	46	1			45
