# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	0				
2020-03-18	0				
2020-03-19	0				
2020-03-20	0				
2020-03-21	0				
2020-03-22	1	0			0
2020-03-23	1	0			0
2020-03-24	1	0			0
2020-03-25	1	0			0
2020-03-26	1	0			0
2020-03-27	2	0			0
2020-03-28	3	0			0
2020-03-29	3	0			0
2020-03-30	4	0			0
2020-03-31	4	0			0
2020-04-01	4	0			0
2020-04-02	7	0			0
2020-04-03	9	0			0
2020-04-04	10	0			0
2020-04-05	11	0			0
2020-04-06	11	0			0
2020-04-07	12	0			0
2020-04-08	15	0			0
2020-04-09	16	0			0
2020-04-10	16	0			1
2020-04-11	16	0			1
2020-04-12	16	0			1
2020-04-13	16	0			1
2020-04-14	16	0			1
2020-04-15	16	0			1
2020-04-16	18	0			1
2020-04-17	18	0			1
2020-04-18	18	0			3
2020-04-19	19	0			3
2020-04-20	19	0			4
2020-04-21	19	0			4
2020-04-22	19	0			4
2020-04-23	19	0			5
2020-04-24	20	0			5
2020-04-25	21	0			5
2020-04-26	22	0			5
2020-04-27	22	0			5
2020-04-28	22	0			5
2020-04-29	23	0			5
2020-04-30	23	0			10
2020-05-01	23	0			10
2020-05-02	23	0			10
2020-05-03	23	0			10
2020-05-04	23	0			10
2020-05-05	23	0			10
2020-05-06	23	0			10
2020-05-07	23	0			11
2020-05-08	23				15
2020-05-09	24				15
2020-05-10	24				15
2020-05-11	24				18
2020-05-12	25				18
2020-05-13	25				21
2020-05-14	25				21
2020-05-15	25				23
2020-05-16	25				23
2020-05-17	25				23
2020-05-18	25				23
2020-05-19	25				23
2020-05-20	25				24
2020-05-21	25				25
2020-05-22	25				25
2020-05-23	25				25
2020-05-24	25				25
2020-05-25	25				25
2020-05-26	25				25
2020-05-27	25				25
2020-05-28	25				25
2020-05-29	25				25
2020-05-30	25				25
2020-05-31	25				25
2020-06-01	25				25
2020-06-02	25				25
2020-06-03	25				25
2020-06-04	25				25
2020-06-05	25				25
2020-06-06	25				25
2020-06-07	25				25
2020-06-08	25				25
2020-06-09	25				25
2020-06-10	25				25
2020-06-11	25				25
2020-06-12	25				25
2020-06-13	25				25
2020-06-14	25				25
2020-06-15	25				25
2020-06-16	25				25
2020-06-17	25				25
2020-06-18	25				25
2020-06-19	25				25
2020-06-20	25				25
2020-06-21	25				25
2020-06-22	25				25
2020-06-23	25				25
2020-06-24	26				25
2020-06-25	26				25
2020-06-26	26				25
2020-06-27	26				25
