# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0				
2020-03-12	0				
2020-03-13	0				
2020-03-14	0				
2020-03-15	0				
2020-03-16	0				
2020-03-17	0				
2020-03-18	0				
2020-03-19	0				
2020-03-20	0				
2020-03-21	0				
2020-03-22	0				
2020-03-23	0				
2020-03-24	0				
2020-03-25	0				
2020-03-26	0				
2020-03-27	0				
2020-03-28	0				
2020-03-29	0				
2020-03-30	0				
2020-03-31	0				
2020-04-01	0				
2020-04-02	0				
2020-04-03	0				
2020-04-04	0				
2020-04-05	0				
2020-04-06	0				
2020-04-07	0				
2020-04-08	0				
2020-04-09	1	0			0
2020-04-10	2	0			0
2020-04-11	6	0			0
2020-04-12	7	0			0
2020-04-13	8	0			0
2020-04-14	10	0			0
2020-04-15	13	0			0
2020-04-16	14	0			0
2020-04-17	15	0			0
2020-04-18	15	0			0
2020-04-19	16	0			0
2020-04-20	16	0			0
2020-04-21	16	0			0
2020-04-22	16	0			0
2020-04-23	16	0			2
2020-04-24	16	0			2
2020-04-25	16	0			2
2020-04-26	22	0			2
2020-04-27	22	0			2
2020-04-28	23	0			2
2020-04-29	23	0			3
2020-04-30	23	0			7
2020-05-01	23	0			7
2020-05-02	23	0			7
2020-05-03	24	0			7
2020-05-04	24	0			7
2020-05-05	24	0			9
2020-05-06	24	0			9
2020-05-07	24	0			10
2020-05-08	24				10
2020-05-09	24				11
2020-05-10	24				11
2020-05-11	24				12
2020-05-12	24	0			12
2020-05-13	24	0			14
2020-05-14	24	0			15
2020-05-15	24	0			16
2020-05-16	24	0			16
2020-05-17	24	0			16
2020-05-18	24	0			16
2020-05-19	24	0			16
2020-05-20	24	0			16
2020-05-21	24	0			19
2020-05-22	24	0			20
2020-05-23	24	0			20
2020-05-24	24	0			20
2020-05-25	24	0			20
2020-05-26	24	0			20
2020-05-27	24	0			20
2020-05-28	24	0			22
2020-05-29	24	0			22
2020-05-30	24	0			22
2020-05-31	24	0			22
2020-06-01	24	0			22
2020-06-02	24	0			22
2020-06-03	24	0			23
2020-06-04	24	0			23
2020-06-05	24	0			23
2020-06-06	24	0			23
2020-06-07	24	0			23
2020-06-08	24	0			23
2020-06-09	24	0			23
2020-06-10	24	0			23
2020-06-11	24	0			23
2020-06-12	24	0			23
2020-06-13	24	0			23
2020-06-14	24	0			23
2020-06-15	24	0			23
2020-06-16	24	0			23
2020-06-17	24	0			23
2020-06-18	24	0			23
2020-06-19	24	0			23
2020-06-20	24	0			23
2020-06-21	24	0			23
2020-06-22	24	0			23
2020-06-23	24	0			23
2020-06-24	24	0			23
2020-06-25	24	0			23
2020-06-26	24	0			23
2020-06-27	24	0			23
