# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-02-05	16	0			4
2020-02-06	16	0			4
2020-02-07	16	0	7	0	9
2020-02-10	16	0	6	0	10
2020-02-12	17	0	6	0	11
2020-02-13	21	1	9	0	11
2020-02-14	46	1	24	3	12
2020-02-17	53	1	31	3	12
2020-02-18	60	1	35	6	14
2020-02-19	70	1	43	7	16
2020-02-20	79	1	52	9	16
2020-02-21	90	1	62	10	17
2020-02-22	114	1	84	11	17
2020-02-23	126	1	96	13	17
2020-02-24	140	1	110	14	18
2020-02-25	149	1	113	15	23
2020-02-26	171	3	127	16	30
2020-02-27	195	4	150	20	30
2020-02-28	215	5	162	22	31
2020-02-29	224	5	174	23	31
2020-03-01	239	6	188	23	32
2020-03-02	253	6	194	24	35
2020-03-03	269	6	209	24	37
2020-03-04	302	6	238	27	38
2020-03-05	333	6	246	30	56
2020-03-06	392	6	296	28	63
2020-03-07	439	6	334	27	67
2020-03-08	472	7	343	33	88
2020-03-09	498	9	360	31	89
2020-03-10	552	12	392	26	103
2020-03-11	604	15	434	29	108
2020-03-12	659	19	468	32	120
2020-03-13	699	21	497	35	129
2020-03-14	762	22	536	36	142
2020-03-15	794	24	550	41	149
2020-03-16	809	28	556	46	156
2020-03-17	853	29	579	46	176
2020-03-18	892	31	590	49	200
2020-03-19	928	33	614	50	212
2020-03-20	981	35	650	55	217
2020-03-21	1015	36	648	57	257
2020-03-22	1057	41	669	54	270
2020-03-23	1095	42	689	55	285
2020-03-24	1160	43	739	57	294
2020-03-25	1253	45	765	56	343
2020-03-26	1348	46	828	56	356
2020-03-27	1452	49	948	60	388
2020-03-28	1646	52	1187	59	408
2020-03-29	1819	54	1358	59	408
2020-03-30	1886	56	1423	59	408
2020-03-31	1860	57	1594	60	456
2020-04-01	2084	60	1757	62	489
2020-04-02	2337	63	1980	64	498
2020-04-03	2674	69	2227	69	559
2020-04-04	3044	70	2553	70	568
2020-04-05	3430	73	2921	79	575
2020-04-06	3700	80	3132	80	605
2020-04-07	4077	81	3472	99	615
2020-04-08	4627	85	3914	109	668
2020-04-09	5199	88	4461	117	697
2020-04-10	5907	94	5063	122	745
2020-04-11	6583	98	5751	129	767
2020-04-12	7154	102	6239	135	782
2020-04-13	7487	132	6564	152	836
2020-04-14	7998	147	6961	168	884
2020-04-15	8509	170	7388	193	918
2020-04-16	9105	185	7884	207	995
2020-04-17	9680	198	8448	211	1052
2020-04-18	10270	210	8916	217	1142
2020-04-19	10642	223	9215	231	1222
2020-04-20	11007	244	9449	232	1955
2020-04-21	11381	277	9740	241	2023
2020-04-22	11831	287	10082	259	2391
2020-04-23	12276	317	10469	263	2519
2020-04-24	12727	334	10801	287	2645
2020-04-25	13101	348	11046	296	2798
2020-04-26	13322	351	11175	300	2888
2020-04-27	13511	376	11252	305	3170
2020-04-28	13795	389	11427	306	3357
2020-04-29	14022	415	11585	308	3449
2020-04-30	14221	432	11424	328	3964
2020-05-01	14487	458	11558	324	4194
2020-05-02	14789	492	11724	321	4368
2020-05-03	14993	510	11823	308	4479
2020-05-04	15170	521	11935	309	4570
2020-05-05	15290	543	11731	308	4901
2020-05-06	15396	551	11638	300	5129
2020-05-07	15492	557	11286	287	5889
2020-05-08	15581	600	6302	266	8110
2020-05-09	15689	613	6250	267	8276
2020-05-10	15757	621	6074	249	8514
2020-05-11	15807	643	5914	243	8903
2020-05-12	15887	668	5162	259	9851
2020-05-13	15941	687	4732	245	10321
2020-05-14	16041	710	4339	237	10792
2020-05-15	16093	725	4025	232	11136
2020-05-16	16150	744	3787	230	11398
2020-05-17	16180	752	3667	228	11547
2020-05-18	16210	763	3400	213	11867
2020-05-19	16241	771	3009	210	12269
2020-05-20	16279	777	2761	195	12655
2020-05-21	16322	796	2495	176	12988
2020-05-22	16353	808	2293	174	13227
2020-05-23	16382	820	2130	168	13396
2020-05-24	16422	830	2111	165	13446
2020-05-25	16442	846	1939	155	13643
2020-05-26	16469	858	1788	147	13806
2020-05-27	16506	867	1637	136	13979
2020-05-28	16567	874	1556	131	14085
2020-05-29	16631	886	1466	123	14237
2020-05-30	16677	891	1452	119	14290
2020-05-31	16709	892	1436	115	14333
2020-06-01	16745	894	1341	113	14481
2020-06-02	16796	900	1270	101	14602
2020-06-03	16822	903	1207	102	14690
2020-06-04	16867	907	1141	98	14795
2020-06-05	16911	914	1064	99	14901
2020-06-06	16926	916	1042	98	14961
2020-06-07	16958	916	1060	99	14970
2020-06-08	16980	916	1028	92	15035
2020-06-09	17010	919	965	91	15120
2020-06-10	17046	920	923	88	15200
2020-06-11	17086	922	854	82	15308
2020-06-12	17143	924	810	76	15395
2020-06-13	17186	925	801	73	15451
2020-06-14	17248	925	819	71	15493
2020-06-15	17308	927	871	80	15508
2020-06-16	17344	931	760	70	15657
2020-06-17	17388	935	712	62	15737
2020-06-18	17458	935	707	62	15811
2020-06-19	17512	952	677	61	15880
2020-06-20	17573	953	711	59	15911
2020-06-21	17631	953	732	59	15936
2020-06-22	17670	955	706	62	16007
2020-06-23	17713	963	698	60	16058
2020-06-24	17807	967	713	58	16116
2020-06-25	17881	968	727	51	16188
2020-06-26	17981	970	757	48	16248
2020-06-26	18069	970	790	45	16301
