# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	3	0			
2020-03-03	5	0			
2020-03-04	12	0			
2020-03-05	12	0			
2020-03-06	17	0			
2020-03-07	17	0			
2020-03-08	19	0			
2020-03-09	20	0			
2020-03-10	20	0			
2020-03-11	20	0			
2020-03-12	24	1			
2020-03-13	26	2			
2020-03-14	37	3			
2020-03-15	48	4			
2020-03-16	54	4			
2020-03-17	60	4			
2020-03-18	74	7			
2020-03-19	87	9			
2020-03-20	90	11			
2020-03-21	139	15			
2020-03-22	201	17			
2020-03-23	230	17			
2020-03-24	264	19			
2020-03-25	302	21			
2020-03-26	367	25			
2020-03-27	409	26			
2020-03-28	454	29			
2020-03-29	511	31			
2020-03-30	584	35			
2020-03-31	716	44			
2020-04-01	847	58			
2020-04-02	986	86			
2020-04-03	1171	105			
2020-04-04	1251	130			
2020-04-05	1320	152			
2020-04-06	1423	173			
2020-04-07	1468	193			
2020-04-08	1572	205			
2020-04-09	1666	235			
2020-04-10	1761	256			
2020-04-11	1825	275			
2020-04-12	1914	293			
2020-04-13	1983	313			
2020-04-14	2070	326			
2020-04-15	2160	336			
2020-04-16	2268	348			
2020-04-17	2418	364			
2020-04-18	2534	367			
2020-04-19	2629	375			
2020-04-20	2718	384			
2020-04-21	2811	392			
2020-04-22	2910	402			
2020-04-23	3007	407			
2020-04-24	3127	415			
2020-04-25	3256	419			
2020-04-26	3382	425			
2020-04-27	3517	432			
2020-04-28	3649	437			
2020-04-29	3848	444			
2020-04-30	4006	450			
2020-05-01	4154	453			
2020-05-02	4295	459			
2020-05-03	4474	463			
2020-05-04	4648	465			
2020-05-05	4838	470			
2020-05-06	4997	476			
2020-05-07	5182	483			
2020-05-08	5369	488			
2020-05-09	5558	494			
2020-05-10	5723	502			
2020-05-11	5891	507			
2020-05-12	6067	515			
2020-05-13	6253	522			
2020-05-14	6442	529			
2020-05-15	6629	536			
2020-05-16	6821	542			
2020-05-17	7019	548			
2020-05-18	7201	555			
2020-05-19	7377	561			
2020-05-20	7542	568			
2020-05-21	7728	575			
2020-05-22	7918	582			
2020-05-23	8113	592			
2020-05-24	8306	600			
2020-05-25	8503	609			
2020-05-26	8697	617			
2020-05-27	8857	623			
2020-05-28	8997	630			
2020-05-29	9134	638			
2020-05-30	9267	646			
2020-05-31	9394	653			
2020-06-01	9513	661			
2020-06-02	9626	667			
2020-06-03	9733	673			
2020-06-04	9831	681			
2020-06-05	9935	690			
2020-06-06	10050	698			
2020-06-07	10154	707			
2020-06-08	10265	715			
2020-06-09	10382	724			
2020-06-10	10484	732			
2020-06-11	10589	741			
2020-06-12	10698	751			
2020-06-13	10810	760			
2020-06-14	10919	767			
2020-06-15	11031	777			
2020-06-16	11147	788			
2020-06-17	11268	799			
2020-06-18	11385	811			
2020-06-19	11504	825			
2020-06-20	11631	837			
2020-06-21	11771	845			
2020-06-22	11920	852			
2020-06-23	12076	861			
2020-06-24	12248	869			
2020-06-25	12445	878			
2020-06-26	12685	885			
2020-06-27	12968	892			
2020-06-28	13273	897			
2020-06-29	13571	905			
2020-06-30	13907	912			
2020-07-01	14272	920			
2020-07-02	14657	928			
2020-07-03	15070	937			
2020-07-04	15500	946			
2020-07-05	15941	952			
2020-07-06	16404	959			
2020-07-07	16879	968			
2020-07-08	17348	978			
2020-07-09	17808	988			
2020-07-10	18242	996			
2020-07-11	18712	1004			
2020-07-12	19195	1011			
2020-07-13	19689	1018			
2020-07-14	20216	1028			
2020-07-15	20770	1040			
2020-07-16	21355	1052			
2020-07-17	21948	1057			
2020-07-18	22549	1068			
2020-07-19	23084	1078			
2020-07-20	23691	1087			
2020-07-21	24278	1100			
2020-07-22	24872	1111			
2020-07-23	25484	1124			
2020-07-24	26159	1136			
2020-07-25	26764	1146			
2020-07-26	27357	1155			
2020-07-27	27973	1163			
2020-07-28	28615	1174			
2020-07-29	29229	1186			
2020-07-30	29831	1200			
2020-07-31	30394	1210			
2020-08-01	30950	1223			
2020-08-02	31465	1231			
2020-08-03	31972	1239			
2020-08-04	32504	1248			
2020-08-05	33055	1261			
2020-08-06	33626	1273			
2020-08-07	34155	1282			
2020-08-08	34693	1293			
2020-08-09	35160	1302			
2020-08-10	35712	1312			
2020-08-11	36204	1322			
2020-08-12	36699	1333			
2020-08-13	37187	1341			
2020-08-14	37664	1351			
2020-08-15	38133	1360			
2020-08-16	38583	1370			
2020-08-17	39025	1379			
2020-08-18	39444	1391			
2020-08-19	39847	1402			
2020-08-20	40258	1411			
2020-08-21	40667	1418			
2020-08-22	41068	1424			
2020-08-23	41460	1435			
2020-08-24	41858	1446			
2020-08-25	42228	1456			
2020-08-26	42619	1465			
2020-08-27	43016	1475			
2020-08-28	43403	1483			
2020-08-29	43781	1491			
2020-08-30	44146	1501			
2020-08-31	44494	1510			
