# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	2	0			
2020-03-17	3	0			
2020-03-18	4	0			
2020-03-19	4	0			
2020-03-20	5	0			
2020-03-21	5	0			
2020-03-22	9	0			
2020-03-23	9	0			
2020-03-24	12	0			
2020-03-25	17	0			
2020-03-26	28	0			
2020-03-27	33	0			
2020-03-28	46	0			
2020-03-29	50	0			
2020-03-30	50	0			
2020-03-31	55	0			
2020-04-01	55	0			
2020-04-02	60	0			
2020-04-03	62	0			
2020-04-04	64	0			
2020-04-05	64	0			
2020-04-06	71	0			
2020-04-07	74	0			
2020-04-08	77	0			
2020-04-09	82	0			
2020-04-10	86	0			
2020-04-11	92	0			
2020-04-12	92	0			
2020-04-13	92	0			
2020-04-14	92	0			
2020-04-15	93	1			
2020-04-16	95	2			
2020-04-17	96	2			
2020-04-18	96	2			
2020-04-19	97	2			
2020-04-20	97	2			
2020-04-21	97	2			
2020-04-22	100	2			
2020-04-23	100	2			
2020-04-24	100	2			
2020-04-25	100	2			
2020-04-26	100	2			
2020-04-27	100	2			
2020-04-28	100	2			
2020-04-29	100	2			
2020-04-30	100	2			
2020-05-01	100	2			
2020-05-02	100	2			
2020-05-03	100	2			
2020-05-04	100	2			
2020-05-05	101	2			
2020-05-06	101	2			
2020-05-07	101	3			
2020-05-08	101	3			
2020-05-09	101	3			
2020-05-10	101	3			
2020-05-11	101	3			
2020-05-12	101	3			
2020-05-13	101	3			
2020-05-14	101	3			
2020-05-15	101	3			
2020-05-16	101	3			
2020-05-17	101	3			
2020-05-18	101	3			
2020-05-19	101	3			
2020-05-20	101	3			
2020-05-21	101	3			
2020-05-22	101	3			
2020-05-23	101	3			
2020-05-24	101	3			
2020-05-25	101	3			
2020-05-26	101	3			
2020-05-27	101	3			
2020-05-28	101	3			
2020-05-29	101	3			
2020-05-30	101	3			
2020-05-31	101	3			
2020-06-01	101	3			
2020-06-02	101	3			
2020-06-03	101	3			
2020-06-04	101	3			
2020-06-05	101	3			
2020-06-06	101	3			
2020-06-07	101	3			
2020-06-08	101	3			
2020-06-09	101	3			
2020-06-10	101	3			
2020-06-11	101	3			
2020-06-12	101	3			
2020-06-13	101	3			
2020-06-14	101	3			
2020-06-15	101	3			
2020-06-16	101	3			
2020-06-17	101	3			
2020-06-18	101	3			
2020-06-19	101	3			
2020-06-20	101	3			
2020-06-21	101	3			
2020-06-22	101	3			
2020-06-23	101	3			
2020-06-24	101	3			
2020-06-25	101	3			
2020-06-26	101	3			
2020-06-27	101	3			
