# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	2	0			
2020-03-19	2	0			
2020-03-20	2	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	5	0			
2020-03-24	6	0			
2020-03-25	6	0			
2020-03-26	6	0			
2020-03-27	6	0			
2020-03-28	6	0			
2020-03-29	6	0			
2020-03-30	6	0			
2020-03-31	9	0			
2020-04-01	13	0			
2020-04-02	13	0			
2020-04-03	16	0			
2020-04-04	16	0			
2020-04-05	22	0			
2020-04-06	26	1			
2020-04-07	26	1			
2020-04-08	26	1			
2020-04-09	26	1			
2020-04-10	35	1			
2020-04-11	35	1			
2020-04-12	35	1			
2020-04-13	35	1			
2020-04-14	35	1			
2020-04-15	35	1			
2020-04-16	35	1			
2020-04-17	35	1			
2020-04-18	35	1			
2020-04-19	35	1			
2020-04-20	54	1			
2020-04-21	54	1			
2020-04-22	54	1			
2020-04-23	54	1			
2020-04-24	54	1			
2020-04-25	54	1			
2020-04-26	64	1			
2020-04-27	64	1			
2020-04-28	64	1			
2020-04-29	64	1			
2020-04-30	64	1			
2020-05-01	90	2			
2020-05-02	90	2			
2020-05-03	90	2			
2020-05-04	96	2			
2020-05-05	96	2			
2020-05-06	96	2			
2020-05-07	140	2			
2020-05-08	242	2			
2020-05-09	284	2			
2020-05-10	319	2			
2020-05-11	319	2			
2020-05-12	327	2			
2020-05-13	327	2			
2020-05-14	339	2			
2020-05-15	339	2			
2020-05-16	339	2			
2020-05-17	339	2			
2020-05-18	339	2			
2020-05-19	130	2			
2020-05-20	130	2			
2020-05-21	135	3			
2020-05-22	135	3			
2020-05-23	135	3			
2020-05-24	191	3			
2020-05-25	191	3			
2020-05-26	208	3			
2020-05-27	210	3			
2020-05-28	210	3			
2020-05-29	224	3			
2020-05-30	224	3			
2020-05-31	232	3			
2020-06-01	243	3			
2020-06-02	244	3			
2020-06-03	244	3			
2020-06-04	261	3			
2020-06-05	261	3			
2020-06-06	261	3			
2020-06-07	261	3			
2020-06-08	288	4			
2020-06-09	305	4			
2020-06-10	305	4			
2020-06-11	305	4			
