# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-05	2	0			
2020-03-06	2	0			
2020-03-07	3	0			
2020-03-08	3	0			
2020-03-09	3	0			
2020-03-10	5	0			
2020-03-11	7	0			
2020-03-12	11	0			
2020-03-13	13	0			
2020-03-14	18	0			
2020-03-15	24	0			
2020-03-16	25	0			
2020-03-17	26	0			
2020-03-18	38	0			
2020-03-19	63	0			
2020-03-20	89	0			
2020-03-21	93	1			
2020-03-22	126	1			
2020-03-23	136	1			
2020-03-24	166	3			
2020-03-25	176	3			
2020-03-26	191	3			
2020-03-27	237	4			
2020-03-28	258	5			
2020-03-29	323	6			
2020-03-30	368	10			
2020-03-31	420	13			
2020-04-01	459	13			
2020-04-02	533	16			
2020-04-03	579	17			
2020-04-04	624	21			
2020-04-05	654	23			
2020-04-06	674	29			
2020-04-07	764	33			
2020-04-08	804	34			
2020-04-09	858	35			
2020-04-10	901	36			
2020-04-11	946	37			
2020-04-12	1009	39			
2020-04-13	1037	39			
2020-04-14	1083	40			
2020-04-15	1110	41			
2020-04-16	1167	43			
2020-04-17	1214	46			
2020-04-18	1268	47			
2020-04-19	1285	48			
2020-04-20	1309	49			
2020-04-21	1342	51			
2020-04-22	1368	53			
2020-04-23	1413	54			
2020-04-24	1421	55			
2020-04-25	1486	57			
2020-04-26	1516	59			
2020-04-27	1565	60			
2020-04-28	1585	63			
2020-04-29	1677	65			
2020-04-30	1757	69			
2020-05-01	1781	70			
2020-05-02	1839	72			
2020-05-03	1857	77			
2020-05-04	1926	78			
2020-05-05	1946	79			
2020-05-06	1987	86			
2020-05-07	2027	90			
2020-05-08	2070	98			
2020-05-09	2090	102			
2020-05-10	2117	107			
2020-05-11	2141	113			
2020-05-12	2158	117			
2020-05-13	2181	120			
2020-05-14	2218	122			
2020-05-15	2236	128			
2020-05-16	2267	129			
2020-05-17	2290	133			
2020-05-18	2304	133			
2020-05-19	2321	134			
2020-05-20	2338	136			
2020-05-21	2350	140			
2020-05-22	2372	141			
2020-05-23	2391	141			
2020-05-24	2401	144			
2020-05-25	2406	146			
2020-05-26	2416	149			
2020-05-27	2435	151			
2020-05-28	2462	153			
2020-05-29	2485	153			
2020-05-30	2494	153			
2020-05-31	2510	153			
2020-06-01	2524	154			
2020-06-02	2535	157			
2020-06-03	2551	157			
2020-06-04	2594	159			
2020-06-05	2606	159			
2020-06-06	2606	159			
2020-06-07	2606	159			
2020-06-08	2704	160			
2020-06-09	2728	160			
2020-06-10	2775	161			
2020-06-11	2832	161			
2020-06-12	2893	163			
2020-06-13	2893	163			
2020-06-14	2893	163			
2020-06-15	3040	165			
2020-06-16	3085	168			
2020-06-17	3141	168			
2020-06-18	3174	168			
2020-06-19	3273	169			
2020-06-20	3273	169			
2020-06-21	3273	169			
2020-06-22	3525	171			
2020-06-23	3588	172			
2020-06-24	3676	173			
2020-06-25	3796	175			
2020-06-26	3935	178			
2020-06-27	3935	178			
2020-06-28	3935	178			
2020-06-29	4325	184			
2020-06-30	4453	186			
2020-07-01	4606	188			
2020-07-02	4788	189			
2020-07-03	4962	191			
2020-07-04	4962	191			
2020-07-05	4962	191			
2020-07-06	5458	199			
2020-07-07	5621	207			
2020-07-08	5869	209			
2020-07-09	6086	214			
2020-07-10	6402	216			
2020-07-11	6719	219			
2020-07-12	6877	221			
2020-07-13	6981	226			
2020-07-14	6981	226			
2020-07-15	7411	235			
2020-07-16	7681	240			
2020-07-17	7908	245			
2020-07-18	8161	246			
2020-07-19	8340	249			
2020-07-20	8479	255			
2020-07-21	8787	264			
2020-07-22	9115	268			
2020-07-23	9462	274			
2020-07-24	9767	280			
2020-07-25	9767	280			
2020-07-26	9767	280			
2020-07-27	10498	294			
