# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	4	0			
2020-03-09	4	0			
2020-03-10	4	0			
2020-03-11	7	1			
2020-03-12	7	1			
2020-03-13	23	1			
2020-03-14	41	2			
2020-03-15	51	2			
2020-03-16	52	2			
2020-03-17	67	2			
2020-03-18	92	2			
2020-03-19	94	3			
2020-03-20	127	3			
2020-03-21	163	3			
2020-03-22	187	3			
2020-03-23	201	3			
2020-03-24	218	3			
2020-03-25	242	3			
2020-03-26	264	3			
2020-03-27	293	3			
2020-03-28	331	7			
2020-03-29	346	8			
2020-03-30	359	8			
2020-03-31	399	8			
2020-04-01	422	10			
2020-04-02	457	10			
2020-04-03	485	14			
2020-04-04	503	17			
2020-04-05	531	20			
2020-04-06	549	22			
2020-04-07	577	23			
2020-04-08	593	24			
2020-04-09	618	24			
2020-04-10	635	25			
2020-04-11	661	28			
2020-04-12	675	29			
2020-04-13	685	32			
2020-04-14	713	35			
2020-04-15	747	36			
2020-04-16	800	38			
2020-04-17	846	41			
2020-04-18	878	41			
2020-04-19	894	42			
2020-04-20	929	43			
2020-04-21	975	45			
2020-04-22	1024	49			
2020-04-23	1097	52			
2020-04-24	1234	54			
2020-04-25	1247	55			
2020-04-26	1300	56			
2020-04-27	1363	58			
2020-04-28	1399	58			
2020-04-29	1447	64			
2020-04-30	1506	66			
2020-05-01	1555	68			
2020-05-02	1594	72			
2020-05-03	1618	73			
2020-05-04	1652	78			
2020-05-05	1704	80			
2020-05-06	1778	84			
2020-05-07	1829	84			
2020-05-08	1872	86			
2020-05-09	1921	90			
2020-05-10	1965	91			
2020-05-11	1990	93			
2020-05-12	2023	95			
2020-05-13	2069	96			
2020-05-14	2100	99			
2020-05-15	2138	102			
2020-05-16	2175	105			
2020-05-17	2211	108			
2020-05-18	2235	110			
2020-05-19	2259	112			
2020-05-20	2292	116			
2020-05-21	2331	120			
2020-05-22	2372	125			
2020-05-23	2408	126			
2020-05-24	2427	130			
2020-05-25	2433	130			
2020-05-26	2443	130			
2020-05-27	2460	133			
2020-05-28	2477	134			
2020-05-29	2485	136			
2020-05-30	2499	139			
2020-05-31	2513	140			
2020-06-01	2519	140			
2020-06-02	2538	144			
2020-06-03	2560	146			
2020-06-04	2585	147			
2020-06-05	2627	159			
2020-06-06	2711	160			
2020-06-07	2727	160			
2020-06-08	2810	164			
2020-06-09	2889	167			
2020-06-10	2993	167			
2020-06-11	3086	168			
2020-06-12	3191	172			
2020-06-13	3266	172			
2020-06-14	3290	174			
2020-06-15	3341	176			
2020-06-16	3453	181			
2020-06-17	3542	184			
2020-06-18	3674	190			
2020-06-19	3755	193			
2020-06-20	3872	199			
2020-06-21	3905	199			
2020-06-22	3984	207			
2020-06-23	4114	208			
2020-06-24	4242	209			
2020-06-25	4408	211			
2020-06-26	4513	215			
2020-06-27	4625	216			
2020-06-28	4691	219			
2020-06-29	4831	223			
2020-06-30	4989	230			
2020-07-01	5154	232			
2020-07-02	5315	232			
2020-07-03	5497	239			
2020-07-04	5677	241			
2020-07-05	5740	246			
2020-07-06	5914	250			
2020-07-07	6102	254			
2020-07-08	6342	259			
2020-07-09	6672	262			
2020-07-10	6964	267			
2020-07-11	7175	267			
2020-07-12	7252	268			
2020-07-13	7411	276			
2020-07-14	7645	283			
2020-07-15	7877	289			
2020-07-16	8144	293			
2020-07-17	8442	297			
2020-07-18	8638	299			
2020-07-19	8733	300			
2020-07-20	8929	308			
2020-07-21	9254	313			
2020-07-22	9584	321			
2020-07-23	9853	329			
2020-07-24	10123	337			
2020-07-25	10312	338			
2020-07-26	10427	340			
2020-07-27	10621	347			
2020-07-28	10871	355			
2020-07-29	11155	368			
2020-07-30	11420	374			
2020-07-31	11690	383			
2020-08-01	11836	385			
2020-08-02	11955	388			
2020-08-03	12159	404			
2020-08-04	12414	415			
2020-08-05	12717	424			
2020-08-06	13014	435			
2020-08-07	13209	442			
2020-08-08	13343	445			
2020-08-09	13396	447			
2020-08-10	13512	459			
2020-08-11	13722	471			
2020-08-12	13893	482			
2020-08-13	13893	482			
2020-08-14	14243	492			
2020-08-15	14333	495			
2020-08-16	14365	498			
2020-08-17	14500	512			
2020-08-18	14669	519			
2020-08-19	14820	527			
2020-08-20	14962	532			
2020-08-21	15131	539			
2020-08-22	15131	539			
2020-08-23	15287	545			
2020-08-24	15386	563			
2020-08-25	15589	572			
2020-08-26	15751	586			
2020-08-27	15908	594			
2020-08-28	16065	603			
2020-08-29	16164	605			
2020-08-30	16190	613			
2020-08-31	16266	629			
2020-09-01	16454	642			
2020-09-02	16617	648			
2020-09-03	16775	658			
2020-09-04	16954	665			
2020-09-05	17050	671			
2020-09-06	17089	676			
2020-09-07	17146	677			
2020-09-08	17313	692			
2020-09-09	17435	702			
2020-09-10	17598	706			
2020-09-11	17799	713			
2020-09-12	17891	717			
2020-09-13	17918	720			
2020-09-14	18061	729			
2020-09-15	18216	736			
2020-09-16	18390	739			
2020-09-17	18544	749			
2020-09-18	18733	753			
2020-09-19	18819	755			
2020-09-20	18863	761			
2020-09-21	19014	765			
2020-09-22	19123	767			
2020-09-23	19283	779			
2020-09-24	19573	785			
2020-09-25	19828	789			
2020-09-26	19997	789			
2020-09-27	20055	796			
2020-09-28	20271	807			
2020-09-29	20547	813			
2020-09-30	20833	825			
2020-10-01	20833	825			
2020-10-02	21336	838			
2020-10-03	21518	841			
2020-10-04	21587	844			
2020-10-05	21870	854			
2020-10-06	22306	862			
2020-10-07	22743	873			
2020-10-08	23259	880			
2020-10-09	23871	887			
2020-10-10	24319	891			
2020-10-11	24402	892			
2020-10-12	24989	915			
2020-10-13	25774	923			
2020-10-14	26593	929			
2020-10-15	27507	944			
2020-10-16	28505	958			
2020-10-17	29108	968			
2020-10-18	29503	986			
2020-10-19	30527	1008			
2020-10-20	31863	1019			
2020-10-21	33335	1048			
2020-10-22	34930	1064			
2020-10-23	36519	1077			
2020-10-24	37562	1084			
2020-10-25	37889	1094			
