# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-26	1	0			
2020-01-27	1	0			
2020-01-28	2	0			
2020-01-29	2	0			
2020-01-30	2	0			
2020-01-31	4	0			
2020-02-01	4	0			
2020-02-02	4	0			
2020-02-03	4	0			
2020-02-04	4	0			
2020-02-05	5	0			
2020-02-06	5	0			
2020-02-07	7	0			
2020-02-08	7	0			
2020-02-09	7	0			
2020-02-10	7	0			
2020-02-11	7	0			
2020-02-12	7	0			
2020-02-13	7	0			
2020-02-14	7	0			
2020-02-15	7	0			
2020-02-16	7	0			
2020-02-17	8	0			
2020-02-18	8	0			
2020-02-19	8	0			
2020-02-20	8	0			
2020-02-21	9	0			
2020-02-22	9	0			
2020-02-23	9	0			
2020-02-24	10	0			
2020-02-25	12	0			
2020-02-26	12	0			
2020-02-27	14	0			
2020-02-28	15	0			
2020-02-29	21	0			
2020-03-01	26	0			
2020-03-02	32	0			
2020-03-03	37	0			
2020-03-04	42	0			
2020-03-05	46	0			
2020-03-06	60	0			
2020-03-07	64	0			
2020-03-08	74	0			
2020-03-09	88	1			
2020-03-10	92	1			
2020-03-11	127	1			
2020-03-12	141	1			
2020-03-13	213	1			
2020-03-14	236	1			
2020-03-15	296	1			
2020-03-16	450	4			
2020-03-17	532	6			
2020-03-18	732	11			
2020-03-19	921	11			
2020-03-20	1175	15			
2020-03-21	1653	19			
2020-03-22	2045	22			
2020-03-23	2600	29			
2020-03-24	3185	34			
2020-03-25	3683	47			
2020-03-26	4550	59			
2020-03-27	5248	66			
2020-03-28	6085	83			
2020-03-29	7015	98			
2020-03-30	8121	117			
2020-03-31	9246	152			
2020-04-01	10527	175			
2020-04-02	12219	224			
2020-04-03	13559	277			
2020-04-04	14906	360			
2020-04-05	16159	435			
2020-04-06	17521	502			
2020-04-07	18858	580			
2020-04-08	20154	669			
2020-04-09	21533	772			
2020-04-10	22777	867			
2020-04-11	24084	986			
2020-04-12	25303	1095			
2020-04-13	26937	1225			
2020-04-14	28563	1361			
2020-04-15	30223	1515			
2020-04-16	31911	1651			
2020-04-17	33945	1798			
2020-04-18	35355	1937			
2020-04-19	37043	2107			
2020-04-20	38712	2251			
2020-04-21	40354	2412			
2020-04-22	42168	2576			
2020-04-23	44121	2757			
2020-04-24	45976	2931			
2020-04-25	47553	3112			
2020-04-26	48866	3249			
2020-04-27	50507	3428			
2020-04-28	52178	3635			
2020-04-29	53811	3843			
2020-04-30	55508	4056			
2020-05-01	57277	4237			
2020-05-02	58821	4413			
2020-05-03	60162	4559			
2020-05-04	61569	4765			
2020-05-05	62942	4937			
2020-05-06	64515	5109			
2020-05-07	65879	5257			
2020-05-08	67257	5415			
2020-05-09	68441	5577			
2020-05-10	69505	5705			
2020-05-11	70615	5837			
2020-05-12	71832	5980			
2020-05-13	73027	6092			
2020-05-14	74144	6214			
2020-05-15	75355	6338			
2020-05-16	76539	6453			
2020-05-17	77671	6543			
2020-05-18	78704	6638			
2020-05-19	79812	6715			
2020-05-20	81065	6833			
2020-05-21	82242	6933			
2020-05-22	83357	7036			
2020-05-23	84303	7129			
2020-05-24	85352	7218			
2020-05-25	86299	7312			
2020-05-26	87069	7400			
2020-05-27	87920	7497			
2020-05-28	88765	7614			
2020-05-29	89564	7714			
2020-05-30	90315	7772			
2020-05-31	90957	7828			
2020-06-01	91748	7875			
2020-06-02	92441	7926			
2020-06-03	93102	7982			
2020-06-04	93740	8047			
2020-06-05	94337	8092			
2020-06-06	95079	8152			
2020-06-07	95685	8193			
2020-06-08	96150	8239			
2020-06-09	96586	8275			
2020-06-10	97074	8305			
2020-06-11	97489	8337			
2020-06-12	97896	8367			
2020-06-13	98326	8395			
2020-06-14	98669	8418			
2020-06-15	99039	8445			
2020-06-16	99401	8464			
2020-06-17	99791	8485			
2020-06-18	100173	8495			
2020-06-19	100548	8519			
2020-06-20	100909	8554			
2020-06-21	101216	8575			
2020-06-22	101532	8589			
2020-06-23	101903	8613			
2020-06-24	102218	8641			
2020-06-25	102546	8661			
2020-06-26	102803	8668			
2020-06-27	103129	8680			
2020-06-28	103405	8690			
2020-06-29	103820	8707			
2020-06-30	104136	8722			
2020-07-01	104358	8732			
2020-07-02	104711	8749			
2020-07-03	105031	8755			
2020-07-04	105247	8764			
2020-07-05	105444	8769			
2020-07-06	105837	8782			
2020-07-07	106116	8790			
2020-07-08	106401	8807			
2020-07-09	106765	8818			
2020-07-10	107098	8829			
2020-07-11	107329	8838			
2020-07-12	107534	8842			
2020-07-13	108074	8850			
2020-07-14	108488	8854			
2020-07-15	108847	8868			
2020-07-16	109280	8879			
2020-07-17	109740	8892			
2020-07-18	110100	8896			
2020-07-19	110401	8900			
2020-07-20	111168	8904			
2020-07-21	111711	8909			
2020-07-22	112119	8914			
2020-07-23	112768	8922			
2020-07-24	113272	8928			
2020-07-25	113640	8931			
2020-07-26	113973	8935			
2020-07-27	114603	8948			
2020-07-28	114961	8957			
2020-07-29	115438	8962			
2020-07-30	115862	8975			
2020-07-31	116328	8981			
2020-08-01	116599	8985			
2020-08-02	116835	8988			
2020-08-03	117091	8988			
2020-08-04	117791	8997			
2020-08-05	118156	9002			
2020-08-06	118489	9009			
2020-08-07	118933	9014			
2020-08-08	119157	9017			
2020-08-09	119380	9021			
2020-08-10	120005	9028			
2020-08-11	120303	9034			
2020-08-12	120636	9039			
2020-08-13	121105	9044			
2020-08-14	121511	9048			
2020-08-15	121734	9054			
2020-08-16	121909	9059			
2020-08-17	122094	9061			
2020-08-18	123006	9074			
2020-08-19	123351	9079			
2020-08-20	123570	9082			
2020-08-21	124265	9096			
2020-08-22	124490	9097			
2020-08-23	124759	9101			
2020-08-24	125486	9109			
2020-08-25	125844	9114			
2020-08-26	126276	9118			
2020-08-27	126718	9123			
2020-08-28	127269	9135			
2020-08-29	127620	9137			
2020-08-30	127881	9139			
2020-08-31	128879	9147			
2020-09-01	129388	9151			
2020-09-02	129938	9153			
2020-09-03	130548	9158			
2020-09-04	131179	9158			
2020-09-05	131571	9159			
2020-09-06	131960	9161			
2020-09-07	132372	9163			
2020-09-08	133817	9170			
2020-09-09	134237	9174			
2020-09-10	135137	9182			
2020-09-11	135926	9181			
2020-09-12	136492	9184			
2020-09-13	137047	9188			
2020-09-14	138399	9200			
2020-09-15	139221	9207			
2020-09-16	140165	9212			
2020-09-17	141137	9219			
2020-09-18	142371	9229			
2020-09-19	143304	9236			
2020-09-20	144220	9239			
2020-09-21	145878	9250			
2020-09-22	147159	9258			
2020-09-23	148466	9267			
2020-09-24	149803	9276			
2020-09-25	151419	9283			
2020-09-26	152849	9288			
2020-09-27	154257	9294			
2020-09-28	156592	9311			
2020-09-29	158411	9325			
2020-09-30	160387	9343			
2020-10-01	162188	9359			
2020-10-02	164429	9449			
2020-10-03	166289	9501			
2020-10-04	167944	9519			
2020-10-05	170402	9544			
2020-10-06	172402	9566			
2020-10-07	174278	9585			
2020-10-08	176733	9603			
2020-10-09	179329	9617			
2020-10-10	181204	9643			
2020-10-11	183027	9657			
2020-10-12	184762	9672			
2020-10-13	188131	9700			
2020-10-14	190529	9723			
2020-10-15	193054	9740			
2020-10-16	195507	9770			
2020-10-17	197369	9787			
2020-10-18	199205	9805			
2020-10-19	202302	9838			
2020-10-20	204805	9855			
2020-10-21	207385	9893			
2020-10-22	209798	9924			
2020-10-23	212787	9953			
2020-10-24	214843	9980			
2020-10-25	216934	10009			
2020-10-26	221224	10043			
2020-10-27	223905	10070			
2020-10-28	226666	10107			
2020-10-29	229656	10140			
2020-10-30	232958	10185			
2020-10-31	235389	10226			
2020-11-01	237778	10263			
2020-11-02	241059	10292			
2020-11-03	245924	10349			
2020-11-04	248827	10391			
2020-11-05	252595	10434			
2020-11-06	257129	10490			
2020-11-07	261379	10537			
2020-11-08	265343	10589			
2020-11-09	270003	10647			
2020-11-10	274448	10709			
2020-11-11	278484	10770			
2020-11-12	283968	10846			
2020-11-13	288783	10895			
2020-11-14	293191	10958			
2020-11-15	297235	11031			
2020-11-16	303155	11105			
2020-11-17	307574	11171			
2020-11-18	312240	11273			
2020-11-19	316986	11346			
2020-11-20	321839	11411			
2020-11-21	326758	11479			
2020-11-22	331603	11537			
2020-11-23	338570	11614			
2020-11-24	343579	11705			
2020-11-25	348883	11798			
2020-11-26	354389	11884			
2020-11-27	360360	11967			
2020-11-28	366054	12040			
2020-11-29	371509	12117			
2020-11-30	379303	12223			
2020-12-01	384972	12300			
