# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	3	0			
2020-03-25	3	0			
2020-03-26	3	0			
2020-03-27	3	0			
2020-03-28	3	0			
2020-03-29	3	0			
2020-03-30	5	0			
2020-03-31	7	0			
2020-04-01	7	0			
2020-04-02	8	0			
2020-04-03	8	0			
2020-04-04	9	0			
2020-04-05	9	0			
2020-04-06	9	0			
2020-04-07	10	0			
2020-04-08	10	0			
2020-04-09	11	0			
2020-04-10	11	0			
2020-04-11	11	0			
2020-04-12	18	0			
2020-04-13	23	0			
2020-04-14	23	0			
2020-04-15	23	0			
2020-04-16	27	0			
2020-04-17	27	0			
2020-04-18	33	0			
2020-04-19	33	0			
2020-04-20	33	0			
2020-04-21	33	0			
2020-04-22	33	0			
2020-04-23	33	0			
2020-04-24	40	0			
2020-04-25	46	0			
2020-04-26	46	0			
2020-04-27	46	0			
2020-04-28	52	2			
2020-04-29	52	2			
2020-04-30	73	5			
2020-05-01	73	5			
2020-05-02	117	10			
2020-05-03	117	10			
2020-05-04	117	10			
2020-05-05	170	17			
2020-05-06	170	17			
2020-05-07	253	27			
2020-05-08	260	28			
2020-05-09	322	31			
2020-05-10	322	31			
2020-05-11	322	31			
2020-05-12	357	40			
2020-05-13	372	42			
2020-05-14	399	46			
2020-05-15	428	48			
2020-05-16	474	50			
2020-05-17	503	53			
2020-05-18	519	53			
2020-05-19	545	56			
2020-05-20	565	57			
2020-05-21	588	58			
2020-05-22	611	58			
2020-05-23	648	60			
2020-05-24	675	60			
2020-05-25	687	61			
2020-05-26	700	62			
2020-05-27	715	64			
2020-05-28	726	65			
2020-05-29	759	65			
2020-05-30	759	65			
2020-05-31	778	65			
2020-06-01	790	66			
2020-06-02	803	66			
2020-06-03	820	66			
2020-06-04	828	66			
2020-06-05	836	68			
2020-06-06	836	69			
2020-06-07	837	69			
2020-06-08	839	70			
2020-06-09	844	71			
2020-06-10	846	72			
2020-06-11	848	72			
2020-06-12	848	72			
2020-06-13	848	72			
2020-06-14	850	73			
2020-06-15	850	73			
2020-06-16	853	74			
2020-06-17	854	74			
2020-06-18	854	74			
2020-06-19	858	74			
2020-06-20	858	74			
2020-06-21	858	74			
2020-06-22	858	74			
2020-06-23	860	74			
2020-06-24	860	74			
2020-06-25	863	74			
2020-06-26	865	74			
2020-06-27	865	74			
2020-06-28	866	74			
2020-06-29	866	74			
2020-06-30	866	74			
2020-07-01	866	74			
2020-07-02	868	74			
2020-07-03	871	74			
2020-07-04	871	74			
2020-07-05	872	74			
2020-07-06	872	74			
2020-07-07	873	74			
2020-07-08	873	74			
2020-07-09	873	74			
2020-07-10	874	74			
2020-07-11	874	74			
2020-07-12	880	75			
2020-07-13	880	75			
2020-07-14	884	75			
2020-07-15	885	75			
2020-07-16	886	75			
2020-07-17	887	75			
2020-07-18	889	75			
2020-07-19	889	75			
2020-07-20	889	75			
2020-07-21	889	75			
2020-07-22	889	75			
2020-07-23	915	75			
2020-07-24	915	75			
2020-07-25	915	75			
2020-07-26	915	75			
2020-07-27	922	75			
2020-07-28	926	75			
2020-07-29	926	75			
2020-07-30	935	75			
2020-07-31	936	75			
2020-08-01	936	75			
2020-08-02	936	75			
2020-08-03	936	75			
2020-08-04	938	75			
2020-08-05	939	75			
2020-08-06	942	76			
2020-08-07	942	76			
2020-08-08	942	76			
2020-08-09	944	76			
2020-08-10	945	76			
2020-08-11	946	76			
2020-08-12	949	76			
2020-08-13	949	76			
2020-08-14	951	76			
2020-08-15	952	76			
2020-08-16	956	76			
2020-08-17	959	76			
2020-08-18	970	76			
2020-08-19	971	76			
2020-08-20	972	76			
2020-08-21	981	76			
2020-08-22	982	76			
2020-08-23	986	76			
2020-08-24	987	76			
2020-08-25	995	77			
2020-08-26	998	77			
2020-08-27	1004	77			
2020-08-28	1008	77			
2020-08-29	1008	77			
2020-08-30	1012	77			
2020-08-31	1013	77			
2020-09-01	1017	77			
2020-09-02	1017	77			
2020-09-03	1018	77			
2020-09-04	1023	77			
2020-09-05	1034	77			
2020-09-06	1039	79			
2020-09-07	1040	79			
2020-09-08	1045	79			
2020-09-09	1048	79			
2020-09-10	1051	79			
2020-09-11	1081	79			
2020-09-12	1083	80			
2020-09-13	1084	80			
2020-09-14	1085	81			
2020-09-15	1087	81			
2020-09-16	1090	81			
2020-09-17	1115	81			
2020-09-18	1147	81			
2020-09-19	1149	81			
2020-09-20	1151	81			
2020-09-21	1153	81			
2020-09-22	1155	81			
2020-09-23	1164	82			
2020-09-24	1171	82			
2020-09-25	1175	83			
2020-09-26	1177	83			
2020-09-27	1178	84			
2020-09-28	1185	85			
2020-09-29	1193	85			
2020-09-30	1200	85			
2020-10-01	1203	85			
2020-10-02	1211	85			
2020-10-03	1214	85			
2020-10-04	1217	86			
2020-10-05	1223	86			
2020-10-06	1238	88			
2020-10-07	1251	89			
2020-10-08	1262	89			
2020-10-09	1274	90			
2020-10-10	1291	92			
2020-10-11	1304	92			
2020-10-12	1308	92			
2020-10-13	1321	92			
2020-10-14	1329	92			
2020-10-15	1350	92			
2020-10-16	1361	93			
2020-10-17	1365	93			
2020-10-18	1379	93			
2020-10-19	1390	93			
2020-10-20	1399	93			
2020-10-21	1404	96			
2020-10-22	1410	96			
2020-10-23	1423	96			
2020-10-24	1434	96			
2020-10-25	1437	96			
2020-10-26	1441	96			
2020-10-27	1460	96			
2020-10-28	1468	97			
2020-10-29	1473	97			
2020-10-30	1483	98			
2020-10-31	1483	98			
2020-11-01	1498	98			
2020-11-02	1499	98			
2020-11-03	1513	98			
2020-11-04	1517	99			
2020-11-05	1529	99			
2020-11-06	1538	99			
2020-11-07	1543	99			
2020-11-08	1547	99			
2020-11-09	1551	99			
2020-11-10	1561	99			
2020-11-11	1565	99			
2020-11-12	1578	100			
2020-11-13	1589	100			
2020-11-14	1591	100			
2020-11-15	1597	101			
2020-11-16	1603	101			
2020-11-17	1608	101			
2020-11-18	1616	101			
2020-11-19	1620	101			
2020-11-20	1626	101			
2020-11-21	1633	101			
2020-11-22	1642	101			
2020-11-23	1648	101			
2020-11-24	1649	101			
2020-11-25	1655	101			
2020-11-26	1661	101			
2020-11-27	1663	101			
2020-11-28	1663	101			
2020-11-29	1682	101			
2020-11-30	1688	101			
2020-12-01	1700	102			
2020-12-02	1705	102			
2020-12-03	1708	102			
2020-12-04	1719	102			
2020-12-05	1722	102			
2020-12-06	1725	102			
2020-12-07	1728	102			
2020-12-08	1729	102			
2020-12-09	1732	102			
2020-12-10	1739	102			
2020-12-11	1745	102			
2020-12-12	1751	102			
2020-12-13	1770	102			
2020-12-14	1771	102			
2020-12-15	1784	102			
2020-12-16	1800	102			
2020-12-17	1818	102			
2020-12-18	1839	102			
2020-12-19	1867	102			
2020-12-20	1890	102			
2020-12-21	1902	102			
2020-12-22	1916	102			
2020-12-23	1938	102			
2020-12-24	1958	102			
2020-12-25	1971	102			
2020-12-26	1986	103			
2020-12-27	2005	104			
2020-12-28	2015	104			
2020-12-29	2048	104			
2020-12-30	2077	104			
2020-12-31	2113	104			
2021-01-01	2141	104			
2021-01-02	2169	104			
2021-01-03	2213	104			
2021-01-04	2229	104			
2021-01-05	2289	105			
2021-01-06	2328	105			
2021-01-07	2358	105			
2021-01-08	2419	106			
2021-01-09	2510	107			
2021-01-10	2537	107			
2021-01-11	2589	107			
2021-01-12	2668	108			
2021-01-13	2709	109			
2021-01-14	2773	110			
2021-01-15	2807	111			
2021-01-16	2855	111			
2021-01-17	2895	111			
2021-01-18	2919	113			
2021-01-19	2977	114			
2021-01-20	3012	114			
2021-01-21	3065	114			
2021-01-22	3104	115			
2021-01-23	3137	115			
2021-01-24	3161	116			
2021-01-25	3182	116			
2021-01-26	3225	116			
2021-01-27	3269	117			
2021-01-28	3296	118			
2021-01-29	3321	118			
2021-01-30	3347	118			
2021-01-31	3376	118			
2021-02-01	3385	121			
2021-02-02	3404	121			
2021-02-03	3419	121			
2021-02-04	3433	121			
2021-02-05	3450	124			
2021-02-06	3473	125			
2021-02-07	3497	125			
2021-02-08	3508	125			
2021-02-09	3539	125			
2021-02-10	3568	126			
2021-02-11	3581	126			
2021-02-12	3597	128			
2021-02-13	3622	128			
2021-02-14	3645	129			
2021-02-15	3664	131			
2021-02-16	3689	131			
2021-02-17	3724	132			
2021-02-18	3751	132			
2021-02-19	3776	132			
2021-02-20	3794	133			
2021-02-21	3849	134			
2021-02-22	3868	135			
2021-02-23	3882	136			
2021-02-24	3904	136			
2021-02-25	3934	137			
2021-02-26	3957	138			
2021-02-27	3973	140			
2021-02-28	3973	140			
2021-03-01	3986	140			
2021-03-02	3999	140			
2021-03-03	4056	140			
2021-03-04	4089	140			
2021-03-05	4089	140			
2021-03-06	4161	140			
2021-03-07	4177	140			
2021-03-08	4193	146			
2021-03-09	4214	148			
2021-03-10	4231	149			
2021-03-11	4246	151			
2021-03-12	4274	152			
2021-03-13	4288	153			
2021-03-14	4309	154			
2021-03-15	4328	155			
2021-03-16	4344	155			
2021-03-17	4357	156			
2021-03-18	4380	157			
2021-03-19	4395	157			
2021-03-20	4410	157			
2021-03-21	4420	157			
2021-03-22	4427	157			
2021-03-23	4440	158			
2021-03-24	4453	158			
2021-03-25	4465	158			
2021-03-26	4480	158			
2021-03-27	4501	160			
2021-03-28	4506	162			
2021-03-29	4510	164			
2021-03-30	4523	164			
2021-03-31	4533	164			
2021-04-01	4552	164			
2021-04-02	4573	164			
2021-04-03	4589	164			
2021-04-04	4595	165			
2021-04-05	4595	166			
2021-04-06	4603	166			
2021-04-07	4606	166			
2021-04-08	4616	167			
2021-04-09	4619	167			
2021-04-10	4625	167			
2021-04-11	4636	167			
2021-04-12	4641	167			
2021-04-13	4652	167			
2021-04-14	4662	167			
2021-04-15	4673	168			
2021-04-16	4686	168			
2021-04-17	4691	168			
2021-04-18	4706	169			
2021-04-19	4708	169			
2021-04-20	4723	169			
2021-04-21	4731	169			
2021-04-22	4735	169			
2021-04-23	4747	169			
2021-04-24	4752	169			
2021-04-25	4770	169			
2021-04-26	4772	169			
2021-04-27	4779	170			
2021-04-28	4789	170			
2021-04-29	4810	170			
2021-04-30	4817	170			
2021-05-01	4824	170			
2021-05-02	4828	170			
2021-05-03	4828	170			
2021-05-04	4835	170			
2021-05-05	4847	170			
2021-05-06	4854	170			
2021-05-07	4862	170			
2021-05-08	4874	171			
2021-05-09	4877	171			
2021-05-10	4882	171			
2021-05-11	4888	172			
2021-05-12	4891	172			
2021-05-13	4895	172			
2021-05-14	4897	173			
2021-05-15	4901	173			
2021-05-16	4904	173			
2021-05-17	4904	173			
2021-05-18	4905	173			
2021-05-19	4914	173			
2021-05-20	4918	173			
2021-05-21	4919	173			
2021-05-22	4923	173			
2021-05-23	4924	173			
2021-05-24	4924	173			
2021-05-25	4924	173			
2021-05-26	4925	173			
2021-05-27	4926	173			
2021-05-28	4927	173			
