# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-22	547	17			
2020-01-23	639	18			
2020-01-24	916	26			
2020-01-25	1399	42			
2020-01-26	2062	56			
2020-01-27	2863	82			
2020-01-28	5494	131			
2020-01-29	6070	133			
2020-01-30	8124	171			
2020-01-31	9783	213			
2020-02-01	11871	259			
2020-02-02	16607	361			
2020-02-03	19693	425			
2020-02-04	23680	490			
2020-02-05	27409	562			
2020-02-06	30553	632			
2020-02-07	34075	717			
2020-02-08	36778	804			
2020-02-09	39790	904			
2020-02-10	42306	1011			
2020-02-11	44327	1111			
2020-02-12	44699	1116			
2020-02-13	59832	1368			
2020-02-14	66292	1520			
2020-02-15	68347	1662			
2020-02-16	70446	1765			
2020-02-17	72364	1863			
2020-02-18	74139	2002			
2020-02-19	74546	2114			
2020-02-20	74999	2236			
2020-02-21	75472	2236			
2020-02-22	76922	2441			
2020-02-23	76938	2443			
2020-02-24	77152	2593			
2020-02-25	77660	2663			
2020-02-26	78065	2715			
2020-02-27	78498	2744			
2020-02-28	78824	2788			
2020-02-29	79251	2835			
2020-03-01	79826	2870			
2020-03-02	80026	2912			
2020-03-03	80151	2945			
2020-03-04	80271	2981			
2020-03-05	80422	3013			
2020-03-06	80573	3042			
2020-03-07	80652	3070			
2020-03-08	80699	3097			
2020-03-09	80735	3120			
2020-03-10	80757	3136			
2020-03-11	80785	3158			
2020-03-12	80793	3169			
2020-03-13	80801	3176			
2020-03-14	80827	3189			
2020-03-15	80848	3199			
2020-03-16	80867	3213			
2020-03-17	80884	3226			
2020-03-18	80906	3237			
2020-03-19	80931	3245			
2020-03-20	80977	3249			
2020-03-21	81014	3255			
2020-03-22	81094	3270			
2020-03-23	81118	3270			
2020-03-24	81180	3277			
2020-03-25	81221	3281			
2020-03-26	81298	3287			
2020-03-27	81345	3292			
2020-03-28	81401	3295			
2020-03-29	81444	3300			
2020-03-30	81478	3304			
2020-03-31	81524	3305			
2020-04-01	81555	3312			
2020-04-02	81589	3318			
2020-04-03	81623	3322			
2020-04-04	81638	3326			
2020-04-05	81668	3329			
2020-04-06	81707	3331			
2020-04-07	81739	3331			
2020-04-08	81804	3333			
2020-04-09	81865	3335			
2020-04-10	81907	3336			
2020-04-11	81969	3339			
2020-04-12	82085	3339			
2020-04-13	82159	3341			
2020-04-14	82249	3341			
2020-04-15	82294	3342			
2020-04-16	82341	3342			
2020-04-17	82694	4632			
2020-04-18	82718	4632			
2020-04-19	82735	4632			
2020-04-20	82747	4632			
2020-04-21	82779	4632			
2020-04-22	82790	4632			
2020-04-23	82804	4632			
2020-04-24	82819	4632			
2020-04-25	82827	4632			
2020-04-26	82830	4633			
2020-04-27	82836	4633			
2020-04-28	82858	4633			
2020-04-29	82862	4633			
2020-04-30	82874	4633			
2020-05-01	82875	4633			
2020-05-02	82875	4633			
2020-05-03	82880	4633			
2020-05-04	82881	4633			
2020-05-05	82883	4633			
2020-05-06	82885	4633			
2020-05-07	82886	4633			
2020-05-08	82887	4633			
2020-05-09	82901	4633			
2020-05-10	82918	4633			
2020-05-11	82919	4633			
2020-05-12	82926	4633			
2020-05-13	82929	4633			
2020-05-14	82933	4633			
2020-05-15	82941	4633			
2020-05-16	82947	4634			
2020-05-17	82954	4634			
2020-05-18	82963	4634			
2020-05-19	82963	4634			
2020-05-20	82963	4634			
2020-05-21	82963	4634			
2020-05-22	82971	4634			
2020-05-23	82974	4634			
2020-05-24	82985	4634			
2020-05-25	82992	4634			
2020-05-26	82993	4634			
2020-05-27	82995	4634			
2020-05-28	82995	4634			
2020-05-29	82999	4634			
2020-05-30	83001	4634			
2020-05-31	83017	4634			
2020-06-01	83022	4634			
2020-06-02	83023	4634			
2020-06-03	83022	4634			
2020-06-04	83027	4634			
2020-06-05	83030	4634			
2020-06-06	83036	4634			
2020-06-07	83040	4634			
2020-06-08	83043	4634			
2020-06-09	83046	4634			
2020-06-10	83057	4634			
2020-06-11	83064	4634			
2020-06-12	83075	4634			
2020-06-13	83132	4634			
2020-06-14	83181	4634			
2020-06-15	83221	4634			
2020-06-16	83265	4634			
2020-06-17	83293	4634			
2020-06-18	83325	4634			
2020-06-19	83325	4634			
2020-06-20	83380	4634			
2020-06-21	83396	4634			
2020-06-22	83418	4634			
2020-06-23	83431	4634			
2020-06-24	83449	4634			
2020-06-25	83462	4634			
2020-06-26	83483	4634			
2020-06-27	83500	4634			
2020-06-28	83512	4634			
2020-06-29	83531	4634			
2020-06-30	83534	4634			
2020-07-01	83537	4634			
2020-07-02	83542	4634			
2020-07-03	83545	4634			
2020-07-04	83553	4634			
2020-07-05	83557	4634			
2020-07-06	83558	4634			
2020-07-07	83572	4634			
2020-07-08	83581	4634			
2020-07-09	83581	4634			
2020-07-10	83581	4634			
2020-07-11	83594	4634			
2020-07-12	83602	4634			
2020-07-13	83602	4634			
2020-07-14	83611	4634			
2020-07-15	83612	4634			
2020-07-16	83626	4634			
2020-07-17	83643	4634			
2020-07-18	83659	4634			
2020-07-19	83680	4634			
2020-07-20	83691	4634			
2020-07-21	83704	4634			
2020-07-22	83729	4634			
2020-07-23	83750	4634			
2020-07-24	83784	4634			
2020-07-25	83830	4634			
2020-07-26	83891	4634			
2020-07-27	83959	4634			
2020-07-28	84060	4634			
2020-07-29	84165	4634			
2020-07-30	84292	4634			
2020-07-31	84337	4634			
2020-08-01	84385	4634			
2020-08-02	84428	4634			
2020-08-03	84464	4634			
2020-08-04	84491	4634			
2020-08-05	84528	4634			
2020-08-06	84565	4634			
2020-08-07	84596	4634			
2020-08-08	84619	4634			
2020-08-09	84668	4634			
2020-08-10	84712	4634			
2020-08-11	84731	4634			
2020-08-12	84756	4634			
2020-08-13	84786	4634			
2020-08-14	84808	4634			
2020-08-15	84827	4634			
2020-08-16	84849	4634			
2020-08-17	84871	4634			
2020-08-18	84888	4634			
2020-08-19	84895	4634			
2020-08-20	84917	4634			
2020-08-21	84939	4634			
2020-08-22	84951	4634			
2020-08-23	84967	4634			
2020-08-24	84981	4634			
2020-08-25	84996	4634			
2020-08-26	85004	4634			
2020-08-27	85013	4634			
2020-08-28	85022	4634			
2020-08-29	85031	4634			
2020-08-30	85048	4634			
2020-08-31	85058	4634			
2020-09-01	85065	4634			
2020-09-02	85077	4634			
2020-09-03	85102	4634			
2020-09-04	85112	4634			
2020-09-05	85122	4634			
2020-09-06	85134	4634			
2020-09-07	85143	4634			
2020-09-08	85146	4634			
2020-09-09	85153	4634			
2020-09-10	85168	4634			
2020-09-11	85174	4634			
2020-09-12	85184	4634			
2020-09-13	85194	4634			
2020-09-14	85202	4634			
2020-09-15	85214	4634			
2020-09-16	85223	4634			
2020-09-17	85255	4634			
2020-09-18	85269	4634			
2020-09-19	85279	4634			
2020-09-20	85291	4634			
2020-09-21	85297	4634			
2020-09-22	85307	4634			
2020-09-23	85314	4634			
2020-09-24	85322	4634			
2020-09-25	85337	4634			
2020-09-26	85351	4634			
2020-09-27	85372	4634			
2020-09-28	85384	4634			
2020-09-29	85403	4634			
2020-09-30	85412	4634			
2020-10-01	85424	4634			
2020-10-02	85434	4634			
2020-10-03	85450	4634			
2020-10-04	85470	4634			
2020-10-05	85482	4634			
2020-10-06	85489	4634			
2020-10-07	85498	4634			
2020-10-08	85521	4634			
2020-10-09	85536	4634			
2020-10-10	85557	4634			
2020-10-11	85584	4634			
2020-10-12	85591	4634			
2020-10-13	85611	4634			
2020-10-14	85622	4634			
2020-10-15	85646	4634			
2020-10-16	85659	4634			
2020-10-17	85672	4634			
2020-10-18	85685	4634			
2020-10-19	85704	4634			
2020-10-20	85715	4634			
2020-10-21	85729	4634			
2020-10-22	85747	4634			
2020-10-23	85778	4634			
2020-10-24	85793	4634			
2020-10-25	85810	4634			
2020-10-26	85826	4634			
2020-10-27	85868	4634			
2020-10-28	85915	4634			
2020-10-29	85940	4634			
2020-10-30	85973	4634			
2020-10-31	85997	4634			
2020-11-01	86021	4634			
2020-11-02	86070	4634			
2020-11-03	86087	4634			
2020-11-04	86115	4634			
2020-11-05	86151	4634			
2020-11-06	86184	4634			
2020-11-07	86212	4634			
2020-11-08	86245	4634			
2020-11-09	86267	4634			
2020-11-10	86284	4634			
2020-11-11	86299	4634			
2020-11-12	86307	4634			
2020-11-13	86325	4634			
2020-11-14	86338	4634			
2020-11-15	86346	4634			
2020-11-16	86360	4634			
2020-11-17	86369	4634			
2020-11-18	86381	4634			
2020-11-19	86398	4634			
2020-11-20	86414	4634			
2020-11-21	86431	4634			
2020-11-22	86442	4634			
2020-11-23	86464	4634			
2020-11-24	86469	4634			
2020-11-25	86490	4634			
2020-11-26	86495	4634			
2020-11-27	86501	4634			
2020-11-28	86512	4634			
2020-11-29	86530	4634			
2020-11-30	86542	4634			
2020-12-01	86551	4634			
2020-12-02	86568	4634			
2020-12-03	86586	4634			
2020-12-04	86601	4634			
2020-12-05	86619	4634			
2020-12-06	86634	4634			
2020-12-07	86649	4634			
2020-12-08	86661	4634			
2020-12-09	86673	4634			
2020-12-10	86688	4634			
2020-12-11	86701	4634			
2020-12-12	86725	4634			
2020-12-13	86741	4634			
2020-12-14	86758	4634			
2020-12-15	86770	4634			
2020-12-16	86777	4634			
2020-12-17	86789	4634			
2020-12-18	86806	4634			
2020-12-19	86829	4634			
2020-12-20	86852	4634			
2020-12-21	86867	4634			
2020-12-22	86882	4634			
2020-12-23	86899	4634			
2020-12-24	86913	4634			
2020-12-25	86933	4634			
2020-12-26	86955	4634			
2020-12-27	86976	4634			
2020-12-28	87003	4634			
2020-12-29	87027	4634			
2020-12-30	87052	4634			
2020-12-31	87071	4634			
2021-01-01	87089	4634			
2021-01-02	87117	4634			
2021-01-03	87150	4634			
2021-01-04	87183	4634			
2021-01-05	87215	4634			
2021-01-06	87278	4634			
2021-01-07	87331	4634			
2021-01-08	87364	4634			
2021-01-09	87433	4634			
2021-01-10	87536	4634			
2021-01-11	87591	4634			
2021-01-12	87706	4634			
2021-01-13	87844	4635			
2021-01-14	87988	4635			
2021-01-15	88118	4635			
2021-01-16	88227	4635			
2021-01-17	88336	4635			
2021-01-18	88454	4635			
2021-01-19	88557	4635			
2021-01-20	88701	4635			
2021-01-21	88811	4635			
2021-01-22	88911	4635			
2021-01-23	88991	4635			
2021-01-24	89115	4635			
2021-01-25	89197	4636			
2021-01-26	89272	4636			
2021-01-27	89326	4636			
2021-01-28	89378	4636			
2021-01-29	89430	4636			
2021-01-30	89522	4636			
2021-01-31	89564	4636			
2021-02-01	89594	4636			
2021-02-02	89619	4636			
2021-02-03	89649	4636			
2021-02-04	89669	4636			
2021-02-05	89681	4636			
2021-02-06	89692	4636			
2021-02-07	89706	4636			
2021-02-08	89720	4636			
2021-02-09	89734	4636			
2021-02-10	89736	4636			
2021-02-11	89748	4636			
2021-02-12	89756	4636			
2021-02-13	89763	4636			
2021-02-14	89772	4636			
2021-02-15	89788	4636			
2021-02-16	89795	4636			
2021-02-17	89806	4636			
2021-02-18	89816	4636			
2021-02-19	89824	4636			
2021-02-20	89831	4636			
2021-02-21	89842	4636			
2021-02-22	89852	4636			
2021-02-23	89864	4636			
2021-02-24	89871	4636			
2021-02-25	89877	4636			
2021-02-26	89887	4636			
2021-02-27	89893	4636			
2021-02-28	89912	4636			
2021-03-01	89923	4636			
2021-03-02	89933	4636			
2021-03-03	89943	4636			
2021-03-04	89952	4636			
2021-03-05	89962	4636			
2021-03-06	89975	4636			
2021-03-07	89994	4636			
2021-03-08	90002	4636			
2021-03-09	90007	4636			
2021-03-10	90018	4636			
2021-03-11	90027	4636			
2021-03-12	90034	4636			
2021-03-13	90044	4636			
2021-03-14	90049	4636			
2021-03-15	90062	4636			
2021-03-16	90066	4636			
2021-03-17	90072	4636			
2021-03-18	90083	4636			
2021-03-19	90087	4636			
2021-03-20	90099	4636			
2021-03-21	90106	4636			
2021-03-22	90115	4636			
2021-03-23	90125	4636			
2021-03-24	90136	4636			
2021-03-25	90147	4636			
2021-03-26	90159	4636			
2021-03-27	90170	4636			
2021-03-28	90182	4636			
2021-03-29	90190	4636			
2021-03-30	90201	4636			
2021-03-31	90217	4636			
2021-04-01	90226	4636			
2021-04-02	90252	4636			
2021-04-03	90272	4636			
2021-04-04	90305	4636			
2021-04-05	90329	4636			
2021-04-06	90341	4636			
2021-04-07	90365	4636			
2021-04-08	90386	4636			
2021-04-09	90400	4636			
2021-04-10	90410	4636			
2021-04-11	90426	4636			
2021-04-12	90435	4636			
2021-04-13	90447	4636			
2021-04-14	90457	4636			
2021-04-15	90468	4636			
2021-04-16	90483	4636			
2021-04-17	90499	4636			
2021-04-18	90510	4636			
2021-04-19	90520	4636			
2021-04-20	90541	4636			
2021-04-21	90547	4636			
2021-04-22	90566	4636			
2021-04-23	90575	4636			
2021-04-24	90588	4636			
2021-04-25	90599	4636			
2021-04-26	90610	4636			
2021-04-27	90622	4636			
2021-04-28	90642	4636			
2021-04-29	90655	4636			
2021-04-30	90671	4636			
2021-05-01	90686	4636			
2021-05-02	90697	4636			
2021-05-03	90714	4636			
2021-05-04	90721	4636			
2021-05-05	90726	4636			
2021-05-06	90739	4636			
2021-05-07	90746	4636			
2021-05-08	90758	4636			
2021-05-09	90769	4636			
2021-05-10	90783	4636			
2021-05-11	90799	4636			
2021-05-12	90808	4636			
2021-05-13	90815	4636			
2021-05-14	90829	4636			
2021-05-15	90847	4636			
2021-05-16	90872	4636			
2021-05-17	90894	4636			
2021-05-18	90908	4636			
2021-05-19	90920	4636			
2021-05-20	90944	4636			
2021-05-21	90954	4636			
2021-05-22	90973	4636			
2021-05-23	90991	4636			
2021-05-24	91006	4636			
2021-05-25	91019	4636			
2021-05-26	91038	4636			
2021-05-27	91045	4636			
