# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	5	0			
2020-03-09	9	0			
2020-03-10	9	0			
2020-03-11	13	0			
2020-03-12	22	0			
2020-03-13	23	0			
2020-03-14	26	0			
2020-03-15	27	0			
2020-03-16	35	0			
2020-03-17	41	0			
2020-03-18	50	0			
2020-03-19	69	1			
2020-03-20	89	1			
2020-03-21	117	2			
2020-03-22	134	2			
2020-03-23	158	2			
2020-03-24	177	2			
2020-03-25	201	2			
2020-03-26	231	2			
2020-03-27	263	2			
2020-03-28	295	2			
2020-03-29	314	2			
2020-03-30	330	2			
2020-03-31	347	2			
2020-04-01	375	2			
2020-04-02	396	2			
2020-04-03	416	2			
2020-04-04	435	2			
2020-04-05	454	2			
2020-04-06	467	2			
2020-04-07	483	2			
2020-04-08	502	3			
2020-04-09	539	3			
2020-04-10	558	3			
2020-04-11	577	3			
2020-04-12	595	3			
2020-04-13	612	3			
2020-04-14	618	3			
2020-04-15	626	4			
2020-04-16	642	4			
2020-04-17	649	4			
2020-04-18	655	4			
2020-04-19	660	5			
2020-04-20	662	6			
2020-04-21	669	6			
2020-04-22	681	6			
2020-04-23	686	6			
2020-04-24	687	6			
2020-04-25	693	6			
2020-04-26	695	6			
2020-04-27	697	6			
2020-04-28	705	6			
2020-04-29	713	6			
2020-04-30	719	6			
2020-05-01	725	6			
2020-05-02	733	6			
2020-05-03	739	6			
2020-05-04	742	6			
2020-05-05	755	6			
2020-05-06	761	6			
2020-05-07	765	6			
2020-05-08	773	6			
2020-05-09	780	6			
2020-05-10	792	7			
2020-05-11	801	7			
2020-05-12	804	7			
2020-05-13	815	8			
2020-05-14	830	8			
2020-05-15	843	9			
2020-05-16	853	10			
2020-05-17	863	10			
2020-05-18	866	10			
2020-05-19	882	10			
2020-05-20	897	10			
2020-05-21	903	10			
2020-05-22	911	10			
2020-05-23	918	10			
2020-05-24	930	10			
2020-05-25	951	10			
2020-05-26	956	10			
2020-05-27	984	10			
2020-05-28	1000	10			
2020-05-29	1022	10			
2020-05-30	1047	10			
2020-05-31	1056	10			
2020-06-01	1084	10			
2020-06-02	1105	10			
2020-06-03	1157	10			
2020-06-04	1194	10			
2020-06-05	1228	10			
2020-06-06	1263	10			
2020-06-07	1318	10			
2020-06-08	1342	11			
2020-06-09	1375	11			
2020-06-10	1461	12			
2020-06-11	1538	12			
2020-06-12	1612	12			
2020-06-13	1662	12			
2020-06-14	1715	12			
2020-06-15	1744	12			
