# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-09	2	0			
2020-03-10	3	0			
2020-03-11	6	0			
2020-03-12	6	0			
2020-03-13	14	0			
2020-03-14	26	0			
2020-03-15	26	0			
2020-03-16	33	0			
2020-03-17	46	0			
2020-03-18	49	0			
2020-03-19	67	0			
2020-03-20	67	0			
2020-03-21	84	0			
2020-03-22	95	1			
2020-03-23	116	1			
2020-03-24	124	3			
2020-03-25	132	3			
2020-03-26	146	3			
2020-03-27	162	5			
2020-03-28	179	5			
2020-03-29	214	5			
2020-03-30	230	7			
2020-03-31	262	8			
2020-04-01	320	9			
2020-04-02	356	10			
2020-04-03	396	11			
2020-04-04	426	11			
2020-04-05	446	9			
2020-04-06	465	9			
2020-04-07	494	9			
2020-04-08	526	9			
2020-04-09	564	10			
2020-04-10	595	10			
2020-04-11	616	10			
2020-04-12	633	11			
2020-04-13	662	12			
2020-04-14	695	12			
2020-04-15	715	12			
2020-04-16	735	12			
2020-04-17	750	12			
2020-04-18	761	12			
2020-04-19	767	12			
2020-04-20	772	12			
2020-04-21	784	12			
2020-04-22	790	13			
2020-04-23	795	13			
2020-04-24	804	14			
2020-04-25	810	14			
2020-04-26	817	14			
2020-04-27	822	15			
2020-04-28	837	15			
2020-04-29	843	15			
2020-04-30	850	15			
2020-05-01	857	15			
2020-05-02	864	15			
2020-05-03	872	15			
2020-05-04	874	15			
2020-05-05	878	15			
2020-05-06	883	15			
2020-05-07	889	15			
2020-05-08	891	15			
2020-05-09	892	15			
2020-05-10	898	16			
2020-05-11	901	16			
2020-05-12	903	16			
2020-05-13	905	17			
2020-05-14	907	17			
2020-05-15	910	17			
2020-05-16	914	17			
2020-05-17	916	17			
2020-05-18	917	17			
2020-05-19	918	17			
2020-05-20	922	17			
2020-05-21	923	17			
2020-05-22	927	17			
2020-05-23	927	17			
2020-05-24	935	17			
2020-05-25	937	17			
2020-05-26	939	17			
2020-05-27	939	17			
2020-05-28	941	17			
2020-05-29	942	17			
2020-05-30	944	17			
2020-05-31	944	17			
2020-06-01	949	17			
2020-06-02	952	17			
2020-06-03	958	17			
2020-06-04	958	17			
2020-06-05	960	17			
2020-06-06	960	18			
2020-06-07	964	18			
2020-06-08	970	18			
2020-06-09	972	18			
2020-06-10	974	18			
2020-06-11	975	18			
2020-06-12	980	18			
2020-06-13	980	18			
2020-06-14	983	18			
2020-06-15	985	18			
2020-06-16	985	18			
2020-06-17	985	18			
2020-06-18	985	19			
2020-06-19	985	19			
2020-06-20	985	19			
2020-06-21	986	19			
2020-06-22	988	19			
2020-06-23	990	19			
2020-06-24	991	19			
2020-06-25	992	19			
2020-06-26	992	19			
2020-06-27	994	19			
2020-06-28	994	19			
2020-06-29	996	19			
2020-06-30	998	19			
2020-07-01	999	19			
2020-07-02	999	19			
2020-07-03	999	19			
2020-07-04	1002	19			
2020-07-05	1003	19			
2020-07-06	1004	19			
2020-07-07	1005	19			
2020-07-08	1008	19			
2020-07-09	1010	19			
2020-07-10	1013	19			
2020-07-11	1014	19			
2020-07-12	1021	19			
2020-07-13	1022	19			
2020-07-14	1023	19			
2020-07-15	1025	19			
2020-07-16	1031	19			
2020-07-17	1033	19			
2020-07-18	1037	19			
2020-07-19	1038	19			
2020-07-20	1038	19			
2020-07-21	1040	19			
