# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-02	0	0			
2020-02-09	0	0			
2020-02-15	0	0			
2020-02-23	0	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-03	5	0			
2020-03-04	8	0			
2020-03-05	12	0			
2020-03-06	18	0			
2020-03-07	19	0			
2020-03-08	31	0			
2020-03-09	31	0			
2020-03-10	41	0			
2020-03-11	91	0			
2020-03-12	94	0			
2020-03-13	141	0			
2020-03-14	189	0			
2020-03-15	253	0			
2020-03-16	298	0			
2020-03-17	396	0			
2020-03-18	464	0			
2020-03-19	694	0			
2020-03-20	833	0			
2020-03-21	995	0			
2020-03-22	1120	1			
2020-03-23	1236	1			
2020-03-24	1394	3			
2020-03-25	1654	6			
2020-03-26	1925	9			
2020-03-27	2279	9			
2020-03-28	2631	11			
2020-03-29	2817	16			
2020-03-30	3001	23			
2020-03-31	3308	31			
2020-04-01	3508	39			
2020-04-02	3858	44			
2020-04-03	4091	53			
2020-04-04	4472	59			
2020-04-05	4587	67			
2020-04-06	4822	78			
2020-04-07	5017	88			
2020-04-08	5312	99			
2020-04-09	5569	112			
2020-04-10	5732	119			
2020-04-11	5831	129			
2020-04-12	5991	138			
2020-04-13	6059	143			
2020-04-14	6111	161			
2020-04-15	6216	166			
2020-04-16	6433	169			
2020-04-17	6549	173			
2020-04-18	6606	181			
2020-04-19	6746	186			
2020-04-20	6900	194			
2020-04-21	7033	201			
2020-04-22	7132	208			
2020-04-23	7187	210			
2020-04-24	7273	214			
2020-04-25	7352	218			
2020-04-26	7404	220			
2020-04-27	7445	223			
2020-04-28	7504	227			
2020-04-29	7579	227			
2020-04-30	7682	236			
2020-05-01	7737	240			
2020-05-02	7755	245			
2020-05-03	7781	248			
2020-05-04	7819	252			
2020-05-05	7896	257			
2020-05-06	7974	262			
2020-05-07	8031	270			
2020-05-08	8077	273			
2020-05-09	8095	276			
2020-05-10	8123	280			
