# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	3	0			
2020-03-24	3	0			
2020-03-25	11	0			
2020-03-26	11	0			
2020-03-27	12	0			
2020-03-28	14	0			
2020-03-29	18	0			
2020-03-30	18	0			
2020-03-31	30	0			
2020-04-01	33	0			
2020-04-02	40	0			
2020-04-03	49	0			
2020-04-04	50	0			
2020-04-05	59	0			
2020-04-06	90	0			
2020-04-07	90	0			
2020-04-08	135	0			
2020-04-09	135	0			
2020-04-10	150	1			
2020-04-11	187	2			
2020-04-12	214	2			
2020-04-13	298	2			
2020-04-14	363	2			
2020-04-15	435	2			
2020-04-16	591	2			
2020-04-17	732	2			
2020-04-18	732	2			
2020-04-19	846	2			
2020-04-20	846	2			
2020-04-21	945	2			
2020-04-22	974	2			
2020-04-23	986	2			
2020-04-24	999	2			
2020-04-25	1008	2			
2020-04-26	1023	2			
2020-04-27	1035	2			
2020-04-28	1072	2			
2020-04-29	1077	2			
2020-04-30	1089	2			
2020-05-01	1097	2			
2020-05-02	1112	2			
2020-05-03	1112	2			
2020-05-04	1116	2			
2020-05-05	1120	2			
2020-05-06	1124	3			
2020-05-07	1133	3			
2020-05-08	1135	3			
2020-05-09	1189	3			
2020-05-10	1210	3			
2020-05-11	1227	3			
2020-05-12	1256	3			
2020-05-13	1268	3			
2020-05-14	1284	3			
2020-05-15	1309	4			
2020-05-16	1331	4			
2020-05-17	1401	4			
2020-05-18	1518	7			
2020-05-19	1618	7			
2020-05-20	1828	9			
2020-05-21	2047	10			
2020-05-22	2270	10			
2020-05-23	2270	10			
2020-05-24	2270	10			
2020-05-25	2468	14			
2020-05-26	2468	14			
2020-05-27	2697	18			
2020-05-28	2914	20			
2020-05-29	2914	20			
2020-05-30	3194	22			
