# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-27	1	0			
2020-01-28	4	0			
2020-01-29	4	0			
2020-01-30	4	0			
2020-01-31	5	0			
2020-02-01	8	0			
2020-02-02	10	0			
2020-02-03	12	0			
2020-02-04	12	0			
2020-02-05	12	0			
2020-02-06	12	0			
2020-02-07	13	0			
2020-02-08	13	0			
2020-02-09	14	0			
2020-02-10	14	0			
2020-02-11	16	0			
2020-02-12	16	0			
2020-02-13	16	0			
2020-02-14	16	0			
2020-02-15	16	0			
2020-02-16	16	0			
2020-02-17	16	0			
2020-02-18	16	0			
2020-02-19	16	0			
2020-02-20	16	0			
2020-02-21	16	0			
2020-02-22	16	0			
2020-02-23	16	0			
2020-02-24	16	0			
2020-02-25	17	0			
2020-02-26	27	0			
2020-02-27	46	0			
2020-02-28	48	0			
2020-02-29	79	0			
2020-03-01	130	0			
2020-03-02	159	0			
2020-03-03	196	0			
2020-03-04	262	0			
2020-03-05	482	0			
2020-03-06	670	0			
2020-03-07	799	0			
2020-03-08	1040	0			
2020-03-09	1176	2			
2020-03-10	1457	2			
2020-03-11	1908	3			
2020-03-12	2078	3			
2020-03-13	3675	7			
2020-03-14	4585	9			
2020-03-15	5795	11			
2020-03-16	7272	17			
2020-03-17	9257	24			
2020-03-18	12327	28			
2020-03-19	15320	44			
2020-03-20	19848	67			
2020-03-21	22213	84			
2020-03-22	24873	94			
2020-03-23	29056	123			
2020-03-24	32986	157			
2020-03-25	37323	206			
2020-03-26	43938	267			
2020-03-27	50871	342			
2020-03-28	57695	433			
2020-03-29	62095	533			
2020-03-30	66885	645			
2020-03-31	71808	775			
2020-04-01	77872	920			
2020-04-02	84794	1107			
2020-04-03	91159	1275			
2020-04-04	96092	1444			
2020-04-05	100123	1584			
2020-04-06	103374	1810			
2020-04-07	107663	2016			
2020-04-08	113296	2349			
2020-04-09	118181	2607			
2020-04-10	122171	2767			
2020-04-11	124908	2736			
2020-04-12	127854	3022			
2020-04-13	130072	3194			
2020-04-14	131359	3294			
2020-04-15	134753	3804			
2020-04-16	137698	4052			
2020-04-17	141397	4352			
2020-04-18	143342	4459			
2020-04-19	145184	4586			
2020-04-20	147065	4862			
2020-04-21	148291	5033			
2020-04-22	150648	5279			
2020-04-23	153129	5575			
2020-04-24	154999	5760			
2020-04-25	156513	5877			
2020-04-26	157770	5976			
2020-04-27	158758	6126			
2020-04-28	159912	6314			
2020-04-29	161539	6467			
2020-04-30	163009	6623			
2020-05-01	164077	6736			
2020-05-02	164967	6812			
2020-05-03	165664	6866			
2020-05-04	166152	6993			
2020-05-05	167007	6993			
2020-05-06	168162	7275			
2020-05-07	169430	7392			
2020-05-08	170588	7510			
2020-05-09	171324	7549			
2020-05-10	171879	7569			
2020-05-11	172576	7661			
2020-05-12	173171	7738			
2020-05-13	174098	7861			
2020-05-14	174478	7884			
2020-05-15	175233	7897			
2020-05-16	175752	7938			
2020-05-17	176369	7962			
2020-05-18	176551	8003			
2020-05-19	177778	8081			
2020-05-20	178473	8144			
2020-05-21	179021	8203			
2020-05-22	179710	8228			
2020-05-23	179986	8261			
2020-05-24	180328	8283			
2020-05-25	180600	8309			
2020-05-26	181200	8372			
2020-05-27	181524	8428			
2020-05-28	182196	8470			
2020-05-29	182922	8504			
2020-05-30	183189	8530			
2020-05-31	183410	8540			
2020-06-01	183594	8555			
2020-06-02	183879	8563			
2020-06-03	184121	8602			
2020-06-04	184472	8635			
2020-06-05	184924	8658			
2020-06-06	185450	8673			
2020-06-07	185750	8685			
2020-06-08	186109	8695			
2020-06-09	186506	8736			
2020-06-10	186522	8752			
2020-06-11	186691	8772			
2020-06-12	187226	8783			
2020-06-13	187267	8793			
2020-06-14	187518	8801			
2020-06-15	187682	8807			
2020-06-16	188252	8820			
2020-06-17	188604	8851			
2020-06-18	189817	8875			
2020-06-19	190299	8887			
2020-06-20	190670	8895			
2020-06-21	191272	8895			
2020-06-22	191768	8899			
2020-06-23	192480	8914			
2020-06-24	192871	8928			
2020-06-25	193371	8940			
2020-06-26	194036	8965			
2020-06-27	194458	8968			
2020-06-28	194693	8968			
2020-06-29	195042	8976			
2020-06-30	195418	8990			
2020-07-01	195893	8995			
2020-07-02	196370	9006			
2020-07-03	196780	9010			
2020-07-04	197198	9020			
2020-07-05	197523	9023			
2020-07-06	198064	9022			
2020-07-07	198343	9032			
2020-07-08	198699	9046			
2020-07-09	199001	9057			
2020-07-10	199332	9063			
2020-07-11	199709	9070			
2020-07-12	199919	9071			
2020-07-13	200180	9074			
2020-07-14	200456	9078			
2020-07-15	200890	9080			
2020-07-16	201450	9087			
2020-07-17	202045	9088			
2020-07-18	202426	9091			
2020-07-19	202735	9092			
2020-07-20	203325	9094			
2020-07-21	203717	9099			
2020-07-22	204276	9102			
2020-07-23	204881	9110			
2020-07-24	205623	9120			
2020-07-25	206278	9124			
2020-07-26	206667	9124			
2020-07-27	207112	9125			
2020-07-28	207707	9131			
2020-07-29	208546	9135			
2020-07-30	209535	9144			
2020-07-31	210399	9147			
2020-08-01	211005	9154			
2020-08-02	211220	9154			
2020-08-03	212111	9154			
2020-08-04	212828	9163			
2020-08-05	214113	9179			
2020-08-06	215039	9181			
2020-08-07	216196	9195			
2020-08-08	216903	9201			
2020-08-09	217288	9202			
2020-08-10	218508	9203			
2020-08-11	219540	9208			
2020-08-12	220859	9213			
2020-08-13	222281	9217			
2020-08-14	223791	9230			
2020-08-15	224488	9235			
2020-08-16	225007	9235			
2020-08-17	226700	9236			
2020-08-18	228120	9241			
2020-08-19	229706	9249			
2020-08-20	231292	9263			
2020-08-21	233029	9266			
2020-08-22	233861	9272			
2020-08-23	234494	9275			
2020-08-24	236122	9276			
2020-08-25	237583	9281			
2020-08-26	239010	9285			
2020-08-27	240571	9290			
2020-08-28	242126	9290			
2020-08-29	242835	9299			
2020-08-30	243305	9300			
2020-08-31	244802	9303			
2020-09-01	246015	9307			
2020-09-02	247411	9322			
2020-09-03	248840	9322			
2020-09-04	250283	9327			
2020-09-05	251058	9329			
2020-09-06	251728	9330			
2020-09-07	253626	9331			
2020-09-08	254957	9336			
2020-09-09	256433	9342			
2020-09-10	258149	9345			
2020-09-11	259735	9348			
2020-09-12	260817	9352			
2020-09-13	261737	9354			
2020-09-14	263222	9356			
2020-09-15	265014	9367			
2020-09-16	266869	9373			
2020-09-17	269048	9376			
2020-09-18	271247	9386			
2020-09-19	272932	9388			
2020-09-20	273965	9390			
2020-09-21	275560	9390			
2020-09-22	277412	9405			
2020-09-23	279025	9423			
2020-09-24	281346	9436			
2020-09-25	283712	9451			
2020-09-26	285026	9459			
2020-09-27	286339	9464			
2020-09-28	288631	9468			
2020-09-29	290471	9483			
2020-09-30	292913	9495			
2020-10-01	295539	9509			
2020-10-02	298374	9518			
2020-10-03	300027	9531			
2020-10-04	301573	9533			
2020-10-05	304673	9554			
2020-10-06	307127	9566			
