# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	2	1			
2020-03-17	6	1			
2020-03-18	6	1			
2020-03-19	9	1			
2020-03-20	12	1			
2020-03-21	17	1			
2020-03-22	19	1			
2020-03-23	20	1			
2020-03-24	21	1			
2020-03-25	24	1			
2020-03-26	25	1			
2020-03-27	28	1			
2020-03-28	34	1			
2020-03-29	34	1			
2020-03-30	36	1			
2020-03-31	38	1			
2020-04-01	39	1			
2020-04-02	47	1			
2020-04-03	50	1			
2020-04-04	61	2			
2020-04-05	61	2			
2020-04-06	70	3			
2020-04-07	77	3			
2020-04-08	87	3			
2020-04-09	95	3			
2020-04-10	126	3			
2020-04-11	137	3			
2020-04-12	155	5			
2020-04-13	156	5			
2020-04-14	167	5			
2020-04-15	180	5			
2020-04-16	196	5			
2020-04-17	214	7			
2020-04-18	235	7			
2020-04-19	257	7			
2020-04-20	289	7			
2020-04-21	294	7			
2020-04-22	316	8			
2020-04-23	384	11			
2020-04-24	430	11			
2020-04-25	473	13			
2020-04-26	500	15			
2020-04-27	530	15			
2020-04-28	530	15			
2020-04-29	557	16			
2020-04-30	599	16			
2020-05-01	644	16			
2020-05-02	688	17			
2020-05-03	703	17			
2020-05-04	730	19			
2020-05-05	763	19			
2020-05-06	798	21			
2020-05-07	832	23			
2020-05-08	900	24			
2020-05-09	967	24			
2020-05-10	1052	26			
2020-05-11	1114	26			
2020-05-12	1199	27			
2020-05-13	1342	29			
2020-05-14	1518	29			
2020-05-15	1643	30			
2020-05-16	1763	33			
2020-05-17	1763	33			
2020-05-18	1912	35			
2020-05-19	2133	43			
2020-05-20	2265	45			
2020-05-21	2512	48			
2020-05-22	2743	51			
2020-05-23	3054	55			
2020-05-24	3424	58			
2020-05-25	3760	59			
2020-05-26	3954	63			
2020-05-27	4145	68			
2020-05-28	4348	80			
2020-05-29	4607	90			
2020-05-30	4739	102			
2020-05-31	5087	108			
2020-06-01	5336	116			
2020-06-02	5586	123			
2020-06-03	5760	143			
2020-06-04	6154	158			
2020-06-05	6485	216			
2020-06-06	6792	230			
2020-06-07	7055	252			
2020-06-08	7502	267			
2020-06-09	7866	289			
2020-06-10	8221	316			
2020-06-11	8561	334			
2020-06-12	8982	351			
2020-06-13	9491	367			
2020-06-14	9845	384			
