# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-25	2	0			
2020-03-26	2	0			
2020-03-27	2	0			
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	8	0			
2020-03-31	8	0			
2020-04-01	9	0			
2020-04-02	9	0			
2020-04-03	15	0			
2020-04-04	18	0			
2020-04-05	18	0			
2020-04-06	18	0			
2020-04-07	33	0			
2020-04-08	33	0			
2020-04-09	36	0			
2020-04-10	36	0			
2020-04-11	38	0			
2020-04-12	38	0			
2020-04-13	38	0			
2020-04-14	38	0			
2020-04-15	43	0			
2020-04-16	43	0			
2020-04-17	43	0			
2020-04-18	46	0			
2020-04-19	50	0			
2020-04-20	50	0			
2020-04-21	50	0			
2020-04-22	50	0			
2020-04-23	50	0			
2020-04-24	52	0			
2020-04-25	52	0			
2020-04-26	53	1			
2020-04-27	73	1			
2020-04-28	73	1			
2020-04-29	205	1			
2020-04-30	205	1			
2020-05-01	257	1			
2020-05-02	257	1			
2020-05-03	257	1			
2020-05-04	413	1			
2020-05-05	413	1			
2020-05-06	475	2			
2020-05-07	564	2			
2020-05-08	594	2			
2020-05-09	641	3			
2020-05-10	726	3			
2020-05-11	761	3			
2020-05-12	820	3			
2020-05-13	836	3			
2020-05-14	913	3			
2020-05-15	913	3			
2020-05-16	969	4			
2020-05-17	990	4			
2020-05-18	1032	4			
2020-05-19	1038	6			
2020-05-20	1089	6			
2020-05-21	1109	6			
2020-05-22	1114	6			
2020-05-23	1114	6			
2020-05-24	1114	6			
2020-05-25	1178	7			
2020-05-26	1178	7			
2020-05-27	1195	7			
2020-05-28	1195	8			
2020-05-29	1256	8			
2020-05-30	1256	8			
2020-05-31	1256	8			
2020-06-01	1339	8			
2020-06-02	1339	8			
2020-06-03	1339	8			
2020-06-04	1339	8			
2020-06-05	1368	12			
2020-06-06	1368	12			
2020-06-07	1368	12			
2020-06-08	1389	12			
2020-06-09	1389	12			
2020-06-10	1389	12			
2020-06-11	1389	12			
2020-06-12	1460	15			
2020-06-13	1460	15			
2020-06-14	1460	15			
2020-06-15	1492	15			
2020-06-16	1492	15			
2020-06-17	1492	15			
2020-06-18	1492	15			
2020-06-19	1541	17			
2020-06-20	1541	17			
2020-06-21	1541	17			
2020-06-22	1556	19			
2020-06-23	1556	19			
2020-06-24	1556	19			
2020-06-25	1556	19			
2020-06-26	1614	22			
2020-06-27	1614	22			
2020-06-28	1614	22			
2020-06-29	1654	24			
2020-06-30	1654	24			
2020-07-01	1654	24			
2020-07-02	1654	24			
2020-07-03	1765	25			
2020-07-04	1765	25			
2020-07-05	1765	25			
2020-07-06	1790	25			
2020-07-07	1790	25			
2020-07-08	1790	25			
2020-07-09	1790	25			
2020-07-10	1842	26			
2020-07-11	1842	26			
2020-07-12	1842	26			
2020-07-13	1842	26			
2020-07-14	1842	26			
2020-07-15	1842	26			
2020-07-16	1902	26			
2020-07-17	1927	26			
2020-07-18	1949	26			
2020-07-19	1949	26			
2020-07-20	1949	26			
2020-07-21	1954	26			
2020-07-22	1954	26			
2020-07-23	1954	26			
2020-07-24	1954	26			
2020-07-25	1954	26			
2020-07-26	1954	26			
2020-07-27	1954	26			
2020-07-28	1954	26			
2020-07-29	1954	26			
2020-07-30	1981	26			
2020-07-31	1981	26			
2020-08-01	1981	27			
2020-08-02	1981	27			
2020-08-03	1981	27			
2020-08-04	1981	27			
2020-08-05	2032	27			
2020-08-06	2032	27			
2020-08-07	2032	27			
2020-08-08	2052	29			
2020-08-09	2052	29			
2020-08-10	2052	29			
2020-08-11	2088	29			
2020-08-12	2088	29			
2020-08-13	2088	29			
2020-08-14	2088	29			
2020-08-15	2117	33			
2020-08-16	2117	33			
2020-08-17	2117	33			
2020-08-18	2117	33			
2020-08-19	2117	33			
2020-08-20	2149	33			
2020-08-21	2149	33			
2020-08-22	2149	33			
2020-08-23	2149	33			
2020-08-24	2149	33			
2020-08-25	2149	33			
2020-08-26	2205	34			
2020-08-27	2205	34			
2020-08-28	2205	34			
2020-08-29	2205	34			
2020-08-30	2205	34			
2020-08-31	2205	34			
2020-09-01	2205	34			
2020-09-02	2205	34			
2020-09-03	2205	34			
2020-09-04	2245	38			
2020-09-05	2245	38			
2020-09-06	2245	38			
2020-09-07	2245	38			
2020-09-08	2245	38			
2020-09-09	2245	38			
2020-09-10	2275	39			
2020-09-11	2275	39			
2020-09-12	2275	39			
2020-09-13	2275	39			
2020-09-14	2275	39			
2020-09-15	2275	39			
2020-09-16	2275	39			
2020-09-17	2275	39			
2020-09-18	2303	39			
2020-09-19	2303	39			
2020-09-20	2303	39			
2020-09-21	2303	39			
2020-09-22	2324	39			
2020-09-23	2324	39			
2020-09-24	2324	39			
2020-09-25	2324	39			
2020-09-26	2324	39			
2020-09-27	2324	39			
2020-09-28	2324	39			
2020-09-29	2324	39			
2020-09-30	2324	39			
2020-10-01	2324	39			
2020-10-02	2362	39			
2020-10-03	2362	39			
2020-10-04	2362	39			
2020-10-05	2385	40			
2020-10-06	2385	40			
2020-10-07	2385	40			
2020-10-08	2385	40			
2020-10-09	2385	40			
2020-10-10	2385	40			
2020-10-11	2385	40			
2020-10-12	2389	41			
2020-10-13	2389	41			
2020-10-14	2389	41			
2020-10-15	2389	41			
2020-10-16	2389	41			
2020-10-17	2389	41			
2020-10-18	2389	41			
2020-10-19	2403	41			
2020-10-20	2403	41			
2020-10-21	2403	41			
2020-10-22	2403	41			
2020-10-23	2403	41			
2020-10-24	2403	41			
2020-10-25	2403	41			
2020-10-26	2403	41			
2020-10-27	2403	41			
2020-10-28	2403	41			
2020-10-29	2403	41			
2020-10-30	2403	41			
2020-10-31	2413	41			
2020-11-01	2413	41			
2020-11-02	2413	41			
2020-11-03	2413	41			
2020-11-04	2414	42			
2020-11-05	2414	42			
2020-11-06	2414	42			
2020-11-07	2414	42			
2020-11-08	2414	42			
2020-11-09	2419	43			
2020-11-10	2419	43			
2020-11-11	2419	43			
2020-11-12	2419	43			
2020-11-13	2419	43			
2020-11-14	2419	43			
2020-11-15	2419	43			
2020-11-16	2419	43			
2020-11-17	2419	43			
2020-11-18	2421	43			
2020-11-19	2421	43			
2020-11-20	2421	43			
2020-11-21	2421	43			
2020-11-22	2421	43			
2020-11-23	2422	43			
2020-11-24	2422	43			
2020-11-25	2422	43			
2020-11-26	2422	43			
2020-11-27	2422	43			
2020-11-28	2422	43			
2020-11-29	2422	43			
2020-11-30	2441	44			
2020-12-01	2441	44			
2020-12-02	2441	44			
2020-12-03	2441	44			
2020-12-04	2441	44			
2020-12-05	2441	44			
2020-12-06	2441	44			
2020-12-07	2444	44			
2020-12-08	2444	44			
2020-12-09	2444	44			
2020-12-10	2444	44			
2020-12-11	2444	44			
2020-12-12	2444	44			
2020-12-13	2444	44			
2020-12-14	2444	44			
2020-12-15	2447	44			
2020-12-16	2447	44			
2020-12-17	2447	44			
2020-12-18	2447	44			
2020-12-19	2447	44			
2020-12-20	2447	44			
2020-12-21	2447	44			
2020-12-22	2447	45			
2020-12-23	2447	45			
2020-12-24	2447	45			
2020-12-25	2447	45			
2020-12-26	2447	45			
2020-12-27	2447	45			
2020-12-28	2447	45			
2020-12-29	2452	45			
2020-12-30	2452	45			
2020-12-31	2452	45			
2021-01-01	2452	45			
2021-01-02	2452	45			
2021-01-03	2455	45			
2021-01-04	2455	45			
2021-01-05	2455	45			
2021-01-06	2455	45			
2021-01-07	2455	45			
2021-01-08	2455	45			
