# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	4	0			
2020-03-24	4	0			
2020-03-25	4	0			
2020-03-26	4	0			
2020-03-27	8	0			
2020-03-28	8	0			
2020-03-29	16	0			
2020-03-30	22	0			
2020-03-31	22	0			
2020-04-01	30	0			
2020-04-02	52	0			
2020-04-03	73	0			
2020-04-04	111	0			
2020-04-05	121	0			
2020-04-06	128	0			
2020-04-07	144	0			
2020-04-08	164	0			
2020-04-09	194	0			
2020-04-10	212	0			
2020-04-11	250	0			
2020-04-12	250	0			
2020-04-13	319	0			
2020-04-14	363	0			
2020-04-15	404	1			
2020-04-16	438	1			
2020-04-17	477	3			
2020-04-18	518	3			
2020-04-19	579	5			
2020-04-20	622	5			
2020-04-21	688	6			
2020-04-22	761	6			
2020-04-23	862	6			
2020-04-24	954	6			
2020-04-25	996	7			
2020-04-26	996	7			
2020-04-27	1163	7			
2020-04-28	1240	7			
2020-04-29	1351	7			
2020-04-30	1495	7			
2020-05-01	1537	7			
2020-05-02	1586	7			
2020-05-03	1586	7			
2020-05-04	1710	9			
2020-05-05	1811	10			
2020-05-06	1856	11			
2020-05-07	1927	11			
2020-05-08	2009	11			
2020-05-09	2042	11			
2020-05-10	2146	11			
2020-05-11	2146	11			
2020-05-12	2298	11			
2020-05-13	2374	14			
2020-05-14	2473	15			
2020-05-15	2473	15			
2020-05-16	2658	16			
2020-05-17	2658	16			
2020-05-18	2796	16			
2020-05-19	2863	18			
2020-05-20	2863	18			
2020-05-21	3067	18			
2020-05-22	3067	19			
2020-05-23	3176	20			
2020-05-24	3275	20			
2020-05-25	3275	20			
2020-05-26	3275	20			
2020-05-27	3275	20			
2020-05-28	3553	22			
2020-05-29	3656	22			
2020-05-30	3706	23			
2020-05-31	3706	23			
2020-06-01	3844	23			
2020-06-02	3886	23			
2020-06-03	3933	23			
2020-06-04	3991	23			
2020-06-05	4060	23			
2020-06-06	4117	23			
2020-06-07	4117	23			
2020-06-08	4216	23			
2020-06-09	4258	23			
2020-06-10	4258	23			
2020-06-11	4372	23			
2020-06-12	4426	24			
2020-06-13	4484	25			
2020-06-14	4532	25			
2020-06-15	4572	26			
2020-06-16	4639	26			
2020-06-17	4668	26			
2020-06-18	4841	26			
2020-06-19	4904	27			
2020-06-20	4960	27			
2020-06-21	4988	27			
2020-06-22	4988	27			
2020-06-23	5040	28			
2020-06-24	5174	29			
2020-06-25	5174	29			
2020-06-26	5260	29			
2020-06-27	5291	30			
2020-06-28	5342	31			
2020-06-29	5351	31			
2020-06-30	5391	33			
2020-07-01	5404	33			
2020-07-02	5450	33			
2020-07-03	5521	33			
2020-07-04	5570	34			
2020-07-05	5610	34			
2020-07-06	5610	34			
2020-07-07	5636	34			
2020-07-08	5697	34			
2020-07-09	5881	36			
2020-07-10	5969	37			
2020-07-11	6044	37			
2020-07-12	6141	37			
2020-07-13	6141	37			
2020-07-14	6200	38			
2020-07-15	6276	38			
2020-07-16	6359	39			
2020-07-17	6430	39			
2020-07-18	6491	39			
2020-07-19	6544	39			
2020-07-20	6590	40			
2020-07-21	6652	41			
2020-07-22	6747	41			
2020-07-23	6806	42			
2020-07-24	6867	42			
2020-07-25	6927	42			
2020-07-26	7008	43			
2020-07-27	7055	45			
2020-07-28	7126	46			
2020-07-29	7183	46			
2020-07-30	7242	46			
2020-07-31	7308	46			
2020-08-01	7308	46			
2020-08-02	7317	46			
2020-08-03	7364	46			
2020-08-04	7489	48			
2020-08-05	7575	49			
2020-08-06	7664	49			
2020-08-07	7777	50			
2020-08-08	7875	50			
2020-08-09	7930	50			
2020-08-10	7930	50			
2020-08-11	8018	50			
2020-08-12	8116	50			
2020-08-13	8198	50			
2020-08-14	8260	50			
2020-08-15	8343	50			
2020-08-16	8482	51			
2020-08-17	8620	51			
2020-08-18	8715	52			
2020-08-19	8792	53			
2020-08-20	8876	53			
2020-08-21	8932	53			
2020-08-22	8932	53			
2020-08-23	8967	53			
2020-08-24	9076	55			
2020-08-25	9128	57			
2020-08-26	9167	57			
2020-08-27	9213	58			
2020-08-28	9251	59			
2020-08-29	9251	59			
2020-08-30	9371	59			
2020-08-31	9409	59			
2020-09-01	9479	59			
2020-09-02	9479	59			
2020-09-03	9579	61			
2020-09-04	9649	61			
2020-09-05	9649	61			
2020-09-06	9798	61			
2020-09-07	9816	62			
2020-09-08	9848	63			
2020-09-09	9885	63			
2020-09-10	9946	63			
2020-09-11	9979	63			
2020-09-12	10020	63			
2020-09-13	10045	63			
2020-09-14	10061	63			
2020-09-15	10111	63			
2020-09-16	10154	63			
2020-09-17	10154	63			
2020-09-18	10231	63			
2020-09-19	10286	63			
2020-09-20	10325	64			
2020-09-21	10344	65			
2020-09-22	10387	65			
2020-09-23	10434	65			
2020-09-24	10434	65			
2020-09-25	10478	65			
2020-09-26	10512	65			
2020-09-27	10580	66			
2020-09-28	10598	66			
2020-09-29	10634	66			
2020-09-30	10652	66			
2020-10-01	10652	66			
2020-10-02	10735	66			
2020-10-03	10735	66			
2020-10-04	10754	66			
2020-10-05	10800	67			
2020-10-06	10863	68			
2020-10-07	10863	68			
2020-10-08	10901	68			
2020-10-09	10954	68			
2020-10-10	10996	69			
2020-10-11	11022	69			
2020-10-12	11062	70			
2020-10-13	11134	70			
2020-10-14	11188	70			
2020-10-15	11255	70			
2020-10-16	11362	70			
2020-10-17	11478	70			
2020-10-18	11518	70			
2020-10-19	11518	70			
2020-10-20	11538	70			
2020-10-21	11599	70			
2020-10-22	11635	71			
2020-10-23	11635	71			
2020-10-24	11635	71			
2020-10-25	11635	71			
2020-10-26	11635	71			
2020-10-27	11819	71			
2020-10-28	11819	71			
2020-10-29	12020	71			
2020-10-30	12072	72			
2020-10-31	12072	72			
2020-11-01	12195	73			
2020-11-02	12213	73			
2020-11-03	12213	73			
2020-11-04	12331	73			
2020-11-05	12363	73			
2020-11-06	12363	73			
2020-11-07	12400	73			
2020-11-08	12414	74			
2020-11-09	12459	74			
2020-11-10	12484	74			
2020-11-11	12516	74			
2020-11-12	12537	74			
2020-11-13	12537	74			
2020-11-14	12585	74			
2020-11-15	12611	75			
2020-11-16	12624	75			
2020-11-17	12654	75			
2020-11-18	12713	75			
2020-11-19	12713	75			
2020-11-20	12743	75			
2020-11-21	12798	75			
2020-11-22	12826	75			
2020-11-23	12841	75			
2020-11-24	12863	75			
2020-11-25	12929	76			
2020-11-26	12949	76			
2020-11-27	13039	76			
2020-11-28	13039	76			
2020-11-29	13039	76			
2020-11-30	13119	76			
2020-12-01	13119	76			
2020-12-02	13143	76			
2020-12-03	13167	76			
2020-12-04	13186	76			
2020-12-05	13233	76			
2020-12-06	13233	76			
2020-12-07	13264	79			
2020-12-08	13264	79			
2020-12-09	13325	79			
2020-12-10	13368	79			
2020-12-11	13398	79			
2020-12-12	13420	79			
2020-12-13	13420	79			
2020-12-14	13457	80			
2020-12-15	13457	80			
2020-12-16	13474	80			
2020-12-17	13485	80			
2020-12-18	13511	80			
2020-12-19	13532	80			
2020-12-20	13545	80			
2020-12-21	13578	80			
2020-12-22	13578	80			
2020-12-23	13598	80			
2020-12-24	13630	80			
2020-12-25	13646	80			
2020-12-26	13646	80			
2020-12-27	13674	80			
2020-12-28	13688	80			
2020-12-29	13688	80			
2020-12-30	13707	80			
2020-12-31	13722	81			
2021-01-01	13738	81			
2021-01-02	13784	81			
2021-01-03	13784	81			
2021-01-04	13799	81			
2021-01-05	13845	81			
2021-01-06	13845	81			
2021-01-07	13904	81			
2021-01-08	13904	81			
2021-01-09	13942	81			
2021-01-10	13942	81			
2021-01-11	13980	81			
2021-01-12	14025	81			
2021-01-13	14051	81			
2021-01-14	14051	81			
2021-01-15	14065	81			
2021-01-16	14098	81			
2021-01-17	14114	81			
2021-01-18	14165	81			
2021-01-19	14207	81			
2021-01-20	14207	81			
2021-01-21	14236	81			
2021-01-22	14262	81			
2021-01-23	14300	81			
2021-01-24	14319	81			
2021-01-25	14375	81			
2021-01-26	14379	82			
2021-01-27	14435	82			
2021-01-28	14435	82			
2021-01-29	14451	82			
2021-01-30	14475	82			
2021-01-31	14546	82			
2021-02-01	14555	83			
2021-02-02	14555	83			
2021-02-03	14555	83			
2021-02-04	14629	84			
2021-02-05	14629	84			
2021-02-06	14665	84			
2021-02-07	14687	84			
2021-02-08	14764	84			
2021-02-09	14791	84			
2021-02-10	14791	84			
2021-02-11	14860	84			
2021-02-12	14860	84			
2021-02-13	14895	84			
2021-02-14	14967	85			
2021-02-15	14967	85			
2021-02-16	15020	85			
2021-02-17	15088	85			
2021-02-18	15154	85			
2021-02-19	15216	86			
2021-02-20	15395	86			
2021-02-21	15395	86			
2021-02-22	15427	86			
2021-02-23	15487	87			
2021-02-24	15680	88			
2021-02-25	15789	88			
2021-02-26	15894	89			
2021-02-27	15894	89			
2021-02-28	15992	89			
2021-03-01	16005	89			
2021-03-02	16081	91			
2021-03-03	16291	92			
2021-03-04	16420	93			
2021-03-05	16420	93			
2021-03-06	16540	93			
2021-03-07	16670	95			
2021-03-08	16912	97			
2021-03-09	16912	97			
2021-03-10	17208	101			
2021-03-11	17372	101			
2021-03-12	17592	102			
2021-03-13	17592	102			
2021-03-14	17742	102			
2021-03-15	17851	103			
2021-03-16	17982	104			
2021-03-17	18285	106			
2021-03-18	18285	106			
2021-03-19	18562	108			
2021-03-20	18562	108			
2021-03-21	18877	111			
2021-03-22	18945	113			
2021-03-23	18945	113			
2021-03-24	19084	113			
2021-03-25	19232	113			
2021-03-26	19403	116			
2021-03-27	19501	116			
2021-03-28	19670	120			
2021-03-29	19773	123			
2021-03-30	19793	125			
2021-03-31	19908	125			
2021-04-01	20083	127			
2021-04-02	20228	128			
2021-04-03	20319	129			
2021-04-04	20405	130			
2021-04-05	20506	130			
2021-04-06	20510	130			
2021-04-07	20554	131			
2021-04-08	20554	131			
2021-04-09	20746	132			
2021-04-10	20807	133			
2021-04-11	20949	134			
2021-04-12	21032	136			
2021-04-13	21106	136			
2021-04-14	21299	136			
2021-04-15	21299	136			
2021-04-16	21392	138			
2021-04-17	21460	138			
2021-04-18	21460	138			
2021-04-19	21612	138			
2021-04-20	21633	139			
2021-04-21	21666	139			
2021-04-22	21745	139			
2021-04-23	21803	139			
2021-04-24	21885	140			
2021-04-25	21953	140			
2021-04-26	21985	141			
2021-04-27	22046	141			
2021-04-28	22087	141			
2021-04-29	22215	144			
2021-04-30	22215	144			
2021-05-01	22247	144			
2021-05-02	22304	145			
2021-05-03	22333	146			
2021-05-04	22368	146			
2021-05-05	22468	148			
2021-05-06	22505	148			
2021-05-07	22553	149			
2021-05-08	22602	150			
2021-05-09	22633	150			
2021-05-10	22633	150			
2021-05-11	22719	151			
2021-05-12	22719	151			
