# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	1	1			
2020-03-13	1	1			
2020-03-14	1	1			
2020-03-15	4	1			
2020-03-16	4	1			
2020-03-17	7	1			
2020-03-18	7	1			
2020-03-19	7	1			
2020-03-20	7	1			
2020-03-21	7	1			
2020-03-22	19	1			
2020-03-23	20	1			
2020-03-24	5	1			
2020-03-25	5	1			
2020-03-26	5	1			
2020-03-27	5	1			
2020-03-28	8	1			
2020-03-29	8	1			
2020-03-30	8	1			
2020-03-31	12	2			
2020-04-01	19	2			
2020-04-02	19	4			
2020-04-03	23	4			
2020-04-04	23	4			
2020-04-05	24	4			
2020-04-06	31	4			
2020-04-07	33	5			
2020-04-08	37	6			
2020-04-09	37	6			
2020-04-10	37	6			
2020-04-11	45	6			
2020-04-12	45	6			
2020-04-13	45	6			
2020-04-14	47	6			
2020-04-15	55	6			
2020-04-16	55	6			
2020-04-17	63	6			
2020-04-18	63	6			
2020-04-19	65	7			
2020-04-20	65	7			
2020-04-21	66	7			
2020-04-22	67	7			
2020-04-23	70	7			
2020-04-24	73	7			
2020-04-25	73	7			
2020-04-26	74	8			
2020-04-27	74	8			
2020-04-28	74	8			
2020-04-29	78	8			
2020-04-30	82	9			
2020-05-01	82	9			
2020-05-02	82	9			
2020-05-03	82	9			
2020-05-04	92	9			
2020-05-05	93	10			
2020-05-06	93	10			
2020-05-07	93	10			
2020-05-08	94	10			
2020-05-09	94	10			
2020-05-10	104	10			
2020-05-11	109	10			
2020-05-12	113	10			
2020-05-13	113	10			
2020-05-14	113	10			
2020-05-15	116	10			
2020-05-16	117	10			
2020-05-17	117	10			
2020-05-18	124	10			
2020-05-19	125	10			
2020-05-20	125	10			
2020-05-21	127	10			
2020-05-22	127	10			
2020-05-23	127	10			
2020-05-24	135	10			
2020-05-25	137	11			
2020-05-26	139	11			
2020-05-27	139	11			
2020-05-28	150	11			
2020-05-29	150	11			
2020-05-30	152	12			
2020-05-31	153	12			
2020-06-01	153	12			
2020-06-02	153	12			
2020-06-03	153	12			
2020-06-04	153	12			
2020-06-05	153	12			
2020-06-06	154	12			
2020-06-07	154	12			
2020-06-08	154	12			
2020-06-09	156	12			
2020-06-10	156	12			
2020-06-11	158	12			
2020-06-12	159	12			
2020-06-13	159	12			
2020-06-14	159	12			
2020-06-15	159	12			
2020-06-16	171	12			
2020-06-17	171	12			
2020-06-18	183	12			
2020-06-19	183	12			
2020-06-20	183	12			
2020-06-21	184	12			
2020-06-22	205	12			
2020-06-23	206	12			
2020-06-24	209	12			
2020-06-25	215	12			
2020-06-26	215	12			
2020-06-27	230	12			
2020-06-28	230	12			
2020-06-29	235	12			
2020-06-30	245	12			
2020-07-01	248	13			
2020-07-02	250	14			
2020-07-03	256	14			
2020-07-04	272	14			
2020-07-05	273	15			
2020-07-06	273	15			
2020-07-07	284	16			
2020-07-08	284	16			
2020-07-09	286	16			
2020-07-10	290	16			
2020-07-11	291	17			
2020-07-12	297	17			
2020-07-13	300	17			
2020-07-14	308	17			
2020-07-15	313	18			
2020-07-16	315	19			
2020-07-17	320	19			
2020-07-18	327	19			
2020-07-19	336	19			
2020-07-20	337	19			
2020-07-21	339	19			
2020-07-22	350	19			
2020-07-23	351	19			
2020-07-24	352	20			
2020-07-25	360	20			
2020-07-26	370	20			
2020-07-27	389	20			
2020-07-28	396	20			
2020-07-29	398	20			
2020-07-30	401	20			
2020-07-31	413	20			
2020-08-01	430	20			
2020-08-02	474	21			
2020-08-03	474	21			
2020-08-04	497	22			
2020-08-05	509	22			
2020-08-06	538	22			
2020-08-07	538	22			
2020-08-08	554	22			
2020-08-09	568	22			
2020-08-10	568	22			
2020-08-11	602	22			
2020-08-12	623	22			
2020-08-13	631	22			
2020-08-14	649	22			
2020-08-15	674	22			
2020-08-16	709	23			
2020-08-17	709	23			
2020-08-18	737	25			
2020-08-19	776	27			
2020-08-20	846	29			
2020-08-21	881	30			
2020-08-22	925	31			
2020-08-23	955	31			
2020-08-24	1029	31			
2020-08-25	1060	31			
2020-08-26	1093	31			
2020-08-27	1140	32			
2020-08-28	1180	35			
2020-08-29	1184	35			
2020-08-30	1234	36			
2020-08-31	1306	39			
2020-09-01	1373	41			
2020-09-02	1382	41			
2020-09-03	1401	44			
2020-09-04	1401	44			
2020-09-05	1459	46			
2020-09-06	1468	46			
2020-09-07	1560	47			
2020-09-08	1613	48			
2020-09-09	1703	48			
2020-09-10	1750	49			
2020-09-11	1763	52			
2020-09-12	1812	54			
2020-09-13	1853	56			
2020-09-14	1884	56			
2020-09-15	1958	58			
2020-09-16	1958	58			
2020-09-17	2027	60			
2020-09-18	2102	62			
2020-09-19	2168	64			
2020-09-20	2269	64			
2020-09-21	2402	65			
2020-09-22	2437	67			
2020-09-23	2535	69			
2020-09-24	2579	71			
2020-09-25	2709	73			
2020-09-26	2725	74			
2020-09-27	2772	76			
2020-09-28	2787	78			
2020-09-29	2846	78			
2020-09-30	2894	80			
2020-10-01	2929	82			
2020-10-02	2968	85			
2020-10-03	2968	85			
2020-10-04	3093	87			
2020-10-05	3188	90			
2020-10-06	3188	92			
2020-10-07	3292	95			
2020-10-08	3329	98			
2020-10-09	3358	100			
2020-10-10	3405	102			
2020-10-11	3469	103			
2020-10-12	3521	104			
2020-10-13	3565	106			
2020-10-14	3589	106			
2020-10-15	3620	107			
2020-10-16	3672	107			
2020-10-17	3710	109			
2020-10-18	3734	109			
2020-10-19	3765	111			
2020-10-20	3796	114			
2020-10-21	3850	116			
2020-10-22	3877	117			
2020-10-23	3960	117			
2020-10-24	3994	117			
2020-10-25	4023	119			
2020-10-26	4026	119			
2020-10-27	4061	119			
2020-10-28	4074	123			
2020-10-29	4098	123			
2020-10-30	4143	124			
2020-10-31	4162	124			
2020-11-01	4208	126			
2020-11-02	4238	128			
2020-11-03	4245	128			
2020-11-04	4324	130			
2020-11-05	4393	130			
2020-11-06	4457	133			
2020-11-07	4484	134			
2020-11-08	4514	134			
2020-11-09	4524	135			
2020-11-10	4530	135			
2020-11-11	4618	137			
2020-11-12	4662	138			
2020-11-13	4724	138			
2020-11-14	4794	138			
2020-11-15	4823	139			
2020-11-16	4874	139			
2020-11-17	4890	140			
2020-11-18	4914	142			
2020-11-19	4976	143			
2020-11-20	5005	143			
2020-11-21	5093	143			
2020-11-22	5133	143			
2020-11-23	5154	146			
2020-11-24	5189	147			
2020-11-25	5236	147			
2020-11-26	5276	149			
2020-11-27	5310	149			
2020-11-28	5338	149			
2020-11-29	5376	150			
2020-11-30	5406	151			
2020-12-01	5423	151			
2020-12-02	5449	151			
2020-12-03	5528	151			
2020-12-04	5601	151			
2020-12-05	5637	151			
2020-12-06	5665	153			
2020-12-07	5697	154			
2020-12-08	5700	154			
2020-12-09	5732	154			
2020-12-10	5811	154			
2020-12-11	5839	154			
2020-12-12	5879	154			
2020-12-13	5920	155			
2020-12-14	5943	156			
2020-12-15	5973	156			
2020-12-16	6016	158			
2020-12-17	6042	158			
2020-12-18	6076	159			
2020-12-19	6105	159			
2020-12-20	6125	159			
2020-12-21	6171	159			
2020-12-22	6216	160			
2020-12-23	6258	162			
2020-12-24	6266	162			
2020-12-25	6289	162			
2020-12-26	6289	162			
2020-12-27	6293	164			
2020-12-28	6298	164			
2020-12-29	6301	164			
2020-12-30	6319	164			
2020-12-31	6332	164			
2021-01-01	6348	164			
2021-01-02	6351	164			
2021-01-03	6358	164			
2021-01-04	6379	166			
2021-01-05	6407	166			
2021-01-06	6407	166			
2021-01-07	6469	167			
2021-01-08	6469	167			
2021-01-09	6541	167			
2021-01-10	6574	169			
2021-01-11	6588	170			
2021-01-12	6653	170			
2021-01-13	6696	170			
2021-01-14	6745	170			
2021-01-15	6805	170			
2021-01-16	6851	170			
2021-01-17	6908	170			
2021-01-18	6931	170			
2021-01-19	6950	170			
2021-01-20	7015	170			
2021-01-21	7067	170			
2021-01-22	7143	170			
2021-01-23	7222	170			
2021-01-24	7298	172			
2021-01-25	7317	172			
2021-01-26	7346	172			
2021-01-27	7380	174			
