# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	2	0			
2020-03-05	2	0			
2020-03-06	2	0			
2020-03-07	4	0			
2020-03-08	7	0			
2020-03-09	9	0			
2020-03-10	9	0			
2020-03-11	13	0			
2020-03-12	13	0			
2020-03-13	19	0			
2020-03-14	30	0			
2020-03-15	32	1			
2020-03-16	39	1			
2020-03-17	50	1			
2020-03-18	58	1			
2020-03-19	73	1			
2020-03-20	85	3			
2020-03-21	103	4			
2020-03-22	131	6			
2020-03-23	167	7			
2020-03-24	187	9			
2020-03-25	226	10			
2020-03-26	261	10			
2020-03-27	300	10			
2020-03-28	343	11			
2020-03-29	408	13			
2020-03-30	447	15			
2020-03-31	492	16			
2020-04-01	525	20			
2020-04-02	585	21			
2020-04-03	623	26			
2020-04-04	678	32			
2020-04-05	733	34			
2020-04-06	744	38			
2020-04-07	817	47			
2020-04-08	895	58			
2020-04-09	980	66			
2020-04-10	1190	77			
2020-04-11	1310	85			
2020-04-12	1410	99			
2020-04-13	1458	109			
2020-04-14	1512	122			
2020-04-15	1579	134			
2020-04-16	1652	142			
2020-04-17	1763	156			
2020-04-18	1834	172			
2020-04-19	1916	189			
2020-04-20	1984	199			
2020-04-21	2098	213			
2020-04-22	2168	225			
2020-04-23	2284	239			
2020-04-24	2443	262			
2020-04-25	2443	262			
2020-04-26	2500	272			
2020-04-27	2583	280			
2020-04-28	2649	291			
2020-04-29	2727	300			
2020-04-30	2775	312			
2020-05-01	2863	323			
2020-05-02	2942	335			
2020-05-03	2998	340			
2020-05-04	3035	351			
2020-05-05	3065	363			
2020-05-06	3111	373			
2020-05-07	3150	383			
2020-05-08	3178	392			
2020-05-09	3213	405			
2020-05-10	3263	413			
2020-05-11	3284	421			
2020-05-12	3313	425			
2020-05-13	3341	430			
2020-05-14	3380	436			
2020-05-15	3417	442			
2020-05-16	3473	448			
2020-05-17	3509	451			
2020-05-18	3535	462			
2020-05-19	3556	467			
2020-05-20	3598	470			
2020-05-21	3641	473			
2020-05-22	3678	476			
2020-05-23	3713	482			
2020-05-24	3741	486			
2020-05-25	3756	491			
2020-05-26	3771	499			
2020-05-27	3793	505			
2020-05-28	3816	509			
2020-05-29	3841	517			
2020-05-30	3867	524			
2020-05-31	3876	526			
2020-06-01	3892	527			
2020-06-02	3921	532			
2020-06-03	3931	534			
2020-06-04	3954	539			
2020-06-05	3970	542			
2020-06-06	3990	545			
2020-06-07	4008	546			
2020-06-08	4014	548			
2020-06-09	4017	550			
2020-06-10	4027	551			
2020-06-11	4039	553			
2020-06-12	4053	555			
2020-06-13	4064	559			
2020-06-14	4069	562			
2020-06-15	4076	563			
2020-06-16	4077	565			
2020-06-17	4078	567			
2020-06-18	4079	568			
2020-06-19	4081	568			
2020-06-20	4086	570			
2020-06-21	4094	570			
2020-06-22	4102	572			
2020-06-23	4107	573			
2020-06-24	4114	576			
2020-06-25	4123	577			
2020-06-26	4127	578			
2020-06-27	4138	578			
2020-06-28	4142	581			
2020-06-29	4145	585			
2020-06-30	4155	585			
2020-07-01	4157	586			
2020-07-02	4166	587			
2020-07-03	4172	588			
2020-07-04	4174	589			
2020-07-05	4183	589			
2020-07-06	4189	589			
2020-07-07	4205	589			
2020-07-08	4210	589			
2020-07-09	4220	591			
2020-07-10	4223	593			
2020-07-11	4229	595			
2020-07-12	4234	595			
2020-07-13	4247	595			
2020-07-14	4258	595			
2020-07-15	4263	595			
2020-07-16	4279	595			
2020-07-17	4293	595			
2020-07-18	4315	596			
