# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-30	1	0			
2020-01-31	1	0			
2020-02-01	1	0			
2020-02-02	2	0			
2020-02-03	3	0			
2020-02-04	3	0			
2020-02-05	3	0			
2020-02-06	3	0			
2020-02-07	3	0			
2020-02-08	3	0			
2020-02-09	3	0			
2020-02-10	3	0			
2020-02-11	3	0			
2020-02-12	3	0			
2020-02-13	3	0			
2020-02-14	3	0			
2020-02-15	3	0			
2020-02-16	3	0			
2020-02-17	3	0			
2020-02-18	3	0			
2020-02-19	3	0			
2020-02-20	3	0			
2020-02-21	3	0			
2020-02-22	3	0			
2020-02-23	3	0			
2020-02-24	3	0			
2020-02-25	3	0			
2020-02-26	3	0			
2020-02-27	3	0			
2020-02-28	3	0			
2020-02-29	3	0			
2020-03-01	3	0			
2020-03-02	5	0			
2020-03-03	5	0			
2020-03-04	28	0			
2020-03-05	30	0			
2020-03-06	31	0			
2020-03-07	34	0			
2020-03-08	39	0			
2020-03-09	43	0			
2020-03-10	56	0			
2020-03-11	62	1			
2020-03-12	73	1			
2020-03-13	82	2			
2020-03-14	102	2			
2020-03-15	113	2			
2020-03-16	119	2			
2020-03-17	142	3			
2020-03-18	156	3			
2020-03-19	194	4			
2020-03-20	244	5			
2020-03-21	330	4			
2020-03-22	396	7			
2020-03-23	499	10			
2020-03-24	536	10			
2020-03-25	657	12			
2020-03-26	727	20			
2020-03-27	887	20			
2020-03-28	987	24			
2020-03-29	1024	27			
2020-03-30	1251	32			
2020-03-31	1397	35			
2020-04-01	1998	58			
2020-04-02	2543	72			
2020-04-03	2567	72			
2020-04-04	3082	86			
2020-04-05	3588	99			
2020-04-06	4778	136			
2020-04-07	5311	150			
2020-04-08	5916	178			
2020-04-09	6725	226			
2020-04-10	7598	246			
2020-04-11	8446	288			
2020-04-12	9205	331			
2020-04-13	10453	358			
2020-04-14	11487	393			
2020-04-15	12322	405			
2020-04-16	13430	448			
2020-04-17	14352	486			
2020-04-18	15722	521			
2020-04-19	17615	559			
2020-04-20	18539	592			
2020-04-21	20080	645			
2020-04-22	21370	681			
2020-04-23	23077	721			
2020-04-24	24530	780			
2020-04-25	26283	825			
2020-04-26	27890	881			
2020-04-27	29451	939			
2020-04-28	31324	1008			
2020-04-29	33062	1079			
2020-04-30	34863	1154			
2020-05-01	37257	1223			
2020-05-02	39699	1323			
2020-05-03	42505	1391			
2020-05-04	46437	1566			
2020-05-05	49400	1693			
2020-05-06	52987	1785			
2020-05-07	56351	1889			
2020-05-08	59695	1985			
2020-05-09	62808	2101			
2020-05-10	67161	2212			
2020-05-11	70768	2294			
2020-05-12	74292	2415			
