# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	5	0			
2020-03-23	13	0			
2020-03-24	23	0			
2020-03-25	23	0			
2020-03-26	25	0			
2020-03-27	29	0			
2020-03-28	32	0			
2020-03-29	42	0			
2020-03-30	49	0			
2020-03-31	60	0			
2020-04-01	68	1			
2020-04-02	95	1			
2020-04-03	114	1			
2020-04-04	126	1			
2020-04-05	127	1			
2020-04-06	139	1			
2020-04-07	150	1			
2020-04-08	158	1			
2020-04-09	190	1			
2020-04-10	201	1			
2020-04-11	226	2			
2020-04-12	228	2			
2020-04-13	242	2			
2020-04-14	254	2			
2020-04-15	256	4			
2020-04-16	284	4			
2020-04-17	291	4			
2020-04-18	297	6			
2020-04-19	298	6			
2020-04-20	300	9			
2020-04-21	307	9			
2020-04-22	307	15			
2020-04-23	307	16			
2020-04-24	308	18			
2020-04-25	308	18			
2020-04-26	308	18			
2020-04-27	308	20			
2020-04-28	309	21			
2020-04-29	313	21			
2020-04-30	315	21			
2020-05-01	316	22			
2020-05-02	320	22			
2020-05-03	321	22			
2020-05-04	325	23			
2020-05-05	326	23			
2020-05-06	327	23			
2020-05-07	329	23			
2020-05-08	329	23			
2020-05-09	329	23			
2020-05-10	330	23			
2020-05-11	330	23			
2020-05-12	331	23			
2020-05-13	332	23			
2020-05-14	332	23			
2020-05-15	334	24			
2020-05-16	335	24			
2020-05-17	335	24			
2020-05-18	335	24			
2020-05-19	335	24			
2020-05-20	336	24			
2020-05-21	336	24			
2020-05-22	336	24			
2020-05-23	336	24			
2020-05-24	336	24			
2020-05-25	336	24			
2020-05-26	336	24			
2020-05-27	336	24			
2020-05-28	336	24			
2020-05-29	336	24			
2020-05-30	336	24			
2020-05-31	336	24			
2020-06-01	336	24			
2020-06-02	336	24			
2020-06-03	336	24			
2020-06-04	336	24			
2020-06-05	336	24			
2020-06-06	336	24			
2020-06-07	336	24			
2020-06-08	336	24			
2020-06-09	336	24			
2020-06-10	336	24			
2020-06-11	336	24			
2020-06-12	336	24			
2020-06-13	336	24			
2020-06-14	336	24			
2020-06-15	336	24			
2020-06-16	336	24			
2020-06-17	336	24			
2020-06-18	336	24			
2020-06-19	336	24			
2020-06-20	336	24			
2020-06-21	336	24			
2020-06-22	336	24			
2020-06-23	336	24			
2020-06-24	336	24			
2020-06-25	336	24			
2020-06-26	336	24			
2020-06-27	336	24			
2020-06-28	336	24			
2020-06-29	336	24			
2020-06-30	336	24			
2020-07-01	336	24			
2020-07-02	336	24			
2020-07-03	336	24			
2020-07-04	336	24			
2020-07-05	336	24			
2020-07-06	336	24			
2020-07-07	336	24			
2020-07-08	336	24			
2020-07-09	336	24			
2020-07-10	336	24			
2020-07-11	336	24			
2020-07-12	336	24			
2020-07-13	336	24			
2020-07-14	336	24			
2020-07-15	336	24			
2020-07-16	336	24			
2020-07-17	336	24			
2020-07-18	336	24			
2020-07-19	336	24			
2020-07-20	336	24			
2020-07-21	336	24			
2020-07-22	336	24			
2020-07-23	336	24			
2020-07-24	336	24			
2020-07-25	336	24			
2020-07-26	336	24			
2020-07-27	336	24			
2020-07-28	336	24			
2020-07-29	336	24			
2020-07-30	336	24			
2020-07-31	336	24			
2020-08-01	336	24			
2020-08-02	336	24			
2020-08-03	336	24			
2020-08-04	336	24			
2020-08-05	336	24			
2020-08-06	336	24			
2020-08-07	336	24			
2020-08-08	336	24			
2020-08-09	336	24			
2020-08-10	336	24			
2020-08-11	336	24			
2020-08-12	336	24			
2020-08-13	336	24			
2020-08-14	336	24			
2020-08-15	336	24			
2020-08-16	336	24			
2020-08-17	336	24			
2020-08-18	336	24			
2020-08-19	336	24			
2020-08-20	336	24			
2020-08-21	336	24			
2020-08-22	336	24			
2020-08-23	336	24			
2020-08-24	336	24			
2020-08-25	336	24			
2020-08-26	336	24			
2020-08-27	336	24			
2020-08-28	336	24			
2020-08-29	336	24			
2020-08-30	336	24			
2020-08-31	336	24			
2020-09-01	336	24			
2020-09-02	336	24			
2020-09-03	336	24			
2020-09-04	336	24			
2020-09-05	336	24			
2020-09-06	337	24			
2020-09-07	337	24			
2020-09-08	337	24			
2020-09-09	337	24			
2020-09-10	337	24			
2020-09-11	337	24			
2020-09-12	337	24			
2020-09-13	337	24			
2020-09-14	339	24			
2020-09-15	339	24			
2020-09-16	339	24			
2020-09-17	339	24			
2020-09-18	339	24			
2020-09-19	339	24			
2020-09-20	339	24			
2020-09-21	340	24			
2020-09-22	340	24			
2020-09-23	340	24			
2020-09-24	340	24			
2020-09-25	340	24			
2020-09-26	340	24			
2020-09-27	340	24			
2020-09-28	340	24			
2020-09-29	340	24			
2020-09-30	340	24			
2020-10-01	340	24			
2020-10-02	341	24			
2020-10-03	342	24			
2020-10-04	342	24			
2020-10-05	344	24			
2020-10-06	345	24			
2020-10-07	345	24			
2020-10-08	345	24			
2020-10-09	345	24			
2020-10-10	345	24			
2020-10-11	346	24			
2020-10-12	346	24			
2020-10-13	346	24			
2020-10-14	348	24			
2020-10-15	348	24			
2020-10-16	348	24			
2020-10-17	348	24			
2020-10-18	348	24			
2020-10-19	348	24			
2020-10-20	348	24			
2020-10-21	348	24			
2020-10-22	348	24			
2020-10-23	348	24			
2020-10-24	348	24			
2020-10-25	348	24			
2020-10-26	351	24			
2020-10-27	352	24			
2020-10-28	352	24			
2020-10-29	352	24			
2020-10-30	353	24			
2020-10-31	353	24			
2020-11-01	353	24			
2020-11-02	355	24			
2020-11-03	356	24			
2020-11-04	357	24			
2020-11-05	357	24			
2020-11-06	357	24			
2020-11-07	357	24			
2020-11-08	357	24			
2020-11-09	357	25			
2020-11-10	359	25			
2020-11-11	361	25			
2020-11-12	363	25			
2020-11-13	363	25			
2020-11-14	363	25			
2020-11-15	363	25			
2020-11-16	363	25			
2020-11-17	364	25			
2020-11-18	364	25			
2020-11-19	366	25			
2020-11-20	368	25			
2020-11-21	368	25			
2020-11-22	368	25			
2020-11-23	369	25			
2020-11-24	369	25			
2020-11-25	369	25			
2020-11-26	369	25			
2020-11-27	369	25			
2020-11-28	369	25			
2020-11-29	369	25			
2020-11-30	369	25			
2020-12-01	369	25			
2020-12-02	369	25			
2020-12-03	369	25			
2020-12-04	370	25			
2020-12-05	370	25			
2020-12-06	370	25			
2020-12-07	370	25			
2020-12-08	370	25			
2020-12-09	370	25			
2020-12-10	370	25			
2020-12-11	370	25			
2020-12-12	370	25			
2020-12-13	370	25			
2020-12-14	373	25			
2020-12-15	373	25			
2020-12-16	373	25			
2020-12-17	373	25			
2020-12-18	373	25			
2020-12-19	373	25			
2020-12-20	373	25			
2020-12-21	374	25			
2020-12-22	374	25			
2020-12-23	374	25			
2020-12-24	374	25			
2020-12-25	374	25			
2020-12-26	374	25			
2020-12-27	374	25			
2020-12-28	374	25			
2020-12-29	374	25			
2020-12-30	377	25			
2020-12-31	377	25			
2021-01-01	377	25			
2021-01-02	380	25			
2021-01-03	380	25			
2021-01-04	380	25			
2021-01-05	386	25			
2021-01-06	389	25			
2021-01-07	390	25			
2021-01-08	392	25			
2021-01-09	394	25			
2021-01-10	396	25			
2021-01-11	403	25			
2021-01-12	406	25			
2021-01-13	414	25			
2021-01-14	417	25			
2021-01-15	418	25			
2021-01-16	419	25			
2021-01-17	428	25			
2021-01-18	432	25			
2021-01-19	432	25			
2021-01-20	432	25			
2021-01-21	432	25			
2021-01-22	432	25			
2021-01-23	432	25			
2021-01-24	432	25			
2021-01-25	432	25			
2021-01-26	432	25			
2021-01-27	432	25			
2021-01-28	432	25			
2021-01-29	434	25			
2021-01-30	434	25			
2021-01-31	434	25			
2021-02-01	434	25			
2021-02-02	434	25			
2021-02-03	434	25			
2021-02-04	434	25			
2021-02-05	434	25			
2021-02-06	434	25			
2021-02-07	434	25			
2021-02-08	435	25			
2021-02-09	436	25			
2021-02-10	436	25			
2021-02-11	436	25			
2021-02-12	436	25			
2021-02-13	436	25			
2021-02-14	436	25			
2021-02-15	436	25			
2021-02-16	437	25			
