# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	1	0			
2020-03-12	2	0			
2020-03-13	8	0			
2020-03-14	8	0			
2020-03-15	10	0			
2020-03-16	10	0			
2020-03-17	12	0			
2020-03-18	13	0			
2020-03-19	15	1			
2020-03-20	16	1			
2020-03-21	16	1			
2020-03-22	19	1			
2020-03-23	19	1			
2020-03-24	21	1			
2020-03-25	26	1			
2020-03-26	26	1			
2020-03-27	26	1			
2020-03-28	30	1			
2020-03-29	32	1			
2020-03-30	36	1			
2020-03-31	36	1			
2020-04-01	44	3			
2020-04-02	47	3			
2020-04-03	47	3			
2020-04-04	53	3			
2020-04-05	58	3			
2020-04-06	58	3			
2020-04-07	63	3			
2020-04-08	63	4			
2020-04-09	63	4			
2020-04-10	63	4			
2020-04-11	65	4			
2020-04-12	69	4			
2020-04-13	73	4			
2020-04-14	73	4			
2020-04-15	125	5			
2020-04-16	143	5			
2020-04-17	143	5			
2020-04-18	163	5			
2020-04-19	173	5			
2020-04-20	223	5			
2020-04-21	223	6			
2020-04-22	233	6			
2020-04-23	257	6			
2020-04-24	288	7			
2020-04-25	305	7			
2020-04-26	350	7			
2020-04-27	364	7			
2020-04-28	364	7			
2020-04-29	396	7			
2020-04-30	422	8			
2020-05-01	432	8			
2020-05-02	463	8			
2020-05-03	469	9			
2020-05-04	471	9			
2020-05-05	473	9			
2020-05-06	478	9			
2020-05-07	488	9			
2020-05-08	490	9			
2020-05-09	490	9			
2020-05-10	502	9			
2020-05-11	505	9			
2020-05-12	507	9			
2020-05-13	509	9			
2020-05-14	509	9			
2020-05-15	511	9			
2020-05-16	517	9			
2020-05-17	520	9			
2020-05-18	520	9			
2020-05-19	520	9			
2020-05-20	529	9			
2020-05-21	534	9			
2020-05-22	544	9			
2020-05-23	550	9			
2020-05-24	552	9			
2020-05-25	556	9			
2020-05-26	564	9			
2020-05-27	569	9			
2020-05-28	569	9			
2020-05-29	575	9			
2020-05-30	581	9			
2020-05-31	586	9			
2020-06-01	588	9			
2020-06-02	590	9			
2020-06-03	591	10			
2020-06-04	591	10			
2020-06-05	595	10			
2020-06-06	596	10			
2020-06-07	598	10			
2020-06-08	599	10			
2020-06-09	605	10			
2020-06-10	605	10			
2020-06-11	611	10			
2020-06-12	614	10			
2020-06-13	615	10			
2020-06-14	617	10			
2020-06-15	621	10			
2020-06-16	621	10			
