# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-22	2	0			
2020-01-23	2	0			
2020-01-24	2	0			
2020-01-25	2	0			
2020-01-26	4	0			
2020-01-27	4	0			
2020-01-28	7	0			
2020-01-29	7	0			
2020-01-30	11	0			
2020-01-31	15	0			
2020-02-01	20	0			
2020-02-02	20	0			
2020-02-03	20	0			
2020-02-04	22	0			
2020-02-05	23	0			
2020-02-06	23	0			
2020-02-07	23	0			
2020-02-08	24	0			
2020-02-09	24	0			
2020-02-10	26	0			
2020-02-11	27	0			
2020-02-12	28	0			
2020-02-13	33	1			
2020-02-14	43	1			
2020-02-15	54	1			
2020-02-16	60	1			
2020-02-17	67	1			
2020-02-18	79	2			
2020-02-19	85	2			
2020-02-20	95	2			
2020-02-21	112	2			
2020-02-22	137	2			
2020-02-23	149	2			
2020-02-24	160	2			
2020-02-25	173	3			
2020-02-26	192	3			
2020-02-27	218	4			
2020-02-28	236	5			
2020-02-29	245	6			
2020-03-01	259	6			
2020-03-02	278	6			
2020-03-03	298	6			
2020-03-04	333	7			
2020-03-05	365	7			
2020-03-06	420	7			
2020-03-07	466	7			
2020-03-08	499	8			
2020-03-09	527	10			
2020-03-10	585	13			
2020-03-11	640	15			
2020-03-12	696	19			
2020-03-13	733	21			
2020-03-14	795	22			
2020-03-15	826	24			
2020-03-16	843	30			
2020-03-17	893	30			
2020-03-18	928	32			
2020-03-19	968	33			
2020-03-20	1022	34			
2020-03-21	1059	36			
2020-03-22	1104	40			
2020-03-23	1144	41			
2020-03-24	1217	42			
2020-03-25	1314	45			
2020-03-26	1416	47			
2020-03-27	1530	53			
2020-03-28	1728	56			
2020-03-29	1907	63			
2020-03-30	2001	65			
2020-03-31	2255	67			
2020-04-01	2535	72			
2020-04-02	2818	75			
2020-04-03	3154	81			
2020-04-04	3525	87			
2020-04-05	3876	93			
2020-04-06	4110	96			
2020-04-07	4485	98			
2020-04-08	5020	105			
2020-04-09	5614	113			
2020-04-10	6250	125			
2020-04-11	6951	138			
2020-04-12	7473	147			
2020-04-13	7773	156			
2020-04-14	8277	170			
2020-04-15	8835	186			
2020-04-16	9398	204			
2020-04-17	9958	217			
2020-04-18	10548	236			
2020-04-19	10914	255			
2020-04-20	11258	275			
2020-04-21	11641	303			
2020-04-22	12037	323			
2020-04-23	12469	351			
