# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-21	0	0			
2020-01-22	1	0			
2020-01-23	1	0			
2020-01-24	2	0			
2020-01-25	2	0			
2020-01-26	3	0			
2020-01-27	4	0			
2020-01-28	4	0			
2020-01-29	4	0			
2020-01-30	4	0			
2020-01-31	11	0			
2020-02-01	12	0			
2020-02-02	15	0			
2020-02-03	15	0			
2020-02-04	16	0			
2020-02-05	19	0			
2020-02-06	23	0			
2020-02-07	24	0			
2020-02-08	24	0			
2020-02-09	25	0			
2020-02-10	27	0			
2020-02-11	28	0			
2020-02-12	28	0			
2020-02-13	28	0			
2020-02-14	28	0			
2020-02-15	28	0			
2020-02-16	29	0			
2020-02-17	30	0			
2020-02-18	31	0			
2020-02-19	31	0			
2020-02-20	104	1			
2020-02-21	204	2			
2020-02-22	433	2			
2020-02-23	602	6			
2020-02-24	833	8			
2020-02-25	977	10			
2020-02-26	1261	12			
2020-02-27	1766	13			
2020-02-28	2337	13			
2020-02-29	3150	16			
2020-03-01	3736	17			
2020-03-02	4335	28			
2020-03-03	5186	28			
2020-03-04	5621	35			
2020-03-05	6088	35			
2020-03-06	6593	42			
2020-03-07	7041	44			
2020-03-08	7314	50			
2020-03-09	7478	53			
2020-03-10	7513	54			
2020-03-11	7755	60			
2020-03-12	7869	66			
2020-03-13	7979	66			
2020-03-14	8086	72			
2020-03-15	8162	75			
2020-03-16	8236	75			
2020-03-17	8320	81			
2020-03-18	8413	84			
2020-03-19	8565	91			
2020-03-20	8652	94			
2020-03-21	8799	102			
2020-03-22	8961	111			
2020-03-23	8961	111			
2020-03-24	9037	120			
2020-03-25	9137	126			
2020-03-26	9241	131			
2020-03-27	9332	139			
2020-03-28	9478	144			
2020-03-29	9583	152			
2020-03-30	9661	158			
2020-03-31	9786	162			
2020-04-01	9887	165			
2020-04-02	9976	169			
2020-04-03	10062	174			
2020-04-04	10156	177			
2020-04-05	10237	183			
2020-04-06	10284	186			
2020-04-07	10331	192			
2020-04-08	10384	200			
2020-04-09	10423	204			
2020-04-10	10450	208			
2020-04-11	10480	211			
2020-04-12	10512	214			
2020-04-13	10537	217			
2020-04-14	10564	222			
2020-04-15	10591	225			
2020-04-16	10613	229			
2020-04-17	10635	230			
2020-04-18	10653	232			
2020-04-19	10661	234			
2020-04-20	10674	236			
2020-04-21	10683	237			
2020-04-22	10694	238			
2020-04-23	10708	240			
2020-04-24	10718	240			
2020-04-25	10728	242			
2020-04-26	10738	243			
2020-04-27	10752	244			
2020-04-28	10761	246			
2020-04-29	10765	247			
2020-04-30	10774	248			
2020-05-01	10780	250			
2020-05-02	10793	250			
2020-05-03	10801	252			
2020-05-04	10804	254			
2020-05-05	10806	255			
2020-05-06	10810	256			
2020-05-07	10822	256			
2020-05-08	10840	256			
2020-05-09	10874	256			
2020-05-10	10909	256			
2020-05-11	10936	258			
2020-05-12	10962	259			
2020-05-13	10991	260			
2020-05-14	11018	260			
2020-05-15	11037	262			
2020-05-16	11050	262			
2020-05-17	11065	263			
2020-05-18	11078	263			
2020-05-19	11110	263			
2020-05-20	11122	264			
2020-05-21	11142	264			
2020-05-22	11165	266			
2020-05-23	11190	266			
2020-05-24	11206	267			
2020-05-25	11225	269			
2020-05-26	11265	269			
2020-05-27	11344	269			
2020-05-28	11402	269			
2020-05-29	11441	269			
2020-05-30	11468	270			
2020-05-31	11503	271			
2020-06-01	11541	272			
2020-06-02	11590	273			
2020-06-03	11629	273			
2020-06-04	11668	273			
2020-06-05	11719	273			
2020-06-06	11776	273			
2020-06-07	11814	273			
2020-06-08	11852	274			
2020-06-09	11902	276			
2020-06-10	11947	276			
2020-06-11	12003	277			
2020-06-12	12051	277			
2020-06-13	12085	277			
2020-06-14	12121	277			
2020-06-15	12155	278			
2020-06-16	12198	279			
2020-06-17	12257	280			
2020-06-18	12306	280			
2020-06-19	12373	280			
2020-06-20	12421	280			
2020-06-21	12438	280			
2020-06-22	12484	281			
2020-06-23	12535	281			
2020-06-24	12563	282			
2020-06-25	12602	282			
2020-06-26	12653	282			
2020-06-27	12715	282			
2020-06-28	12757	282			
2020-06-29	12800	282			
2020-06-30	12850	282			
2020-07-01	12904	282			
2020-07-02	12967	282			
2020-07-03	13030	283			
2020-07-04	13091	283			
2020-07-05	13137	284			
2020-07-06	13181	285			
2020-07-07	13244	285			
2020-07-08	13293	287			
2020-07-09	13338	288			
2020-07-10	13373	288			
2020-07-11	13417	289			
2020-07-12	13479	289			
2020-07-13	13512	289			
2020-07-14	13551	289			
2020-07-15	13612	291			
2020-07-16	13672	293			
2020-07-17	13711	294			
2020-07-18	13745	295			
2020-07-19	13771	296			
2020-07-20	13816	296			
2020-07-21	13879	297			
2020-07-22	13938	297			
2020-07-23	13979	298			
2020-07-24	14092	298			
2020-07-25	14150	298			
2020-07-26	14175	299			
2020-07-27	14203	300			
2020-07-28	14251	300			
2020-07-29	14269	300			
2020-07-30	14305	301			
2020-07-31	14336	301			
2020-08-01	14366	301			
2020-08-02	14389	301			
2020-08-03	14423	301			
2020-08-04	14456	302			
2020-08-05	14499	302			
2020-08-06	14519	303			
2020-08-07	14562	304			
2020-08-08	14598	305			
2020-08-09	14626	305			
2020-08-10	14660	305			
2020-08-11	14714	305			
2020-08-12	14770	305			
2020-08-13	14873	305			
2020-08-14	15039	305			
2020-08-15	15318	305			
2020-08-16	15515	305			
2020-08-17	15761	306			
2020-08-18	16058	306			
2020-08-19	16346	307			
2020-08-20	16670	309			
2020-08-21	17002	309			
2020-08-22	17399	309			
2020-08-23	17665	309			
2020-08-24	17945	310			
2020-08-25	18265	312			
2020-08-26	18706	313			
2020-08-27	19077	316			
2020-08-28	19400	321			
2020-08-29	19699	323			
2020-08-30	19947	324			
2020-08-31	20182	324			
2020-09-01	20449	326			
2020-09-02	20644	329			
2020-09-03	20842	331			
2020-09-04	21010	333			
2020-09-05	21177	334			
2020-09-06	21296	336			
2020-09-07	21432	341			
2020-09-08	21588	344			
2020-09-09	21743	346			
2020-09-10	21919	350			
2020-09-11	22055	355			
2020-09-12	22176	358			
2020-09-13	22285	363			
2020-09-14	22391	367			
2020-09-15	22504	367			
2020-09-16	22657	372			
2020-09-17	22783	377			
2020-09-18	22893	378			
2020-09-19	22975	383			
2020-09-20	23045	385			
2020-09-21	23106	388			
2020-09-22	23216	388			
2020-09-23	23341	393			
2020-09-24	23455	395			
2020-09-25	23516	399			
2020-09-26	23611	401			
2020-09-27	23661	406			
2020-09-28	23699	407			
2020-09-29	23812	413			
2020-09-30	23889	415			
2020-10-01	23952	416			
2020-10-02	24027	420			
2020-10-03	24091	421			
2020-10-04	24164	422			
2020-10-05	24239	422			
2020-10-06	24353	425			
2020-10-07	24422	427			
2020-10-08	24476	428			
2020-10-09	24548	430			
2020-10-10	24606	432			
2020-10-11	24703	433			
2020-10-12	24805	434			
