# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	2	0			
2020-02-27	2	0			
2020-02-28	2	0			
2020-02-29	4	0			
2020-03-01	10	0			
2020-03-02	13	0			
2020-03-03	13	0			
2020-03-04	13	0			
2020-03-05	16	0			
2020-03-06	22	0			
2020-03-07	22	0			
2020-03-08	32	0			
2020-03-09	32	0			
2020-03-10	41	1			
2020-03-11	61	3			
2020-03-12	61	3			
2020-03-13	77	3			
2020-03-14	93	3			
2020-03-15	110	3			
2020-03-16	110	3			
2020-03-17	120	3			
2020-03-18	133	3			
2020-03-19	157	4			
2020-03-20	163	4			
2020-03-21	187	4			
2020-03-22	248	4			
2020-03-23	267	4			
2020-03-24	318	4			
2020-03-25	333	6			
2020-03-26	368	6			
2020-03-27	391	8			
2020-03-28	412	8			
2020-03-29	438	10			
2020-03-30	446	11			
2020-03-31	470	12			
2020-04-01	479	14			
2020-04-02	494	16			
2020-04-03	508	17			
2020-04-04	520	17			
2020-04-05	527	18			
2020-04-06	541	19			
2020-04-07	548	19			
2020-04-08	576	19			
2020-04-09	582	19			
2020-04-10	609	20			
2020-04-11	619	20			
2020-04-12	630	20			
2020-04-13	632	20			
2020-04-14	641	21			
2020-04-15	658	21			
2020-04-16	663	21			
2020-04-17	668	21			
2020-04-18	672	21			
2020-04-19	673	21			
2020-04-20	677	21			
2020-04-21	677	21			
2020-04-22	682	22			
2020-04-23	688	22			
2020-04-24	696	22			
2020-04-25	704	24			
2020-04-26	707	24			
2020-04-27	710	24			
2020-04-28	717	24			
2020-04-29	721	24			
2020-04-30	725	24			
2020-05-01	729	24			
2020-05-02	733	25			
2020-05-03	737	25			
2020-05-04	740	25			
2020-05-05	741	25			
2020-05-06	750	25			
2020-05-07	784	25			
2020-05-08	796	26			
2020-05-09	809	26			
2020-05-10	845	26			
2020-05-11	859	26			
2020-05-12	870	26			
2020-05-13	878	26			
2020-05-14	886	26			
2020-05-15	891	26			
2020-05-16	902	26			
2020-05-17	911	26			
2020-05-18	931	26			
2020-05-19	954	26			
2020-05-20	961	26			
2020-05-21	1024	26			
2020-05-22	1086	26			
2020-05-23	1097	26			
2020-05-24	1114	26			
2020-05-25	1119	26			
2020-05-26	1140	26			
2020-05-27	1161	26			
