# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-24	0	0			
2020-01-25	4	0			
2020-01-26	4	0			
2020-01-27	4	0			
2020-01-28	4	0			
2020-01-29	7	0			
2020-01-30	8	0			
2020-01-31	8	0			
2020-02-01	8	0			
2020-02-02	8	0			
2020-02-03	8	0			
2020-02-04	10	0			
2020-02-05	12	0			
2020-02-06	14	0			
2020-02-07	15	0			
2020-02-08	16	0			
2020-02-09	17	0			
2020-02-10	18	0			
2020-02-11	18	0			
2020-02-12	18	0			
2020-02-13	18	0			
2020-02-14	19	0			
2020-02-15	22	0			
2020-02-16	22	0			
2020-02-17	22	0			
2020-02-18	22	0			
2020-02-19	22	0			
2020-02-20	22	0			
2020-02-21	22	0			
2020-02-22	22	0			
2020-02-23	22	0			
2020-02-24	22	0			
2020-02-25	22	0			
2020-02-26	22	0			
2020-02-27	23	0			
2020-02-28	25	0			
2020-02-29	29	0			
2020-03-01	29	0			
2020-03-02	29	0			
2020-03-03	36	0			
2020-03-04	50	0			
2020-03-05	55	0			
2020-03-06	83	0			
2020-03-07	93	0			
2020-03-08	99	0			
2020-03-09	117	0			
2020-03-10	129	0			
2020-03-11	149	0			
2020-03-12	158	0			
2020-03-13	197	0			
2020-03-14	238	0			
2020-03-15	428	0			
2020-03-16	553	0			
2020-03-17	673	2			
2020-03-18	790	2			
2020-03-19	900	2			
2020-03-20	1030	3			
2020-03-21	1183	7			
2020-03-22	1306	11			
2020-03-23	1518	16			
2020-03-24	1624	18			
2020-03-25	1796	21			
2020-03-26	2031	26			
2020-03-27	2161	28			
2020-03-28	2320	34			
2020-03-29	2470	39			
2020-03-30	2626	43			
2020-03-31	2766	48			
2020-04-01	2908	50			
2020-04-02	3116	52			
2020-04-03	3333	57			
2020-04-04	3483	60			
2020-04-05	3662	62			
2020-04-06	3793	64			
2020-04-07	3963	65			
2020-04-08	4119	66			
2020-04-09	4228	68			
2020-04-10	4346	71			
2020-04-11	4530	74			
2020-04-12	4683	79			
2020-04-13	4817	80			
2020-04-14	4987	83			
2020-04-15	5072	85			
2020-04-16	5182	87			
2020-04-17	5251	88			
2020-04-18	5305	88			
2020-04-19	5389	89			
2020-04-20	5425	90			
2020-04-21	5482	92			
2020-04-22	5532	94			
2020-04-23	5603	95			
2020-04-24	5691	96			
2020-04-25	5742	98			
2020-04-26	5780	98			
2020-04-27	5820	99			
2020-04-28	5851	100			
2020-04-29	5945	101			
2020-04-30	6002	103			
2020-05-01	6071	103			
2020-05-02	6176	104			
2020-05-03	6298	105			
2020-05-04	6353	105			
2020-05-05	6383	107			
2020-05-06	6428	107			
2020-05-07	6467	108			
2020-05-08	6535	108			
2020-05-09	6589	109			
2020-05-10	6656	110			
2020-05-11	6726	110			
2020-05-12	6742	111			
2020-05-13	6779	113			
2020-05-14	6819	113			
2020-05-15	6855	113			
2020-05-16	6872	113			
2020-05-17	6894	113			
2020-05-18	6941	114			
2020-05-19	6978	114			
2020-05-20	7009	114			
2020-05-21	7059	115			
2020-05-22	7137	115			
2020-05-23	7185	115			
2020-05-24	7245	115			
2020-05-25	7417	115			
2020-05-26	7604	115			
2020-05-27	7619	115			
2020-05-28	7629	115			
2020-05-29	7732	115			
2020-05-30	7762	115			
2020-05-31	7819	115			
2020-06-01	7857	115			
2020-06-02	7877	115			
2020-06-03	7970	115			
2020-06-04	8247	116			
2020-06-05	8266	117			
2020-06-06	8303	117			
2020-06-07	8322	117			
2020-06-08	8329	117			
2020-06-09	8336	117			
2020-06-10	8338	118			
2020-06-11	8369	119			
2020-06-12	8402	121			
2020-06-13	8445	121			
2020-06-14	8453	121			
2020-06-15	8494	121			
2020-06-16	8505	121			
2020-06-17	8515	121			
2020-06-18	8529	121			
2020-06-19	8535	121			
2020-06-20	8556	121			
2020-06-21	8572	121			
2020-06-22	8587	121			
2020-06-23	8590	121			
2020-06-24	8596	121			
2020-06-25	8600	121			
2020-06-26	8606	121			
2020-06-27	8616	121			
2020-06-28	8634	121			
2020-06-29	8637	121			
2020-06-30	8639	121			
2020-07-01	8640	121			
2020-07-02	8643	121			
2020-07-03	8648	121			
2020-07-04	8658	121			
2020-07-05	8663	121			
2020-07-06	8668	121			
2020-07-07	8674	121			
2020-07-08	8677	121			
2020-07-09	8683	121			
2020-07-10	8696	122			
2020-07-11	8704	122			
2020-07-12	8718	122			
2020-07-13	8725	122			
2020-07-14	8729	122			
2020-07-15	8734	122			
2020-07-16	8737	122			
2020-07-17	8755	123			
2020-07-18	8764	123			
2020-07-19	8779	123			
2020-07-20	8800	123			
2020-07-21	8815	123			
2020-07-22	8831	123			
2020-07-23	8840	123			
2020-07-24	8861	123			
2020-07-25	8884	123			
2020-07-26	8897	124			
2020-07-27	8904	124			
2020-07-28	8943	124			
2020-07-29	8956	125			
2020-07-30	8964	125			
2020-07-31	8976	125			
2020-08-01	8985	125			
2020-08-02	8999	125			
2020-08-03	9001	125			
2020-08-04	9002	125			
2020-08-05	9023	125			
2020-08-06	9038	125			
2020-08-07	9063	125			
2020-08-08	9070	125			
2020-08-09	9083	125			
2020-08-10	9094	125			
2020-08-11	9103	125			
2020-08-12	9114	125			
2020-08-13	9129	125			
2020-08-14	9149	125			
2020-08-15	9175	125			
2020-08-16	9200	125			
2020-08-17	9212	125			
2020-08-18	9219	125			
2020-08-19	9235	125			
2020-08-20	9240	125			
2020-08-21	9249	125			
2020-08-22	9257	125			
2020-08-23	9267	125			
2020-08-24	9274	125			
2020-08-25	9285	125			
2020-08-26	9291	125			
2020-08-27	9296	125			
2020-08-28	9306	125			
2020-08-29	9317	126			
2020-08-30	9334	127			
2020-08-31	9340	127			
2020-09-01	9354	128			
2020-09-02	9360	128			
2020-09-03	9374	128			
2020-09-04	9385	128			
2020-09-05	9391	128			
2020-09-06	9397	128			
2020-09-07	9459	128			
2020-09-08	9559	128			
2020-09-09	9583	128			
2020-09-10	9628	128			
2020-09-11	9810	128			
2020-09-12	9868	128			
2020-09-13	9915	128			
2020-09-14	9946	129			
2020-09-15	9969	129			
2020-09-16	10031	129			
2020-09-17	10052	129			
2020-09-18	10147	130			
2020-09-19	10167	131			
2020-09-20	10219	131			
2020-09-21	10276	131			
2020-09-22	10358	132			
2020-09-23	10505	133			
2020-09-24	10576	133			
2020-09-25	10687	133			
2020-09-26	10769	134			
2020-09-27	10919	135			
2020-09-28	11034	136			
2020-09-29	11135	136			
