# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	4	0			
2020-03-09	4	0			
2020-03-10	6	0			
2020-03-11	8	0			
2020-03-12	8	0			
2020-03-13	9	0			
2020-03-14	10	0			
2020-03-15	13	0			
2020-03-16	13	0			
2020-03-17	13	0			
2020-03-18	13	0			
2020-03-19	13	0			
2020-03-20	13	0			
2020-03-21	13	0			
2020-03-22	13	0			
2020-03-23	13	0			
2020-03-24	13	0			
2020-03-25	13	0			
2020-03-26	13	0			
2020-03-27	16	0			
2020-03-28	16	0			
2020-03-29	17	0			
2020-03-30	17	0			
2020-03-31	18	0			
2020-04-01	19	0			
2020-04-02	19	0			
2020-04-03	19	0			
2020-04-04	19	0			
2020-04-05	19	0			
2020-04-06	19	0			
2020-04-07	19	0			
2020-04-08	19	0			
2020-04-09	19	0			
2020-04-10	19	0			
2020-04-11	19	0			
2020-04-12	20	0			
2020-04-13	20	0			
2020-04-14	20	0			
2020-04-15	22	0			
2020-04-16	25	0			
2020-04-17	28	0			
2020-04-18	35	0			
2020-04-19	52	0			
2020-04-20	69	0			
2020-04-21	83	0			
2020-04-22	86	0			
2020-04-23	108	0			
2020-04-24	129	0			
2020-04-25	177	0			
2020-04-26	214	0			
2020-04-27	226	0			
2020-04-28	250	0			
2020-04-29	278	1			
2020-04-30	468	1			
2020-05-01	491	1			
2020-05-02	519	1			
2020-05-03	527	1			
2020-05-04	541	1			
2020-05-05	573	2			
2020-05-06	617	2			
2020-05-07	648	3			
2020-05-08	744	3			
2020-05-09	790	3			
2020-05-10	835	3			
2020-05-11	897	3			
2020-05-12	904	3			
2020-05-13	955	4			
2020-05-14	982	4			
2020-05-15	1031	4			
2020-05-16	1078	4			
2020-05-17	1094	4			
2020-05-18	1106	4			
2020-05-19	1143	4			
2020-05-20	1186	4			
2020-05-21	1216	4			
2020-05-22	1274	4			
2020-05-23	1313	4			
2020-05-24	1371	4			
2020-05-25	1395	4			
2020-05-26	1438	5			
2020-05-27	1457	5			
2020-05-28	1513	5			
2020-05-29	1591	5			
2020-05-30	1672	5			
2020-05-31	1773	5			
2020-06-01	1829	6			
2020-06-02	1841	7			
2020-06-03	1850	7			
2020-06-04	1872	7			
2020-06-05	1883	7			
2020-06-06	1901	8			
2020-06-07	1903	8			
2020-06-08	1916	8			
2020-06-09	1942	8			
2020-06-10	1962	8			
2020-06-11	1976	8			
2020-06-12	2003	8			
2020-06-13	2013	8			
2020-06-14	2035	8			
2020-06-15	2065	8			
2020-06-16	2094	8			
2020-06-17	2120	8			
2020-06-18	2137	8			
2020-06-19	2150	8			
2020-06-20	2187	8			
2020-06-21	2203	8			
2020-06-22	2217	8			
2020-06-23	2238	8			
2020-06-24	2261	8			
2020-06-25	2277	8			
2020-06-26	2283	8			
2020-06-27	2305	8			
2020-06-28	2324	8			
2020-06-29	2337	8			
2020-06-30	2361	9			
2020-07-01	2382	9			
2020-07-02	2400	10			
2020-07-03	2410	10			
2020-07-04	2435	10			
2020-07-05	2468	11			
2020-07-06	2491	12			
2020-07-07	2501	12			
2020-07-08	2517	13			
2020-07-09	2553	13			
2020-07-10	2617	13			
2020-07-11	2664	13			
2020-07-12	2731	13			
2020-07-13	2762	13			
2020-07-14	2801	14			
2020-07-15	2831	14			
2020-07-16	2899	15			
2020-07-17	2913	15			
2020-07-18	2930	15			
2020-07-19	2966	15			
2020-07-20	2999	15			
2020-07-21	3044	15			
2020-07-22	3103	15			
2020-07-23	3120	15			
2020-07-24	3175	15			
2020-07-25	3252	15			
2020-07-26	3302	15			
2020-07-27	3369	15			
2020-07-28	3506	15			
2020-07-29	3567	15			
2020-07-30	3719	16			
2020-07-31	3793	16			
2020-08-01	3949	17			
2020-08-02	4164	18			
2020-08-03	4293	18			
2020-08-04	4446	19			
2020-08-05	4594	19			
2020-08-06	4680	19			
2020-08-07	4769	19			
2020-08-08	4898	19			
2020-08-09	5041	19			
2020-08-10	5157	19			
2020-08-11	5223	20			
2020-08-12	5366	21			
2020-08-13	5494	21			
2020-08-14	5572	22			
2020-08-15	5679	22			
2020-08-16	5785	22			
2020-08-17	5909	23			
2020-08-18	6079	24			
2020-08-19	6225	24			
2020-08-20	6370	24			
2020-08-21	6564	26			
2020-08-22	6660	26			
2020-08-23	6779	26			
2020-08-24	6912	27			
2020-08-25	7047	28			
2020-08-26	7225	28			
2020-08-27	7329	28			
2020-08-28	7469	28			
2020-08-29	7578	28			
2020-08-30	7667	28			
2020-08-31	7804	28			
2020-09-01	8003	29			
2020-09-02	8140	29			
2020-09-03	8281	29			
2020-09-04	8361	29			
2020-09-05	8486	29			
2020-09-06	8584	29			
2020-09-07	8667	29			
2020-09-08	8741	29			
2020-09-09	8834	31			
2020-09-10	8900	31			
2020-09-11	8990	31			
2020-09-12	9052	31			
2020-09-13	9173	32			
2020-09-14	9243	33			
2020-09-15	9328	33			
2020-09-16	9427	33			
2020-09-17	9494	33			
2020-09-18	9568	33			
2020-09-19	9649	33			
2020-09-20	9724	33			
2020-09-21	9770	34			
2020-09-22	9818	34			
2020-09-23	9885	34			
2020-09-24	9939	34			
2020-09-25	10014	34			
2020-09-26	10045	34			
2020-09-27	10098	34			
2020-09-28	10157	34			
2020-09-29	10194	34			
2020-09-30	10291	34			
2020-10-01	10354	34			
2020-10-02	10398	34			
2020-10-03	10465	34			
2020-10-04	10530	34			
2020-10-05	10567	34			
2020-10-06	10621	34			
2020-10-07	10656	34			
2020-10-08	10742	34			
2020-10-09	10808	34			
2020-10-10	10859	34			
2020-10-11	10894	35			
2020-10-12	10943	35			
2020-10-13	10993	35			
2020-10-14	11062	35			
2020-10-15	11113	35			
2020-10-16	11154	35			
2020-10-17	11178	36			
2020-10-18	11210	37			
2020-10-19	11232	37			
2020-10-20	11271	37			
2020-10-21	11316	37			
2020-10-22	11358	37			
2020-10-23	11391	37			
2020-10-24	11421	37			
2020-10-25	11505	37			
2020-10-26	11532	37			
2020-10-27	11567	37			
