# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-25	2	0			
2020-03-26	4	0			
2020-03-27	11	0			
2020-03-28	18	0			
2020-03-29	18	1			
2020-03-30	25	2			
2020-03-31	28	2			
2020-04-01	31	3			
2020-04-02	36	3			
2020-04-03	39	3			
2020-04-04	41	3			
2020-04-05	45	5			
2020-04-06	47	5			
2020-04-07	56	5			
2020-04-08	59	7			
2020-04-09	74	7			
2020-04-10	87	7			
2020-04-11	87	7			
2020-04-12	105	9			
2020-04-13	123	10			
2020-04-14	144	13			
2020-04-15	148	13			
2020-04-16	171	13			
2020-04-17	171	13			
2020-04-18	216	13			
2020-04-19	224	14			
2020-04-20	246	14			
2020-04-21	258	14			
2020-04-22	293	17			
2020-04-23	309	21			
2020-04-24	325	21			
2020-04-25	370	21			
2020-04-26	389	23			
2020-04-27	408	23			
2020-04-28	424	24			
2020-04-29	482	25			
2020-04-30	490	26			
2020-05-01	508	26			
2020-05-02	544	26			
2020-05-03	563	27			
2020-05-04	580	29			
2020-05-05	612	32			
2020-05-06	631	32			
2020-05-07	650	32			
2020-05-08	668	35			
2020-05-09	692	37			
2020-05-10	704	38			
2020-05-11	712	39			
2020-05-12	730	40			
2020-05-13	758	44			
2020-05-14	779	46			
2020-05-15	806	46			
2020-05-16	835	48			
2020-05-17	860	52			
2020-05-18	874	52			
2020-05-19	901	53			
2020-05-20	931	55			
2020-05-21	947	60			
2020-05-22	969	62			
2020-05-23	1015	63			
2020-05-24	1030	65			
2020-05-25	1059	67			
2020-05-26	1077	70			
2020-05-27	1116	70			
2020-05-28	1194	72			
2020-05-29	1226	73			
2020-05-30	1250	76			
2020-05-31	1265	77			
2020-06-01	1315	78			
2020-06-02	1351	78			
2020-06-03	1386	79			
2020-06-04	1461	85			
2020-06-05	1485	87			
2020-06-06	1523	90			
2020-06-07	1533	90			
2020-06-08	1547	92			
2020-06-09	1586	94			
2020-06-10	1667	96			
2020-06-11	1722	97			
2020-06-12	1752	101			
2020-06-13	1776	104			
2020-06-14	1809	104			
2020-06-15	1860	104			
2020-06-16	1885	104			
2020-06-17	1890	107			
2020-06-18	1906	107			
