# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-10-28	2	0			
2020-10-29	2	0			
2020-10-30	2	0			
2020-10-31	2	0			
2020-11-01	2	0			
2020-11-02	2	0			
2020-11-03	2	0			
2020-11-04	2	0			
2020-11-05	1	0			
2020-11-06	1	0			
2020-11-07	1	0			
2020-11-08	1	0			
2020-11-09	1	0			
2020-11-10	1	0			
2020-11-11	1	0			
2020-11-12	1	0			
2020-11-13	1	0			
2020-11-14	1	0			
2020-11-15	1	0			
2020-11-16	1	0			
2020-11-17	4	0			
2020-11-18	4	0			
2020-11-19	4	0			
2020-11-20	4	0			
2020-11-21	4	0			
2020-11-22	4	0			
2020-11-23	4	0			
2020-11-24	4	0			
2020-11-25	4	0			
2020-11-26	4	0			
2020-11-27	4	0			
2020-11-28	4	0			
2020-11-29	4	0			
2020-11-30	4	0			
2020-12-01	4	0			
2020-12-02	4	0			
2020-12-03	4	0			
2020-12-04	4	0			
2020-12-05	4	0			
2020-12-06	4	0			
2020-12-07	4	0			
2020-12-08	4	0			
2020-12-09	4	0			
2020-12-10	4	0			
2020-12-11	4	0			
2020-12-12	4	0			
2020-12-13	4	0			
2020-12-14	4	0			
2020-12-15	4	0			
2020-12-16	4	0			
2020-12-17	4	0			
2020-12-18	4	0			
2020-12-19	4	0			
2020-12-20	4	0			
2020-12-21	4	0			
2020-12-22	4	0			
2020-12-23	4	0			
2020-12-24	4	0			
2020-12-25	4	0			
2020-12-26	4	0			
2020-12-27	4	0			
2020-12-28	4	0			
2020-12-29	4	0			
2020-12-30	4	0			
2020-12-31	4	0			
2021-01-01	4	0			
2021-01-02	4	0			
2021-01-03	4	0			
2021-01-04	4	0			
2021-01-05	4	0			
2021-01-06	4	0			
2021-01-07	4	0			
2021-01-08	4	0			
2021-01-09	4	0			
2021-01-10	4	0			
2021-01-11	4	0			
2021-01-12	4	0			
2021-01-13	4	0			
2021-01-14	4	0			
2021-01-15	4	0			
2021-01-16	4	0			
2021-01-17	4	0			
2021-01-18	4	0			
2021-01-19	4	0			
2021-01-20	4	0			
2021-01-21	4	0			
2021-01-22	4	0			
2021-01-23	4	0			
2021-01-24	4	0			
2021-01-25	4	0			
2021-01-26	4	0			
2021-01-27	4	0			
