# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	3	0			
2020-03-19	3	0			
2020-03-20	12	0			
2020-03-21	14	1			
2020-03-22	28	2			
2020-03-23	36	2			
2020-03-24	42	2			
2020-03-25	48	2			
2020-03-26	81	2			
2020-03-27	94	2			
2020-03-28	102	2			
2020-03-29	107	3			
2020-03-30	128	3			
2020-03-31	143	5			
2020-04-01	161	6			
2020-04-02	169	7			
2020-04-03	186	7			
2020-04-04	196	7			
2020-04-05	227	7			
2020-04-06	244	7			
2020-04-07	268	7			
2020-04-08	273	7			
2020-04-09	314	7			
2020-04-10	318	9			
2020-04-11	319	9			
2020-04-12	324	9			
2020-04-13	324	9			
2020-04-14	324	9			
2020-04-15	324	9			
2020-04-16	324	9			
2020-04-17	324	9			
2020-04-18	325	9			
2020-04-19	328	9			
2020-04-20	328	9			
2020-04-21	328	9			
2020-04-22	329	9			
2020-04-23	331	9			
2020-04-24	331	9			
2020-04-25	331	9			
2020-04-26	332	9			
2020-04-27	334	10			
2020-04-28	334	10			
2020-04-29	332	10			
2020-04-30	332	10			
2020-05-01	332	10			
2020-05-02	332	10			
2020-05-03	332	10			
2020-05-04	332	10			
2020-05-05	332	10			
2020-05-06	332	10			
2020-05-07	332	10			
2020-05-08	332	10			
2020-05-09	332	10			
2020-05-10	332	10			
2020-05-11	332	10			
2020-05-12	332	10			
2020-05-13	332	10			
2020-05-14	332	10			
2020-05-15	332	10			
2020-05-16	332	10			
2020-05-17	332	10			
2020-05-18	332	10			
2020-05-19	332	10			
2020-05-20	332	10			
2020-05-21	332	10			
2020-05-22	332	10			
2020-05-23	332	10			
2020-05-24	334	10			
2020-05-25	334	10			
2020-05-26	334	10			
2020-05-27	334	10			
2020-05-28	334	10			
2020-05-29	335	10			
2020-05-30	335	10			
2020-05-31	335	10			
2020-06-01	335	10			
2020-06-02	335	10			
2020-06-03	335	10			
2020-06-04	335	10			
2020-06-05	337	10			
2020-06-06	337	10			
2020-06-07	337	10			
2020-06-08	337	10			
2020-06-09	337	10			
2020-06-10	337	10			
2020-06-11	337	10			
2020-06-12	337	10			
2020-06-13	337	10			
2020-06-14	337	10			
2020-06-15	337	10			
2020-06-16	337	10			
2020-06-17	337	10			
2020-06-18	337	10			
2020-06-19	337	10			
2020-06-20	337	10			
2020-06-21	337	10			
2020-06-22	340	10			
2020-06-23	340	10			
2020-06-24	341	10			
2020-06-25	341	10			
2020-06-26	341	10			
2020-06-27	341	10			
2020-06-28	341	10			
2020-06-29	341	10			
2020-06-30	341	10			
2020-07-01	341	10			
2020-07-02	341	10			
2020-07-03	341	10			
2020-07-04	341	10			
2020-07-05	341	10			
2020-07-06	342	10			
2020-07-07	342	10			
2020-07-08	342	10			
2020-07-09	342	10			
2020-07-10	342	10			
2020-07-11	342	10			
2020-07-12	342	10			
2020-07-13	342	10			
2020-07-14	342	10			
2020-07-15	343	10			
2020-07-16	343	10			
2020-07-17	343	10			
2020-07-18	343	10			
2020-07-19	343	10			
2020-07-20	343	10			
2020-07-21	343	10			
2020-07-22	343	10			
2020-07-23	343	10			
2020-07-24	344	10			
2020-07-25	344	10			
2020-07-26	344	10			
2020-07-27	344	10			
2020-07-28	344	10			
2020-07-29	344	10			
