# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	2	0			
2020-03-17	2	0			
2020-03-18	2	0			
2020-03-19	3	0			
2020-03-20	3	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-23	4	0			
2020-03-24	7	0			
2020-03-25	7	0			
2020-03-26	8	0			
2020-03-27	8	0			
2020-03-28	8	0			
2020-03-29	11	0			
2020-03-30	11	0			
2020-03-31	11	0			
2020-04-01	14	0			
2020-04-02	14	0			
2020-04-03	14	0			
2020-04-04	14	0			
2020-04-05	16	0			
2020-04-06	16	0			
2020-04-07	16	0			
2020-04-08	16	0			
2020-04-09	16	0			
2020-04-10	16	0			
2020-04-11	16	0			
2020-04-12	16	0			
2020-04-13	16	0			
2020-04-14	16	0			
2020-04-15	16	0			
2020-04-16	16	0			
2020-04-17	16	0			
2020-04-18	16	0			
2020-04-19	16	0			
2020-04-20	16	0			
2020-04-21	16	0			
2020-04-22	16	0			
2020-04-23	16	0			
2020-04-24	16	0			
2020-04-25	16	0			
2020-04-26	16	0			
2020-04-27	16	0			
2020-04-28	16	0			
2020-04-29	16	0			
2020-04-30	16	0			
2020-05-01	16	0			
2020-05-02	16	0			
2020-05-03	16	0			
2020-05-04	16	0			
2020-05-05	16	0			
2020-05-06	16	0			
2020-05-07	16	0			
2020-05-08	16	0			
2020-05-09	16	0			
2020-05-10	16	0			
2020-05-11	16	0			
2020-05-12	16	0			
2020-05-13	16	0			
2020-05-14	16	0			
2020-05-15	16	0			
2020-05-16	16	0			
2020-05-17	16	0			
2020-05-18	16	0			
2020-05-19	16	0			
2020-05-20	16	0			
2020-05-21	18	0			
2020-05-22	19	0			
2020-05-23	20	0			
2020-05-24	21	0			
2020-05-25	21	0			
2020-05-26	21	0			
2020-05-27	22	0			
2020-05-28	22	0			
2020-05-29	23	0			
2020-05-30	23	0			
2020-05-31	24	0			
2020-06-01	25	0			
2020-06-02	25	0			
2020-06-03	25	0			
2020-06-04	25	0			
2020-06-05	25	0			
2020-06-06	29	0			
2020-06-07	29	0			
2020-06-08	31	0			
2020-06-09	31	0			
2020-06-10	31	0			
2020-06-11	31	0			
2020-06-12	31	0			
2020-06-13	32	0			
2020-06-14	32	0			
2020-06-15	32	0			
2020-06-16	34	0			
2020-06-17	36	0			
2020-06-18	39	0			
2020-06-19	45	0			
2020-06-20	46	0			
2020-06-21	55	0			
2020-06-22	63	0			
2020-06-23	72	0			
2020-06-24	76	0			
2020-06-25	102	0			
2020-06-26	121	0			
2020-06-27	136	0			
2020-06-28	183	0			
2020-06-29	196	0			
2020-06-30	205	0			
2020-07-01	285	0			
2020-07-02	293	0			
2020-07-03	350	0			
2020-07-04	375	0			
2020-07-05	412	0			
2020-07-06	485	0			
2020-07-07	539	0			
2020-07-08	593	0			
2020-07-09	615	0			
2020-07-10	668	1			
2020-07-11	668	1			
2020-07-12	785	1			
2020-07-13	861	1			
2020-07-14	864	2			
2020-07-15	960	2			
2020-07-16	1032	2			
2020-07-17	1078	2			
2020-07-18	1203	2			
2020-07-19	1247	3			
2020-07-20	1344	4			
2020-07-21	1366	7			
2020-07-22	1402	7			
2020-07-23	1522	7			
2020-07-24	1618	7			
2020-07-25	1687	7			
2020-07-26	1775	8			
2020-07-27	1843	8			
2020-07-28	1917	8			
2020-07-29	1986	9			
2020-07-30	2052	10			
2020-07-31	2129	10			
2020-08-01	2224	11			
2020-08-02	2294	11			
2020-08-03	2406	12			
2020-08-04	2470	12			
2020-08-05	2540	12			
2020-08-06	2652	15			
2020-08-07	2802	16			
2020-08-08	2802	16			
2020-08-09	2949	19			
2020-08-10	3101	19			
2020-08-11	3229	19			
2020-08-12	3406	22			
2020-08-13	3544	27			
2020-08-14	3726	31			
2020-08-15	3907	35			
2020-08-16	4154	35			
2020-08-17	4344	36			
2020-08-18	4464	37			
2020-08-19	4665	39			
2020-08-20	4912	41			
2020-08-21	5227	42			
2020-08-22	5538	46			
2020-08-23	5854	52			
2020-08-24	6030	56			
2020-08-25	6160	57			
2020-08-26	6431	59			
2020-08-27	6712	60			
2020-08-28	6906	65			
2020-08-29	7116	69			
2020-08-30	7365	72			
2020-08-31	7550	75			
2020-09-01	7692	81			
2020-09-02	7844	82			
2020-09-03	8082	86			
2020-09-04	8323	87			
2020-09-05	8514	87			
2020-09-06	8685	89			
2020-09-07	8810	91			
2020-09-08	8928	91			
2020-09-09	9108	93			
2020-09-10	9256	96			
2020-09-11	9437	98			
2020-09-12	9604	98			
2020-09-13	9719	101			
2020-09-14	9818	103			
2020-09-15	9901	106			
2020-09-16	9964	108			
2020-09-17	10078	108			
2020-09-18	10207	108			
2020-09-19	10292	111			
2020-09-20	10377	112			
2020-09-21	10526	113			
2020-09-22	10607	116			
2020-09-23	10663	117			
2020-09-24	10740	119			
2020-09-25	10835	119			
2020-09-26	10918	120			
2020-09-27	11033	120			
2020-09-28	11121	121			
2020-09-29	11140	121			
2020-09-30	11265	121			
2020-10-01	11373	123			
2020-10-02	11480	123			
2020-10-03	11572	123			
2020-10-04	11626	123			
2020-10-05	11654	125			
2020-10-06	11673	125			
2020-10-07	11714	126			
2020-10-08	11781	127			
2020-10-09	11829	127			
2020-10-10	11891	128			
2020-10-11	11936	128			
2020-10-12	11989	129			
2020-10-13	12000	129			
2020-10-14	12069	130			
2020-10-15	12103	130			
2020-10-16	12215	131			
2020-10-17	12263	131			
2020-10-18	12293	131			
2020-10-19	12326	131			
2020-10-20	12367	132			
2020-10-21	12406	133			
2020-10-22	12460	133			
2020-10-23	12501	133			
2020-10-24	12579	133			
2020-10-25	12660	133			
2020-10-26	12675	133			
2020-10-27	12729	133			
2020-10-28	12806	133			
2020-10-29	12858	133			
2020-10-30	12907	133			
2020-10-31	12935	133			
2020-11-01	12988	133			
2020-11-02	13012	133			
2020-11-03	13030	133			
2020-11-04	13046	133			
2020-11-05	13090	133			
