# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	6	0			
2020-03-01	10	0			
2020-03-02	18	0			
2020-03-03	24	0			
2020-03-04	38	0			
2020-03-05	82	0			
2020-03-06	128	1			
2020-03-07	188	1			
2020-03-08	265	3			
2020-03-09	321	3			
2020-03-10	382	4			
2020-03-11	503	5			
2020-03-12	503	5			
2020-03-13	806	10			
2020-03-14	962	12			
2020-03-15	1138	20			
2020-03-16	1416	24			
2020-03-17	1711	43			
2020-03-18	2058	58			
2020-03-19	2467	77			
2020-03-20	3003	107			
2020-03-21	3640	137			
2020-03-22	4217	180			
2020-03-23	4764	214			
2020-03-24	5580	277			
2020-03-25	6438	357			
2020-03-26	7468	435			
2020-03-27	8647	547			
2020-03-28	9819	640			
2020-03-29	10930	772			
2020-03-30	11817	865			
2020-03-31	12667	1040			
2020-04-01	13696	1175			
2020-04-02	14788	1341			
2020-04-03	15821	1490			
2020-04-04	16727	1656			
2020-04-05	17953	1771			
2020-04-06	18926	1874			
2020-04-07	19709	2108			
2020-04-08	20682	2255			
2020-04-09	21903	2403			
2020-04-10	23249	2520			
2020-04-11	24571	2653			
2020-04-12	25746	2747			
2020-04-13	26710	2833			
2020-04-14	27580	2955			
2020-04-15	28316	3145			
2020-04-16	29383	3327			
2020-04-17	30619	3471			
2020-04-18	31766	3613			
2020-04-19	32838	3697			
2020-04-20	33588	3764			
2020-04-21	34317	3929			
2020-04-22	35032	4068			
2020-04-23	35921	4192			
2020-04-24	36729	4304			
2020-04-25	37384	4424			
2020-04-26	38040	4491			
2020-04-27	38440	4534			
2020-04-28	38612	4582			
2020-04-29	38998	4727			
2020-04-30	39512	4811			
2020-05-01	39989	4909			
2020-05-02	40434	5003			
2020-05-03	40769	5072			
2020-05-04	40968	5098			
2020-05-05	41286	5185			
2020-05-06	41518	5221			
2020-05-07	41973	5306			
2020-05-08	42292	5377			
2020-05-09	42581	5441			
2020-05-10	42826	5459			
2020-05-11	42987	5475			
2020-05-12	43183	5529			
2020-05-13	43410	5581			
2020-05-14	43680	5609			
2020-05-15	43880	5662			
2020-05-16	44070	5689			
2020-05-17	44195	5699			
2020-05-18	44341	5713			
2020-05-19	44449	5734			
2020-05-20	44647	5767			
2020-05-21	44900	5794			
2020-05-22	45088	5807			
2020-05-23	45265	5830			
2020-05-24	45437	5841			
2020-05-25	45647	5849			
2020-05-26	45780	5875			
2020-05-27	45970	5890			
2020-05-28	46152	5922			
2020-05-29	46328	5950			
2020-05-30	46460	5970			
2020-05-31	46645	5975			
2020-06-01	46749	5981			
2020-06-02	46852	5986			
2020-06-03	46939	5996			
2020-06-04	47148	6009			
2020-06-05	47358	6024			
2020-06-06	47541	6030			
2020-06-07	47780	6032			
2020-06-08	47945	6035			
2020-06-09	48109	6050			
2020-06-10	48294	6061			
2020-06-11	48458	6063			
2020-06-12	48668	6072			
2020-06-13	48847	6076			
2020-06-14	48990	6078			
2020-06-15	49155	6084			
2020-06-16	49295	6089			
2020-06-17	49412	6093			
2020-06-18	49527	6097			
2020-06-19	49634	6100			
2020-06-20	49710	6108			
2020-06-21	49801	6109			
2020-06-22	49866	6109			
2020-06-23	49930	6114			
2020-06-24	50012	6116			
2020-06-25	50122	6119			
2020-06-26	50213	6122			
2020-06-27	50282	6124			
2020-06-28	50355	6124			
2020-06-29	50433	6126			
2020-06-30	50483	6132			
2020-07-01	50545	6134			
2020-07-02	50623	6137			
2020-07-03	50698	6139			
2020-07-04	50761	6145			
2020-07-05	50834	6146			
2020-07-06	50870	6147			
2020-07-07	50907	6151			
2020-07-08	50959	6154			
2020-07-09	51013	6156			
2020-07-10	51055	6155			
2020-07-11	51136	6156			
2020-07-12	51237	6156			
2020-07-13	51308	6156			
2020-07-14	51362	6154			
2020-07-15	51471	6155			
2020-07-16	51572	6156			
2020-07-17	51682	6157			
2020-07-18	51809	6155			
