# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	2	0			
2020-03-24	2	0			
2020-03-25	2	0			
2020-03-26	2	0			
2020-03-27	2	1			
2020-03-28	4	1			
2020-03-29	4	1			
2020-03-30	4	1			
2020-03-31	5	1			
2020-04-01	5	1			
2020-04-02	5	1			
2020-04-03	5	1			
2020-04-04	5	1			
2020-04-05	6	1			
2020-04-06	6	1			
2020-04-07	6	1			
2020-04-08	6	1			
2020-04-09	7	1			
2020-04-10	7	1			
2020-04-11	8	1			
2020-04-12	9	1			
2020-04-13	9	1			
2020-04-14	9	1			
2020-04-15	9	1			
2020-04-16	9	1			
2020-04-17	9	1			
2020-04-18	9	2			
2020-04-19	10	2			
2020-04-20	10	2			
2020-04-21	10	2			
2020-04-22	10	2			
2020-04-23	11	3			
2020-04-24	11	3			
2020-04-25	12	3			
2020-04-26	13	3			
2020-04-27	13	3			
2020-04-28	13	3			
2020-04-29	13	3			
2020-04-30	14	3			
2020-05-01	14	3			
2020-05-02	14	3			
2020-05-03	15	5			
2020-05-04	15	5			
2020-05-05	16	5			
2020-05-06	16	5			
2020-05-07	16	5			
2020-05-08	16	5			
2020-05-09	16	5			
2020-05-10	16	5			
2020-05-11	16	5			
2020-05-12	25	8			
2020-05-13	25	8			
2020-05-14	25	8			
2020-05-15	25	8			
2020-05-16	25	8			
2020-05-17	25	8			
2020-05-18	25	8			
2020-05-19	254	17			
2020-05-20	254	17			
2020-05-21	279	17			
2020-05-22	279	17			
2020-05-23	279	17			
2020-05-24	279	17			
2020-05-25	279	17			
2020-05-26	759	35			
2020-05-27	759	35			
2020-05-28	759	35			
2020-05-29	759	35			
2020-05-30	759	35			
2020-05-31	759	35			
2020-06-01	759	35			
2020-06-02	1118	46			
2020-06-03	1118	46			
2020-06-04	1118	46			
2020-06-05	1118	46			
2020-06-06	1118	46			
2020-06-07	1118	46			
2020-06-08	1118	46			
2020-06-09	1464	55			
2020-06-10	1464	55			
2020-06-11	1464	55			
2020-06-12	1464	55			
2020-06-13	1464	55			
2020-06-14	1464	55			
2020-06-15	1464	55			
2020-06-16	1823	64			
2020-06-17	1823	64			
2020-06-18	1823	64			
2020-06-19	1823	64			
2020-06-20	1823	64			
2020-06-21	1823	64			
2020-06-22	1823	64			
2020-06-23	2170	74			
2020-06-24	2170	74			
2020-06-25	2170	74			
2020-06-26	2170	74			
2020-06-27	2170	74			
2020-06-28	2170	74			
2020-06-29	2170	74			
2020-06-30	2519	83			
2020-07-01	2519	83			
2020-07-02	2519	83			
2020-07-03	2519	83			
2020-07-04	2519	83			
2020-07-05	2519	83			
2020-07-06	2519	83			
2020-07-07	2846	91			
2020-07-08	2846	91			
2020-07-09	2846	91			
2020-07-10	2846	91			
2020-07-11	2846	91			
2020-07-12	2846	91			
2020-07-13	2846	91			
2020-07-14	3147	99			
2020-07-15	3147	99			
2020-07-16	3147	99			
2020-07-17	3147	99			
2020-07-18	3147	99			
2020-07-19	3147	99			
2020-07-20	3147	99			
2020-07-21	3439	108			
2020-07-22	3439	108			
2020-07-23	3439	108			
2020-07-24	3439	108			
2020-07-25	3439	108			
2020-07-26	3439	108			
2020-07-27	3439	108			
2020-07-28	3672	116			
2020-07-29	3672	116			
2020-07-30	3672	116			
2020-07-31	3672	116			
2020-08-01	3672	116			
2020-08-02	3672	116			
2020-08-03	3672	116			
2020-08-04	3902	123			
2020-08-05	3902	123			
2020-08-06	3902	123			
2020-08-07	3902	123			
2020-08-08	3902	123			
2020-08-09	3902	123			
2020-08-10	3902	123			
2020-08-11	4115	128			
2020-08-12	4115	128			
2020-08-13	4115	128			
2020-08-14	4115	128			
2020-08-15	4115	128			
2020-08-16	4115	128			
2020-08-17	4115	128			
2020-08-18	4311	133			
2020-08-19	4311	133			
2020-08-20	4311	133			
2020-08-21	4311	133			
2020-08-22	4311	133			
2020-08-23	4311	133			
2020-08-24	4311	133			
2020-08-25	4494	137			
2020-08-26	4494	137			
2020-08-27	4494	137			
2020-08-28	4494	137			
2020-08-29	4494	137			
2020-08-30	4494	137			
2020-08-31	4494	137			
2020-09-01	4668	141			
2020-09-02	4668	141			
2020-09-03	4668	141			
2020-09-04	4668	141			
2020-09-05	4668	141			
2020-09-06	4668	141			
2020-09-07	4668	141			
2020-09-08	4818	144			
2020-09-09	4818	144			
2020-09-10	4818	144			
2020-09-11	4818	144			
2020-09-12	4818	144			
2020-09-13	4818	144			
2020-09-14	4818	144			
2020-09-15	4961	147			
2020-09-16	4961	147			
2020-09-17	4961	147			
2020-09-18	4961	147			
2020-09-19	4961	147			
2020-09-20	4961	147			
2020-09-21	4961	147			
2020-09-22	5073	149			
2020-09-23	5073	149			
2020-09-24	5073	149			
2020-09-25	5073	149			
2020-09-26	5073	149			
2020-09-27	5073	149			
2020-09-28	5073	149			
2020-09-29	5170	151			
2020-09-30	5170	151			
2020-10-01	5170	151			
2020-10-02	5170	151			
2020-10-03	5170	151			
2020-10-04	5170	151			
2020-10-05	5170	151			
2020-10-06	5264	151			
2020-10-07	5264	153			
2020-10-08	5264	153			
2020-10-09	5264	153			
2020-10-10	5264	153			
2020-10-11	5264	153			
2020-10-12	5264	153			
2020-10-13	5353	154			
2020-10-14	5353	154			
2020-10-15	5353	154			
2020-10-16	5353	154			
2020-10-17	5353	154			
2020-10-18	5353	154			
2020-10-19	5353	154			
2020-10-20	5434	155			
2020-10-21	5434	155			
2020-10-22	5434	155			
2020-10-23	5434	155			
2020-10-24	5434	155			
2020-10-25	5434	155			
2020-10-26	5434	155			
2020-10-27	5514	156			
2020-10-28	5514	156			
2020-10-29	5514	156			
2020-10-30	5514	156			
2020-10-31	5514	156			
2020-11-01	5514	156			
2020-11-02	5514	156			
2020-11-03	5514	156			
2020-11-04	5514	156			
2020-11-05	5591	157			
2020-11-06	5591	157			
2020-11-07	5591	157			
2020-11-08	5591	157			
2020-11-09	5591	157			
2020-11-10	5661	158			
2020-11-11	5661	158			
2020-11-12	5661	158			
2020-11-13	5661	158			
2020-11-14	5661	158			
2020-11-15	5661	158			
2020-11-16	5661	158			
2020-11-17	5725	159			
2020-11-18	5725	159			
2020-11-19	5725	159			
2020-11-20	5725	159			
2020-11-21	5725	159			
2020-11-22	5725	159			
2020-11-23	5725	159			
2020-11-24	5784	160			
2020-11-25	5784	160			
2020-11-26	5784	160			
2020-11-27	5784	160			
2020-11-28	5784	160			
2020-11-29	5784	160			
2020-11-30	5784	160			
2020-12-01	5838	161			
2020-12-02	5838	161			
2020-12-03	5838	161			
2020-12-04	5838	161			
2020-12-05	5838	161			
2020-12-06	5838	161			
2020-12-07	5838	161			
2020-12-08	5887	162			
2020-12-09	5887	162			
2020-12-10	5887	162			
2020-12-11	5887	162			
2020-12-12	5887	162			
2020-12-13	5887	162			
2020-12-14	5887	162			
2020-12-15	5887	162			
2020-12-16	5938	163			
2020-12-17	5938	163			
2020-12-18	5938	163			
2020-12-19	5938	163			
2020-12-20	5938	163			
2020-12-21	5938	163			
2020-12-22	5938	163			
2020-12-23	5991	164			
2020-12-24	5991	164			
2020-12-25	5991	164			
2020-12-26	5991	164			
2020-12-27	5991	164			
2020-12-28	5991	164			
2020-12-29	6046	165			
2020-12-30	6046	165			
2020-12-31	6046	165			
2021-01-01	6046	165			
2021-01-02	6046	165			
2021-01-03	6046	165			
2021-01-04	6046	165			
2021-01-05	6097	166			
2021-01-06	6097	166			
2021-01-07	6097	166			
2021-01-08	6097	166			
2021-01-09	6097	166			
2021-01-10	6097	166			
2021-01-11	6097	166			
2021-01-12	6152	167			
2021-01-13	6152	167			
2021-01-14	6152	167			
2021-01-15	6152	167			
2021-01-16	6152	167			
2021-01-17	6152	167			
2021-01-18	6152	167			
2021-01-19	6204	168			
2021-01-20	6204	168			
2021-01-21	6204	168			
2021-01-22	6204	168			
2021-01-23	6204	168			
2021-01-24	6204	168			
2021-01-25	6204	168			
2021-01-26	6253	169			
2021-01-27	6253	169			
