# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-09	0	0			
2020-03-10	1	0			
2020-03-11	8	1			
2020-03-12	11	1			
2020-03-13	27	1			
2020-03-14	36	1			
2020-03-15	43	1			
2020-03-16	55	1			
2020-03-17	69	1			
2020-03-18	86	1			
2020-03-19	109	1			
2020-03-20	137	1			
2020-03-21	200	1			
2020-03-22	313	3			
2020-03-23	345	6			
2020-03-24	345	6			
2020-03-25	443	8			
2020-03-26	558	8			
2020-03-27	674	9			
2020-03-28	786	14			
2020-03-29	901	17			
2020-03-30	989	24			
2020-03-31	1181	30			
2020-04-01	1181	30			
2020-04-02	1317	32			
2020-04-03	1475	37			
2020-04-04	1673	41			
2020-04-05	1801	46			
2020-04-06	1988	54			
2020-04-07	2100	55			
2020-04-08	2249	59			
2020-04-09	2528	63			
2020-04-10	2752	66			
2020-04-11	2974	74			
2020-04-12	3234	79			
2020-04-13	3400	87			
2020-04-14	3472	94			
2020-04-15	3574	95			
2020-04-16	3751	103			
2020-04-17	4016	109			
2020-04-18	4210	116			
2020-04-19	4273	120			
2020-04-20	4467	126			
2020-04-21	4658	136			
2020-04-22	4821	141			
2020-04-23	5166	146			
2020-04-24	5338	154			
2020-04-25	5538	159			
2020-04-26	5779	165			
2020-04-27	6021	167			
2020-04-28	6021	167			
2020-04-29	6378	178			
2020-04-30	6532	188			
2020-05-01	6720	192			
2020-05-02	7090	197			
2020-05-03	7090	197			
2020-05-04	7197	200			
2020-05-05	7523	210			
2020-05-06	7731	218			
2020-05-07	7868	225			
2020-05-08	8070	231			
2020-05-09	8282	237			
2020-05-10	8448	244			
2020-05-11	8616	249			
2020-05-12	8783	252			
2020-05-13	8944	256			
2020-05-14	9118	260			
2020-05-15	9268	266			
2020-05-16	9449	269			
2020-05-17	9606	275			
2020-05-18	9726	279			
2020-05-19	9867	281			
2020-05-20	9977	287			
2020-05-21	10116	291			
2020-05-22	10267	295			
2020-05-23	10577	299			
2020-05-24	10926	306			
2020-05-25	11183	310			
2020-05-26	11447	313			
2020-05-27	11728	315			
2020-05-28	12131	320			
2020-05-29	12531	326			
2020-05-30	13018	330			
2020-05-31	13463	336			
2020-06-01	13837	344			
2020-06-02	14095	352			
2020-06-03	14609	357			
2020-06-04	15044	363			
2020-06-05	15463	370			
2020-06-06	16004	386			
2020-06-07	16425	393			
2020-06-08	16854	398			
2020-06-09	17233	403			
2020-06-10	17889	413			
2020-06-11	18586	418			
2020-06-12	19211	421			
2020-06-13	20059	429			
2020-06-14	21418	437			
2020-06-15	21422	448			
2020-06-16	21962	457			
2020-06-17	22597	470			
2020-06-18	23351	475			
2020-06-19	24274	485			
2020-06-20	25222	493			
2020-06-21	26030	501			
2020-06-22	26752	521			
2020-06-23	27314	536			
2020-06-24	28030	547			
2020-06-25	29037	564			
2020-06-26	29905	575			
2020-06-27	30658	592			
2020-06-28	31686	604			
2020-06-29	32785	620			
2020-06-30	33550	631			
2020-07-01	34463	645			
2020-07-02	35237	667			
2020-07-03	35995	698			
2020-07-04	36983	720			
2020-07-05	38149	747			
2020-07-06	39334	770			
2020-07-07	40291	799			
2020-07-08	41251	819			
2020-07-09	42216	839			
2020-07-10	43257	863			
2020-07-11	44332	893			
2020-07-12	45633	909			
2020-07-13	47173	932			
2020-07-14	48096	960			
2020-07-15	49243	982			
2020-07-16	50373	1000			
2020-07-17	51408	1038			
2020-07-18	52261	1071			
2020-07-19	53468	1096			
2020-07-20	54426	1127			
2020-07-21	55153	1159			
2020-07-22	55906	1180			
2020-07-23	56817	1209			
2020-07-24	57993	1250			
2020-07-25	58864	1275			
2020-07-26	60296	1294			
2020-07-27	61442	1322			
2020-07-28	62223	1349			
2020-07-29	63269	1374			
2020-07-30	64191	1397			
2020-07-31	65256	1421			
2020-08-01	66383	1449			
2020-08-02	67453	1471			
2020-08-03	68456	1497			
2020-08-04	69424	1522			
2020-08-05	70231	1553			
2020-08-06	71418	1574			
2020-08-07	72560	1591			
2020-08-08	73651	1609			
2020-08-09	74492	1639			
2020-08-10	75394	1664			
2020-08-11	76464	1680			
2020-08-12	77377	1703			
2020-08-13	78446	1722			
2020-08-14	79402	1734			
2020-08-15	80665	1746			
2020-08-16	81940	1767			
2020-08-17	82543	1788			
2020-08-18	82790	1809			
2020-08-19	83754	1827			
2020-08-20	83855	1844			
2020-08-21	84392	1859			
2020-08-22	85480	1878			
2020-08-23	86900	1892			
2020-08-24	87485	1906			
2020-08-25	88381	1919			
2020-08-26	89082	1932			
2020-08-27	89982	1948			
2020-08-28	90624	1966			
2020-08-29	91337	1983			
2020-08-30	92065	1995			
2020-08-31	92982	2002			
2020-09-01	93552	2018			
2020-09-02	94084	2030			
2020-09-03	94914	2046			
2020-09-04	95596	2063			
2020-09-05	96305	2075			
2020-09-06	97043	2086			
2020-09-07	97578	2099			
2020-09-08	98407	2107			
2020-09-09	99042	2116			
2020-09-10	99715	2127			
2020-09-11	100330	2140			
2020-09-12	101041	2155			
2020-09-13	101745	2166			
2020-09-14	102204	2173			
2020-09-15	102832	2187			
2020-09-16	103466	2198			
2020-09-17	104138	2213			
2020-09-18	104879	2229			
2020-09-19	105601	2247			
2020-09-20	106203	2257			
2020-09-21	106810	2272			
2020-09-22	107284	2285			
2020-09-23	107990	2291			
2020-09-24	108726	2297			
2020-09-25	109431	2311			
2020-09-26	110108	2323			
2020-09-27	110555	2340			
2020-09-28	111277	2348			
2020-09-29	111853	2364			
2020-09-30	112595	2372			
2020-10-01	113342	2387			
2020-10-02	113962	2406			
2020-10-03	114653	2414			
2020-10-04	115286	2423			
2020-10-05	115919	2430			
2020-10-06	116602	2440			
2020-10-07	117300	2448			
2020-10-08	118054	2463			
2020-10-09	118841	2474			
2020-10-10	119666	2482			
2020-10-11	120313	2491			
2020-10-12	120802	2502			
2020-10-13	121296	2511			
2020-10-14	122128	2519			
2020-10-15	122883	2529			
2020-10-16	123498	2546			
2020-10-17	124107	2557			
2020-10-18	124745	2564			
2020-10-19	125181	2574			
2020-10-20	125739	2585			
2020-10-21	126435	2597			
2020-10-22	127227	2612			
2020-10-23	127866	2622			
2020-10-24	128515	2628			
2020-10-25	129200	2633			
2020-10-26	129751	2638			
2020-10-27	130422	2650			
2020-10-28	131247	2663			
2020-10-29	132045	2678			
2020-10-30	132867	2688			
2020-10-31	133598	2700			
2020-11-01	134336	2706			
2020-11-02	134915	2720			
2020-11-03	135592	2731			
2020-11-04	136024	2744			
2020-11-05	136567	2756			
2020-11-06	137760	2770			
2020-11-07	138506	2781			
2020-11-08	139527	2798			
2020-11-09	140331	2808			
2020-11-10	141302	2817			
2020-11-11	142465	2823			
2020-11-12	143352	2830			
2020-11-13	144477	2856			
2020-11-14	145309	2867			
2020-11-15	146653	2873			
2020-11-16	147667	2881			
2020-11-17	148721	2893			
2020-11-18	149833	2907			
2020-11-19	151089	2922			
2020-11-20	152289	2932			
2020-11-21	153577	2946			
2020-11-22	154783	2957			
2020-11-23	155658	2973			
2020-11-24	156930	2986			
2020-11-25	158532	3002			
2020-11-26	160287	3018			
2020-11-27	161744	3030			
2020-11-28	163453	3039			
2020-11-29	164729	3060			
2020-11-30	165806	3079			
2020-12-01	167311	3098			
2020-12-02	169339	3114			
2020-12-03	171219	3141			
2020-12-04	173607	3154			
2020-12-05	175907	3173			
2020-12-06	177719	3193			
2020-12-07	179230	3212			
2020-12-08	181166	3241			
2020-12-09	182977	3264			
2020-12-10	185424	3287			
2020-12-11	187779	3309			
2020-12-12	190585	3331			
2020-12-13	193007	3356			
2020-12-14	194619	3382			
2020-12-15	196987	3411			
2020-12-16	199947	3439			
2020-12-17	203295	3481			
2020-12-18	206310	3504			
2020-12-19	209584	3527			
2020-12-20	212339	3566			
2020-12-21	214038	3597			
2020-12-22	217202	3632			
2020-12-23	220261	3664			
2020-12-24	223674	3715			
2020-12-25	226660	3756			
2020-12-26	228724	3799			
2020-12-27	231357	3840			
2020-12-28	233705	3892			
2020-12-29	238279	3933			
2020-12-30	242744	3975			
2020-12-31	246790	4022			
2021-01-01	249733	4064			
2021-01-02	251764	4103			
2021-01-03	253736	4140			
2021-01-04	256230	4197			
2021-01-05	259770	4238			
2021-01-06	264956	4283			
2021-01-07	269091	4321			
2021-01-08	273037	4363			
2021-01-09	276772	4406			
2021-01-10	279196	4455			
2021-01-11	281353	4500			
2021-01-12	285093	4561			
2021-01-13	288408	4594			
2021-01-14	291285	4651			
2021-01-15	293592	4689			
2021-01-16	296269	4738			
2021-01-17	298019	4787			
2021-01-18	299361	4828			
2021-01-19	301534	4864			
2021-01-20	303777	4912			
2021-01-21	305752	4944			
2021-01-22	307793	4980			
2021-01-23	309851	5034			
2021-01-24	311244	5063			
2021-01-25	312158	5098			
2021-01-26	313834	5137			
2021-01-27	315400	5176			
