# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	5	0			
2020-03-11	5	0			
2020-03-12	6	0			
2020-03-13	7	0			
2020-03-14	7	0			
2020-03-15	8	0			
2020-03-16	9	0			
2020-03-17	11	0			
2020-03-18	11	0			
2020-03-19	13	0			
2020-03-20	18	1			
2020-03-21	22	1			
2020-03-22	22	1			
2020-03-23	27	2			
2020-03-24	37	3			
2020-03-25	41	3			
2020-03-26	52	3			
2020-03-27	56	3			
2020-03-28	59	3			
2020-03-29	64	3			
2020-03-30	65	3			
2020-03-31	69	3			
2020-04-01	77	3			
2020-04-02	92	3			
2020-04-03	96	3			
2020-04-04	104	3			
2020-04-05	113	5			
2020-04-06	115	5			
2020-04-07	119	5			
2020-04-08	124	5			
2020-04-09	129	6			
2020-04-10	133	6			
2020-04-11	134	6			
2020-04-12	147	6			
2020-04-13	159	7			
2020-04-14	161	8			
2020-04-15	174	8			
2020-04-16	199	8			
2020-04-17	202	8			
2020-04-18	206	8			
2020-04-19	208	8			
2020-04-20	208	8			
2020-04-21	213	9			
2020-04-22	213	9			
2020-04-23	220	9			
2020-04-24	223	9			
2020-04-25	228	9			
2020-04-26	228	9			
2020-04-27	230	9			
2020-04-28	239	9			
2020-04-29	249	9			
2020-04-30	266	10			
2020-05-01	333	10			
2020-05-02	370	10			
2020-05-03	396	10			
2020-05-04	415	10			
2020-05-05	431	10			
2020-05-06	440	10			
2020-05-07	462	10			
2020-05-08	563	10			
2020-05-09	689	10			
2020-05-10	713	10			
2020-05-11	724	10			
2020-05-12	737	10			
2020-05-13	740	11			
2020-05-14	754	11			
2020-05-15	759	11			
2020-05-16	778	11			
2020-05-17	786	11			
2020-05-18	788	11			
2020-05-19	829	11			
2020-05-20	833	11			
2020-05-21	836	11			
2020-05-22	838	11			
2020-05-23	850	11			
2020-05-24	862	11			
2020-05-25	865	11			
2020-05-26	877	11			
2020-05-27	884	11			
2020-05-28	900	11			
2020-05-29	917	11			
2020-05-30	964	11			
2020-05-31	986	11			
2020-06-01	995	11			
2020-06-02	1013	11			
2020-06-03	1070	11			
2020-06-04	1086	11			
2020-06-05	1087	11			
2020-06-06	1090	11			
2020-06-07	1135	11			
2020-06-08	1145	11			
2020-06-09	1187	11			
2020-06-10	1202	11			
2020-06-11	1230	11			
2020-06-12	1254	11			
2020-06-13	1261	11			
2020-06-14	1289	11			
2020-06-15	1296	12			
2020-06-16	1303	13			
2020-06-17	1308	13			
2020-06-18	1330	13			
2020-06-19	1336	13			
2020-06-20	1362	13			
2020-06-21	1379	13			
2020-06-22	1392	13			
2020-06-23	1422	13			
2020-06-24	1528	13			
2020-06-25	1569	13			
2020-06-26	1711	13			
2020-06-27	1942	15			
2020-06-28	2127	15			
2020-06-29	2191	16			
2020-06-30	2221	17			
2020-07-01	2260	19			
2020-07-02	2303	19			
2020-07-03	2349	19			
2020-07-04	2385	20			
2020-07-05	2427	20			
2020-07-06	2456	20			
2020-07-07	2502	20			
2020-07-08	2554	20			
2020-07-09	2638	20			
2020-07-10	2736	20			
2020-07-11	2820	21			
2020-07-12	2948	22			
2020-07-13	2980	25			
2020-07-14	3074	25			
2020-07-15	3198	25			
2020-07-16	3342	27			
2020-07-17	3457	28			
2020-07-18	3629	29			
2020-07-19	3721	31			
2020-07-20	3748	33			
2020-07-21	3817	35			
2020-07-22	4000	36			
2020-07-23	4113	36			
2020-07-24	4224	38			
2020-07-25	4328	40			
2020-07-26	4444	41			
2020-07-27	4548	43			
