# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	8	0			
2020-03-03	10	1			
2020-03-04	16	1			
2020-03-05	21	1			
2020-03-06	21	1			
2020-03-07	23	1			
2020-03-08	36	1			
2020-03-09	36	1			
2020-03-10	51	2			
2020-03-11	62	2			
2020-03-12	69	3			
2020-03-13	80	5			
2020-03-14	80	5			
2020-03-15	101	5			
2020-03-16	109	7			
2020-03-17	109	7			
2020-03-18	119	11			
2020-03-19	119	11			
2020-03-20	144	14			
2020-03-21	144	20			
2020-03-22	175	20			
2020-03-23	187	20			
2020-03-24	187	21			
2020-03-25	208	21			
2020-03-26	208	21			
2020-03-27	223	21			
2020-03-28	224	22			
2020-03-29	224	22			
2020-03-30	230	25			
2020-03-31	236	26			
2020-04-01	236	26			
2020-04-02	245	30			
2020-04-03	245	30			
2020-04-04	259	32			
2020-04-05	266	32			
2020-04-06	266	32			
2020-04-07	279	34			
2020-04-08	279	34			
2020-04-09	333	34			
2020-04-10	344	34			
2020-04-11	356	35			
2020-04-12	356	35			
2020-04-13	356	35			
2020-04-14	371	36			
2020-04-15	372	36			
2020-04-16	426	38			
2020-04-17	435	39			
2020-04-18	455	39			
2020-04-19	461	39			
2020-04-20	462	39			
2020-04-21	476	40			
2020-04-22	488	40			
2020-04-23	501	40			
2020-04-24	513	40			
2020-04-25	513	40			
2020-04-26	538	41			
2020-04-27	538	41			
2020-04-28	553	41			
2020-04-29	563	41			
2020-04-30	569	41			
2020-05-01	580	41			
2020-05-02	580	41			
2020-05-03	582	41			
2020-05-04	582	41			
2020-05-05	589	41			
2020-05-06	608	41			
2020-05-07	622	41			
2020-05-08	623	41			
2020-05-09	637	41			
2020-05-10	628	41			
2020-05-11	628	41			
2020-05-12	638	41			
2020-05-13	643	41			
2020-05-14	648	41			
2020-05-15	652	41			
2020-05-16	653	41			
2020-05-17	654	41			
2020-05-18	654	41			
2020-05-19	655	41			
2020-05-20	656	41			
2020-05-21	658	41			
2020-05-22	661	41			
2020-05-23	665	42			
2020-05-24	665	42			
2020-05-25	666	42			
2020-05-26	666	42			
2020-05-27	667	42			
2020-05-28	670	42			
2020-05-29	671	42			
2020-05-30	671	42			
2020-05-31	671	42			
2020-06-01	671	42			
2020-06-02	672	42			
2020-06-03	674	42			
2020-06-04	678	42			
2020-06-05	680	42			
2020-06-06	680	42			
2020-06-07	680	42			
2020-06-08	687	42			
2020-06-09	688	42			
2020-06-10	691	42			
2020-06-11	691	42			
2020-06-12	694	42			
2020-06-13	694	42			
2020-06-14	694	42			
2020-06-15	694	42			
2020-06-16	694	42			
2020-06-17	696	42			
2020-06-18	696	42			
2020-06-19	696	42			
2020-06-20	696	42			
2020-06-21	696	42			
2020-06-22	697	42			
2020-06-23	698	42			
2020-06-24	698	42			
2020-06-25	698	42			
2020-06-26	698	42			
2020-06-27	698	42			
2020-06-28	698	42			
2020-06-29	698	42			
2020-06-30	698	42			
2020-07-01	698	42			
2020-07-02	698	42			
2020-07-03	698	42			
2020-07-04	698	42			
2020-07-05	698	42			
2020-07-06	698	42			
2020-07-07	698	42			
2020-07-08	698	42			
2020-07-09	699	42			
2020-07-10	699	42			
2020-07-11	699	42			
2020-07-12	699	42			
2020-07-13	699	42			
2020-07-14	699	42			
2020-07-15	699	42			
2020-07-16	699	42			
2020-07-17	699	42			
2020-07-18	699	42			
2020-07-19	699	42			
2020-07-20	699	42			
2020-07-21	699	42			
2020-07-22	699	42			
2020-07-23	699	42			
2020-07-24	699	42			
2020-07-25	699	42			
2020-07-26	699	42			
2020-07-27	699	42			
2020-07-28	699	42			
2020-07-29	699	42			
2020-07-30	699	42			
2020-07-31	699	42			
2020-08-01	699	42			
2020-08-02	699	42			
2020-08-03	699	42			
2020-08-04	699	42			
2020-08-05	699	42			
2020-08-06	699	42			
2020-08-07	699	42			
