# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	3	0			
2020-03-09	5	0			
2020-03-10	7	0			
2020-03-11	7	0			
2020-03-12	10	0			
2020-03-13	21	0			
2020-03-14	32	0			
2020-03-15	44	0			
2020-03-16	61	0			
2020-03-17	72	0			
2020-03-18	96	0			
2020-03-19	104	0			
2020-03-20	123	0			
2020-03-21	137	0			
2020-03-22	178	0			
2020-03-23	185	0			
2020-03-24	204	0			
2020-03-25	216	0			
2020-03-26	226	0			
2020-03-27	269	0			
2020-03-28	292	0			
2020-03-29	314	0			
2020-03-30	336	0			
2020-03-31	363	0			
2020-04-01	400	1			
2020-04-02	426	1			
2020-04-03	450	1			
2020-04-04	471	1			
2020-04-05	485	1			
2020-04-06	534	2			
2020-04-07	581	2			
2020-04-08	682	2			
2020-04-09	701	2			
2020-04-10	715	2			
2020-04-11	728	2			
2020-04-12	742	2			
2020-04-13	769	2			
2020-04-14	835	2			
2020-04-15	863	6			
2020-04-16	977	8			
2020-04-17	1049	9			
2020-04-18	1089	11			
2020-04-19	1161	12			
2020-04-20	1173	13			
2020-04-21	1199	14			
2020-04-22	1244	14			
2020-04-23	1325	15			
2020-04-24	1360	17			
2020-04-25	1373	17			
2020-04-26	1379	18			
2020-04-27	1381	18			
2020-04-28	1384	20			
2020-04-29	1391	22			
2020-04-30	1396	23			
2020-05-01	1403	23			
2020-05-02	1407	24			
2020-05-03	1408	24			
2020-05-04	1413	25			
2020-05-05	1421	25			
2020-05-06	1429	25			
2020-05-07	1445	26			
2020-05-08	1455	26			
2020-05-09	1455	26			
2020-05-10	1457	26			
2020-05-11	1457	26			
2020-05-12	1465	27			
2020-05-13	1469	27			
2020-05-14	1477	27			
2020-05-15	1480	27			
2020-05-16	1493	28			
2020-05-17	1494	28			
2020-05-18	1495	28			
2020-05-19	1495	28			
2020-05-20	1496	28			
2020-05-21	1502	28			
2020-05-22	1503	28			
2020-05-23	1504	28			
2020-05-24	1509	28			
2020-05-25	1511	28			
2020-05-26	1513	28			
2020-05-27	1515	28			
2020-05-28	1520	28			
2020-05-29	1520	28			
2020-05-30	1521	28			
2020-05-31	1521	28			
2020-06-01	1522	28			
2020-06-02	1522	28			
2020-06-03	1525	28			
2020-06-04	1526	28			
2020-06-05	1526	28			
2020-06-06	1528	28			
2020-06-07	1528	28			
2020-06-08	1530	28			
2020-06-09	1531	28			
2020-06-10	1533	28			
2020-06-11	1541	28			
2020-06-12	1542	28			
