# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	2	0			
2020-03-06	7	0			
2020-03-07	7	0			
2020-03-08	16	0			
2020-03-09	16	0			
2020-03-10	31	0			
2020-03-11	57	0			
2020-03-12	89	0			
2020-03-13	141	0			
2020-03-14	181	1			
2020-03-15	219	1			
2020-03-16	253	1			
2020-03-17	275	1			
2020-03-18	275	1			
2020-03-19	286	1			
2020-03-20	341	1			
2020-03-21	383	1			
2020-03-22	414	2			
2020-03-23	442	3			
2020-03-24	480	4			
2020-03-25	528	5			
2020-03-26	562	6			
2020-03-27	632	9			
2020-03-28	684	9			
2020-03-29	730	11			
2020-03-30	756	11			
2020-03-31	802	15			
2020-04-01	841	15			
2020-04-02	897	17			
2020-04-03	934	20			
2020-04-04	977	22			
2020-04-05	997	28			
2020-04-06	1021	30			
2020-04-07	1059	36			
2020-04-08	1091	40			
2020-04-09	1124	43			
2020-04-10	1160	45			
2020-04-11	1188	50			
2020-04-12	1205	53			
2020-04-13	1212	55			
2020-04-14	1220	56			
2020-04-15	1248	61			
2020-04-16	1268	61			
2020-04-17	1304	66			
2020-04-18	1317	70			
2020-04-19	1330	74			
2020-04-20	1335	77			
2020-04-21	1344	77			
2020-04-22	1353	79			
2020-04-23	1366	79			
2020-04-24	1373	80			
2020-04-25	1388	81			
2020-04-26	1396	82			
2020-04-27	1402	83			
2020-04-28	1408	86			
2020-04-29	1418	89			
2020-04-30	1429	91			
2020-05-01	1434	92			
2020-05-02	1439	94			
2020-05-03	1439	96			
2020-05-04	1439	97			
2020-05-05	1445	98			
2020-05-06	1448	99			
2020-05-07	1449	99			
2020-05-08	1450	100			
2020-05-09	1454	101			
2020-05-10	1457	102			
2020-05-11	1460	102			
2020-05-12	1461	102			
2020-05-13	1463	103			
2020-05-14	1464	103			
2020-05-15	1465	103			
2020-05-16	1465	103			
2020-05-17	1466	104			
2020-05-18	1466	104			
2020-05-19	1467	104			
2020-05-20	1468	105			
2020-05-21	1468	106			
2020-05-22	1468	106			
2020-05-23	1468	106			
2020-05-24	1468	107			
2020-05-25	1469	107			
2020-05-26	1469	108			
2020-05-27	1471	108			
2020-05-28	1473	108			
2020-05-29	1473	108			
2020-05-30	1473	108			
2020-05-31	1473	108			
2020-06-01	1473	109			
2020-06-02	1475	109			
2020-06-03	1477	109			
2020-06-04	1477	109			
2020-06-05	1479	109			
2020-06-06	1484	109			
2020-06-07	1485	109			
2020-06-08	1485	109			
2020-06-09	1486	109			
2020-06-10	1488	109			
2020-06-11	1488	109			
2020-06-12	1490	109			
2020-06-13	1492	109			
2020-06-14	1495	109			
2020-06-15	1496	109			
2020-06-16	1499	109			
2020-06-17	1503	109			
2020-06-18	1511	109			
2020-06-19	1513	109			
2020-06-20	1519	109			
2020-06-21	1520	109			
2020-06-22	1521	109			
2020-06-23	1534	109			
2020-06-24	1541	109			
2020-06-25	1547	109			
2020-06-26	1558	109			
2020-06-27	1572	109			
2020-06-28	1581	111			
2020-06-29	1585	111			
2020-06-30	1600	111			
2020-07-01	1613	111			
2020-07-02	1634	111			
2020-07-03	1650	111			
2020-07-04	1679	111			
2020-07-05	1700	111			
2020-07-06	1716	111			
2020-07-07	1739	111			
2020-07-08	1763	111			
2020-07-09	1776	111			
2020-07-10	1793	111			
2020-07-11	1827	111			
2020-07-12	1841	111			
2020-07-13	1849	111			
2020-07-14	1859	111			
2020-07-15	1878	111			
2020-07-16	1897	111			
2020-07-17	1916	111			
2020-07-18	1940	111			
2020-07-19	1946	112			
2020-07-20	1953	113			
2020-07-21	1977	114			
2020-07-22	2006	115			
2020-07-23	2033	115			
2020-07-24	2052	115			
2020-07-25	2066	116			
2020-07-26	2082	116			
2020-07-27	2087	116			
2020-07-28	2101	117			
2020-07-29	2115	117			
2020-07-30	2139	117			
2020-07-31	2156	119			
2020-08-01	2171	119			
2020-08-02	2180	120			
2020-08-03	2181	122			
2020-08-04	2190	123			
2020-08-05	2208	124			
2020-08-06	2223	125			
2020-08-07	2233	125			
2020-08-08	2247	126			
2020-08-09	2249	127			
2020-08-10	2255	128			
2020-08-11	2272	129			
2020-08-12	2303	129			
2020-08-13	2332	129			
2020-08-14	2369	129			
2020-08-15	2401	129			
2020-08-16	2416	129			
2020-08-17	2429	129			
2020-08-18	2456	129			
2020-08-19	2493	129			
2020-08-20	2536	129			
2020-08-21	2574	130			
2020-08-22	2617	131			
2020-08-23	2651	131			
2020-08-24	2665	133			
2020-08-25	2686	133			
2020-08-26	2722	133			
2020-08-27	2755	133			
2020-08-28	2797	133			
2020-08-29	2834	133			
2020-08-30	2865	133			
2020-08-31	2883	133			
2020-09-01	2924	133			
2020-09-02	2979	134			
2020-09-03	3032	134			
2020-09-04	3079	134			
2020-09-05	3122	135			
2020-09-06	3165	135			
2020-09-07	3190	135			
2020-09-08	3232	135			
2020-09-09	3312	135			
2020-09-10	3389	135			
2020-09-11	3497	135			
2020-09-12	3603	135			
2020-09-13	3702	135			
2020-09-14	3749	135			
2020-09-15	3831	135			
2020-09-16	3954	135			
2020-09-17	4058	136			
2020-09-18	4195	140			
2020-09-19	4309	141			
2020-09-20	4420	142			
2020-09-21	4470	142			
2020-09-22	4558	142			
2020-09-23	4694	143			
2020-09-24	4816	145			
2020-09-25	5007	145			
2020-09-26	5191	146			
2020-09-27	5350	147			
2020-09-28	5388	149			
2020-09-29	5487	149			
2020-09-30	5690	150			
2020-10-01	5865	152			
2020-10-02	6103	154			
2020-10-03	6330	155			
2020-10-04	6498	155			
2020-10-05	6673	156			
2020-10-06	6764	159			
2020-10-07	7120	159			
2020-10-08	7507	160			
2020-10-09	7872	165			
2020-10-10	8252	167			
2020-10-11	8663	167			
2020-10-12	8832	169			
2020-10-13	9231	173			
2020-10-14	9938	175			
2020-10-15	10683	176			
2020-10-16	11517	180			
2020-10-17	12416	184			
2020-10-18	13142	188			
2020-10-19	13679	190			
2020-10-20	14473	192			
