# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	3	0			
2020-03-09	3	0			
2020-03-10	7	0			
2020-03-11	13	0			
2020-03-12	17	0			
2020-03-13	24	0			
2020-03-14	38	0			
2020-03-15	51	0			
2020-03-16	62	0			
2020-03-17	62	0			
2020-03-18	116	0			
2020-03-19	150	0			
2020-03-20	202	0			
2020-03-21	240	0			
2020-03-22	274	0			
2020-03-23	402	0			
2020-03-24	554	0			
2020-03-25	709	0			
2020-03-26	927	0			
2020-03-27	1170	1			
2020-03-28	1187	1			
2020-03-29	1280	2			
2020-03-30	1326	3			
2020-03-31	1353	5			
2020-04-01	1380	5			
2020-04-02	1462	5			
2020-04-03	1505	9			
2020-04-04	1585	9			
2020-04-05	1655	11			
2020-04-06	1686	12			
2020-04-07	1749	13			
2020-04-08	1845	18			
2020-04-09	1934	18			
2020-04-10	2003	24			
2020-04-11	2028	25			
2020-04-12	2173	25			
2020-04-13	2272	27			
2020-04-14	2415	27			
2020-04-15	2506	34			
2020-04-16	2605	48			
2020-04-17	2783	50			
2020-04-18	3034	52			
2020-04-19	3158	54			
2020-04-20	3300	58			
2020-04-21	3465	58			
2020-04-22	3635	65			
2020-04-23	3953	75			
2020-04-24	4220	79			
2020-04-25	4361	86			
2020-04-26	4546	87			
2020-04-27	4793	90			
2020-04-28	4996	93			
2020-04-29	5350	103			
2020-04-30	5647	103			
2020-05-01	5951	116			
2020-05-02	6336	123			
2020-05-03	6783	131			
2020-05-04	7220	138			
2020-05-05	7572	148			
2020-05-06	7808	153			
2020-05-07	8232	161			
2020-05-08	8895	178			
2020-05-09	9420	186			
2020-05-10	10015	194			
2020-05-11	10652	206			
2020-05-12	11350	206			
2020-05-13	12074	219			
2020-05-14	12739	238			
2020-05-15	13524	247			
2020-05-16	14355	261			
2020-05-17	15515	264			
2020-05-18	16433	286			
2020-05-19	17200	312			
2020-05-20	18003	339			
2020-05-21	19137	369			
2020-05-22	20125	397			
2020-05-23	21343	407			
2020-05-24	22583	429			
2020-05-25	23615	481			
2020-05-26	24264	524			
2020-05-27	25937	552			
2020-05-28	27403	577			
2020-05-29	29240	611			
2020-05-30	30967	643			
2020-05-31	32683	683			
2020-06-01	34357	705			
