# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	8	0			
2020-02-28	8	0			
2020-02-29	18	0			
2020-03-01	27	0			
2020-03-02	42	0			
2020-03-03	56	0			
2020-03-04	90	0			
2020-03-05	114	0			
2020-03-06	214	1			
2020-03-07	268	1			
2020-03-08	337	2			
2020-03-09	374	2			
2020-03-10	491	5			
2020-03-11	652	7			
2020-03-12	652	10			
2020-03-13	1139	11			
2020-03-14	1359	14			
2020-03-15	2200	22			
2020-03-16	2200	33			
2020-03-17	2700	40			
2020-03-18	3028	48			
2020-03-19	4075	58			
2020-03-20	5294	78			
2020-03-21	6575	98			
2020-03-22	7474	113			
2020-03-23	8795	141			
2020-03-24	9877	161			
2020-03-25	10897	196			
2020-03-26	11811	238			
2020-03-27	12928	273			
2020-03-28	14076	329			
2020-03-29	14829	376			
2020-03-30	15922	434			
2020-03-31	16605	485			
2020-04-01	17768	546			
2020-04-02	18827	605			
2020-04-03	19606	660			
2020-04-04	20505	719			
2020-04-05	21100	771			
2020-04-06	21657	823			
2020-04-07	22253	882			
2020-04-08	23280	946			
2020-04-09	24051	991			
2020-04-10	24551	1046			
2020-04-11	25107	1087			
2020-04-12	25415	1141			
2020-04-13	25688	1173			
2020-04-14	25936	1209			
2020-04-15	26336	1256			
2020-04-16	26732	1298			
2020-04-17	27078	1330			
2020-04-18	27404	1366			
2020-04-19	27740	1391			
2020-04-20	27944	1432			
2020-04-21	28063	1469			
2020-04-22	28268	1497			
2020-04-23	28496	1531			
2020-04-24	28677	1554			
2020-04-25	28894	1581			
2020-04-26	29061	1594			
2020-04-27	29164	1614			
2020-04-28	29264	1637			
2020-04-29	29407	1649			
2020-04-30	29586	1665			
2020-05-01	29705	1679			
2020-05-02	29817	1688			
2020-05-03	29905	1695			
2020-05-04	29981	1702			
2020-05-05	30009	1714			
2020-05-06	30060	1719			
2020-05-07	30126	1730			
2020-05-08	30207	1738			
2020-05-09	30251	1745			
2020-05-10	30305	1754			
2020-05-11	30344	1757			
2020-05-12	30380	1758			
2020-05-13	30413	1761			
2020-05-14	30463	1763			
2020-05-15	30514	1767			
2020-05-16	30572	1768			
2020-05-17	30587	1772			
2020-05-18	30597	1778			
2020-05-19	30618	1781			
2020-05-20	30658	1781			
2020-05-21	30694	1786			
2020-05-22	30707	1788			
2020-05-23	30725	1789			
2020-05-24	30736	1790			
2020-05-25	30746	1793			
2020-05-26	30761	1795			
2020-05-27	30776	1796			
2020-05-28	30796	1796			
2020-05-29	30828	1796			
2020-05-30	30845	1796			
2020-05-31	30862	1796			
2020-06-01	30871	1796			
2020-06-02	30874	1796			
2020-06-03	30893	1796			
2020-06-04	30913	1796			
2020-06-05	30936	1796			
2020-06-06	30956	1796			
2020-06-07	30965	1798			
2020-06-08	30972	1799			
2020-06-09	30988	1799			
2020-06-10	31011	1800			
2020-06-11	31044	1800			
2020-06-12	31063	1802			
2020-06-13	31094	1802			
2020-06-14	31117	1802			
2020-06-15	31131	1802			
2020-06-16	31154	1803			
2020-06-17	31187	1805			
2020-06-18	31200	1805			
2020-06-19	31235	1805			
2020-06-20	31243	1805			
2020-06-21	31292	1806			
2020-06-22	31310	1808			
2020-06-23	31332	1808			
2020-06-24	31376	1808			
2020-06-25	31428	1808			
2020-06-26	31486	1808			
2020-06-27	31555	1808			
2020-06-28	31617	1808			
2020-06-29	31652	1809			
2020-06-30	31714	1809			
2020-07-01	31851	1810			
2020-07-02	31967	1810			
2020-07-03	32101	1810			
2020-07-04	32198	1810			
2020-07-05	32268	1810			
2020-07-06	32315	1811			
2020-07-07	32369	1811			
2020-07-08	32498	1813			
2020-07-09	32586	1813			
2020-07-10	32690	1813			
2020-07-11	32817	1813			
2020-07-12	32883	1813			
2020-07-13	32946	1813			
2020-07-14	33016	1813			
2020-07-15	33148	1814			
2020-07-16	33290	1815			
2020-07-17	33382	1815			
2020-07-18	33492	1815			
2020-07-19	33591	1815			
2020-07-20	33634	1818			
2020-07-21	33742	1819			
2020-07-22	33883	1819			
2020-07-23	34000	1821			
2020-07-24	34154	1822			
2020-07-25	34302	1822			
2020-07-26	34412	1823			
2020-07-27	34477	1824			
2020-07-28	34609	1825			
2020-07-29	34802	1825			
2020-07-30	35022	1825			
2020-07-31	35232	1827			
2020-08-01	35412	1828			
2020-08-02	35550	1828			
2020-08-03	35616	1828			
2020-08-04	35746	1829			
2020-08-05	35927	1830			
2020-08-06	36108	1831			
2020-08-07	36269	1832			
2020-08-08	36451	1833			
2020-08-09	36603	1833			
2020-08-10	36708	1834			
2020-08-11	36895	1835			
2020-08-12	37169	1835			
2020-08-13	37403	1836			
2020-08-14	37671	1836			
2020-08-15	37924	1838			
2020-08-16	38124	1838			
2020-08-17	38252	1840			
2020-08-18	38449	1840			
2020-08-19	38760	1840			
2020-08-20	39026	1840			
2020-08-21	39332	1841			
2020-08-22	39627	1842			
2020-08-23	39903	1843			
