# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	3	0			
2020-03-19	6	0			
2020-03-20	6	0			
2020-03-21	6	0			
2020-03-22	12	0			
2020-03-23	12	0			
2020-03-24	12	0			
2020-03-25	12	0			
2020-03-26	13	0			
2020-03-27	13	0			
2020-03-28	14	0			
2020-03-29	14	0			
2020-03-30	19	0			
2020-03-31	19	1			
2020-04-01	20	1			
2020-04-02	20	1			
2020-04-03	20	1			
2020-04-04	20	1			
2020-04-05	22	1			
2020-04-06	24	1			
2020-04-07	24	1			
2020-04-08	25	1			
2020-04-09	25	1			
2020-04-10	32	3			
2020-04-11	32	3			
2020-04-12	32	3			
2020-04-13	49	3			
2020-04-14	53	3			
2020-04-15	88	4			
2020-04-16	94	4			
2020-04-17	147	5			
2020-04-18	147	5			
2020-04-19	170	7			
2020-04-20	254	10			
2020-04-21	254	10			
2020-04-22	284	10			
2020-04-23	284	10			
2020-04-24	299	10			
2020-04-25	299	10			
2020-04-26	299	10			
2020-04-27	299	10			
2020-04-28	299	10			
2020-04-29	480	16			
2020-04-30	480	16			
2020-05-01	480	16			
2020-05-02	480	16			
2020-05-03	480	16			
2020-05-04	480	16			
2020-05-05	480	16			
2020-05-06	480	16			
2020-05-07	480	16			
2020-05-08	509	21			
2020-05-09	509	21			
2020-05-10	509	21			
2020-05-11	509	21			
2020-05-12	509	21			
2020-05-13	509	21			
2020-05-14	509	21			
2020-05-15	509	21			
2020-05-16	509	21			
2020-05-17	509	21			
2020-05-18	509	21			
2020-05-19	509	21			
2020-05-20	509	21			
2020-05-21	509	21			
2020-05-22	509	21			
2020-05-23	509	21			
2020-05-24	509	21			
2020-05-25	509	21			
2020-05-26	509	21			
2020-05-27	509	21			
2020-05-28	509	21			
2020-05-29	509	21			
2020-05-30	509	21			
2020-05-31	509	21			
2020-06-01	509	21			
2020-06-02	509	21			
2020-06-03	509	21			
2020-06-04	509	21			
2020-06-05	509	21			
2020-06-06	509	21			
2020-06-07	509	21			
2020-06-08	509	21			
2020-06-09	509	21			
2020-06-10	509	21			
2020-06-11	509	21			
