# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	3	1			
2020-03-14	3	1			
2020-03-15	3	1			
2020-03-16	7	1			
2020-03-17	14	2			
2020-03-18	14	2			
2020-03-19	16	2			
2020-03-20	29	3			
2020-03-21	47	3			
2020-03-22	73	3			
2020-03-23	73	3			
2020-03-24	97	3			
2020-03-25	145	5			
2020-03-26	196	5			
2020-03-27	310	5			
2020-03-28	356	9			
2020-03-29	475	10			
2020-03-30	548	13			
2020-03-31	645	17			
2020-04-01	794	20			
2020-04-02	897	22			
2020-04-03	1072	27			
2020-04-04	1225	32			
2020-04-05	1308	37			
2020-04-06	1319	38			
2020-04-07	1462	45			
2020-04-08	1668	52			
2020-04-09	1892	57			
2020-04-10	2203	69			
2020-04-11	2511	73			
2020-04-12	2777	83			
2020-04-13	3102	93			
2020-04-14	3372	98			
2020-04-15	3764	108			
2020-04-16	4161	116			
2020-04-17	4662	125			
2020-04-18	5106	133			
2020-04-19	5449	141			
2020-04-20	5710	151			
2020-04-21	6125	161			
2020-04-22	6592	174			
2020-04-23	7170	187			
2020-04-24	7647	201			
2020-04-25	8125	201			
2020-04-26	8617	209			
2020-04-27	9009	220			
2020-04-28	9410	239			
2020-04-29	9866	250			
2020-04-30	10406	261			
2020-05-01	10861	272			
2020-05-02	11411	279			
2020-05-03	11913	288			
2020-05-04	12331	303			
2020-05-05	12697	316			
2020-05-06	13184	327			
2020-05-07	13691	340			
2020-05-08	14195	361			
2020-05-09	14710	376			
2020-05-10	15232	391			
2020-05-11	15648	408			
2020-05-12	16023	425			
2020-05-13	16425	439			
2020-05-14	16847	456			
2020-05-15	17330	476			
2020-05-16	17858	497			
2020-05-17	18291	514			
2020-05-18	18616	535			
2020-05-19	18876	548			
2020-05-20	19230	564			
2020-05-21	19706	579			
2020-05-22	20148	588			
2020-05-23	20580	605			
2020-05-24	20986	617			
2020-05-25	21245	623			
2020-05-26	21584	644			
2020-05-27	21905	658			
2020-05-28	22382	669			
2020-05-29	22811	679			
2020-05-30	23204	696			
2020-05-31	23672	708			
2020-06-01	24562	724			
2020-06-02	24895	733			
2020-06-03	25385	742			
2020-06-04	25981	755			
2020-06-05	26542	770			
2020-06-06	27101	785			
2020-06-07	27599	796			
2020-06-08	28077	805			
2020-06-09	28479	818			
2020-06-10	29015	841			
2020-06-11	29706	864			
2020-06-12	30415	880			
2020-06-13	31177	890			
2020-06-14	31851	899			
2020-06-15	32536	911			
2020-06-16	33209	922			
2020-06-17	33986	953			
2020-06-18	34833	976			
2020-06-19	35755	995			
2020-06-20	36615	1004			
2020-06-21	37361	1012			
2020-06-22	38056	1022			
2020-06-23	38901	1045			
2020-06-24	39852	1061			
2020-06-25	40854	1078			
2020-06-26	41975	1097			
2020-06-27	42932	1121			
2020-06-28	43856	1142			
2020-06-29	44538	1161			
2020-06-30	45254	1173			
2020-07-01	45924	1188			
2020-07-02	46821	1200			
2020-07-03	47705	1227			
2020-07-04	48628	1243			
2020-07-05	49468	1265			
2020-07-06	50053	1278			
2020-07-07	50622	1299			
2020-07-08	51457	1323			
2020-07-09	52285	1344			
2020-07-10	53116	1362			
2020-07-11	53941	1389			
2020-07-12	54647	1400			
2020-07-13	55285	1415			
2020-07-14	55931	1429			
2020-07-15	56779	1444			
2020-07-16	57640	1462			
2020-07-17	58466	1473			
2020-07-18	59333	1496			
2020-07-19	60077	1504			
2020-07-20	60767	1517			
2020-07-21	61454	1537			
2020-07-22	62295	1553			
2020-07-23	63169	1570			
2020-07-24	64173	1591			
2020-07-25	65317	1610			
2020-07-26	66261	1625			
2020-07-27	67096	1636			
2020-07-28	68030	1650			
2020-07-29	69078	1673			
2020-07-30	70300	1697			
2020-07-31	71404	1717			
2020-08-01	72609	1733			
2020-08-02	73761	1749			
2020-08-03	74781	1762			
2020-08-04	75880	1788			
2020-08-05	77169	1813			
2020-08-06	78515	1846			
2020-08-07	80018	1879			
2020-08-08	81534	1906			
2020-08-09	82767	1925			
2020-08-10	83812	1950			
2020-08-11	85023	1979			
2020-08-12	86504	1999			
2020-08-13	88136	2023			
2020-08-14	89917	2042			
2020-08-15	91795	2076			
2020-08-16	93490	2100			
2020-08-17	95007	2122			
2020-08-18	96653	2152			
2020-08-19	98658	2182			
2020-08-20	100810	2225			
2020-08-21	102948	2248			
2020-08-22	105337	2286			
2020-08-23	107379	2313			
2020-08-24	109234	2335			
2020-08-25	110949	2362			
2020-08-26	112653	2399			
2020-08-27	114663	2449			
2020-08-28	117172	2499			
2020-08-29	119751	2540			
2020-08-30	121930	2575			
2020-08-31	124132	2605			
2020-09-01	126279	2654			
2020-09-02	128833	2705			
2020-09-03	131300	2759			
2020-09-04	134069	2812			
2020-09-05	136966	2863			
2020-09-06	139171	2898			
2020-09-07	141424	2930			
2020-09-08	143914	2988			
2020-09-09	146511	3034			
2020-09-10	149146	3079			
2020-09-11	152373	3132			
2020-09-12	155558	3206			
2020-09-13	158122	3239			
2020-09-14	160679	3273			
2020-09-15	163678	3326			
2020-09-16	166694	3404			
2020-09-17	170373	3465			
2020-09-18	173703	3535			
2020-09-19	177048	3585			
2020-09-20	180119	3626			
2020-09-21	182900	3652			
2020-09-22	185890	3716			
2020-09-23	189488	3784			
2020-09-24	192966	3838			
2020-09-25	196631	3910			
2020-09-26	200566	3988			
2020-09-27	203799	4044			
2020-09-28	206579	4082			
2020-09-29	210309	4154			
2020-09-30	214446	4221			
2020-10-01	218625	4288			
2020-10-02	223376	4357			
2020-10-03	228161	4451			
2020-10-04	232424	4495			
2020-10-05	236329	4530			
2020-10-06	240811	4624			
2020-10-07	245698	4707			
2020-10-08	251243	4807			
2020-10-09	257204	4899			
2020-10-10	263105	5010			
2020-10-11	268065	5098			
2020-10-12	272671	5143			
2020-10-13	277982	5254			
2020-10-14	283762	5365			
2020-10-15	289022	5443			
2020-10-16	295227	5551			
2020-10-17	301856	5669			
2020-10-18	307301	5762			
2020-10-19	312287	5834			
2020-10-20	317967	5948			
2020-10-21	324942	6093			
2020-10-22	332262	6213			
2020-10-23	340042	6336			
2020-10-24	347317	6463			
2020-10-25	353723	6566			
2020-10-26	359348	6641			
2020-10-27	366233	6770			
2020-10-28	374023	6938			
2020-10-29	381664	7058			
2020-10-30	390272	7235			
2020-10-31	399330	7399			
2020-11-01	407573	7515			
2020-11-02	414567	7584			
2020-11-03	423683	7749			
2020-11-04	433492	7952			
2020-11-05	443630	8148			
2020-11-06	453565	8358			
2020-11-07	464598	8553			
2020-11-08	474245	8695			
2020-11-09	483153	8812			
2020-11-10	493544	9018			
2020-11-11	504423	9214			
2020-11-12	515755	9422			
2020-11-13	527808	9604			
2020-11-14	540593	9806			
2020-11-15	551533	9904			
2020-11-16	561581	10002			
2020-11-17	573758	10168			
2020-11-18	586522	10431			
2020-11-19	600152	10694			
2020-11-20	614986	10929			
2020-11-21	629850	11149			
2020-11-22	642215	11292			
2020-11-23	653442	11423			
2020-11-24	665968	11619			
2020-11-25	680132	11857			
2020-11-26	695755	12091			
2020-11-27	712249	12292			
2020-11-28	728834	12485			
2020-11-29	742105	12613			
2020-11-30	752343	12731			
2020-12-01	765117	12962			
2020-12-02	778560	13140			
2020-12-03	793372	13394			
2020-12-04	808828	13641			
2020-12-05	822985	13877			
2020-12-06	834913	14054			
2020-12-07	843898	14208			
2020-12-08	855054	14413			
2020-12-09	867991	14702			
2020-12-10	881727	14981			
2020-12-11	895620	15278			
2020-12-12	908839	15528			
2020-12-13	918444	15691			
2020-12-14	925321	15792			
2020-12-15	934161	16038			
2020-12-16	945218	16314			
2020-12-17	957692	16579			
2020-12-18	970758	16848			
2020-12-19	982937	17072			
2020-12-20	991700	17201			
2020-12-21	998678	17293			
2020-12-22	1007627	17535			
2020-12-23	1018199	17823			
2020-12-24	1030125	18057			
2020-12-25	1041583	18255			
2020-12-26	1049717	18389			
2020-12-27	1056265	18472			
2020-12-28	1061074	18555			
2020-12-29	1068476	18801			
2020-12-30	1076880	19058			
2020-12-31	1086997	19281			
2021-01-01	1096855	19437			
2021-01-02	1102256	19498			
2021-01-03	1107137	19630			
2021-01-04	1111631	19712			
2021-01-05	1117256	19929			
2021-01-06	1124482	20171			
2021-01-07	1133802	20334			
2021-01-08	1139800	20432			
2021-01-09	1144943	20526			
2021-01-10	1150265	20641			
2021-01-11	1154850	20719			
2021-01-12	1160243	20915			
2021-01-13	1166958	21121			
2021-01-14	1175343	21300			
2021-01-15	1183963	21479			
2021-01-16	1192114	21637			
2021-01-17	1198512	21767			
2021-01-18	1201894	21847			
2021-01-19	1206125	22037			
2021-01-20	1210854	22264			
2021-01-21	1216780	22521			
2021-01-22	1222459	22698			
2021-01-23	1227723	22830			
2021-01-24	1231965	22926			
2021-01-25	1234772	23001			
2021-01-26	1237810	23148			
2021-01-27	1241863	23307			
