# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-31	2	0			
2020-02-01	2	0			
2020-02-02	2	0			
2020-02-03	8	0			
2020-02-04	8	0			
2020-02-05	9	0			
2020-02-06	9	0			
2020-02-07	9	0			
2020-02-08	13	0			
2020-02-09	14	0			
2020-02-10	14	0			
2020-02-11	15	0			
2020-02-12	16	0			
2020-02-13	17	0			
2020-02-14	18	0			
2020-02-15	18	0			
2020-02-16	18	0			
2020-02-17	19	0			
2020-02-18	19	0			
2020-02-19	20	0			
2020-02-20	22	0			
2020-02-21	23	0			
2020-02-22	23	0			
2020-02-23	28	0			
2020-02-24	30	0			
2020-02-25	34	0			
2020-02-26	37	0			
2020-02-27	44	0			
2020-02-28	56	0			
2020-02-29	61	0			
2020-03-01	94	0			
2020-03-02	134	0			
2020-03-03	189	0			
2020-03-04	245	0			
2020-03-05	294	0			
2020-03-06	373	1			
2020-03-07	428	2			
2020-03-08	482	2			
2020-03-09	629	3			
2020-03-10	888	7			
2020-03-11	1300	7			
2020-03-12	1789	9			
2020-03-13	2268	10			
2020-03-14	2632	29			
2020-03-15	3075	43			
2020-03-16	3690	65			
2020-03-17	4458	82			
2020-03-18	5457	116			
2020-03-19	6517	162			
2020-03-20	7774	194			
2020-03-21	8989	252			
2020-03-22	10365	288			
2020-03-23	12704	364			
2020-03-24	15075	512			
2020-03-25	17778	703			
2020-03-26	20882	885			
2020-03-27	24105	1173			
2020-03-28	26936	1465			
2020-03-29	29804	1678			
2020-03-30	34110	2052			
2020-03-31	38625	2456			
2020-04-01	43570	3128			
2020-04-02	48456	3785			
2020-04-03	53410	4522			
2020-04-04	57460	5279			
2020-04-05	61101	5879			
2020-04-06	66390	6447			
2020-04-07	71852	7552			
2020-04-08	76997	8583			
2020-04-09	81859	9699			
2020-04-10	86211	10822			
2020-04-11	89797	11665			
2020-04-12	93316	12322			
2020-04-13	97504	13046			
2020-04-14	101833	14126			
2020-04-15	106905	15008			
2020-04-16	112213	16048			
2020-04-17	117191	16962			
2020-04-18	121921	18068			
2020-04-19	125777	18500			
2020-04-20	130635	19073			
2020-04-21	135403	20297			
2020-04-22	140895	21148			
2020-04-23	146061	21831			
2020-04-24	151036	22846			
2020-04-25	154786	23662			
2020-04-26	158254	24026			
2020-04-27	162956	24346			
2020-04-28	167682	25316			
2020-04-29	173124	26087			
2020-04-30	178080	26723			
2020-05-01	182808	27422			
2020-05-02	186034	28006			
2020-05-03	189009	28259			
2020-05-04	192387	28531			
2020-05-05	196072	29256			
2020-05-06	199903	29903			
2020-05-07	203670	30361			
2020-05-08	206719	30941			
2020-05-09	208869	31216			
2020-05-10	211190	31433			
2020-05-11	214774	31620			
2020-05-12	218164	32235			
2020-05-13	221463	32683			
2020-05-14	224073	33035			
2020-05-15	226590	33385			
2020-05-16	228660	33796			
2020-05-17	230486	33863			
2020-05-18	233061	34009			
2020-05-19	236102	34510			
2020-05-20	238811	34839			
2020-05-21	241353	35112			
2020-05-22	243383	35403			
2020-05-23	244890	35623			
2020-05-24	246238	36002			
2020-05-25	247846	36106			
2020-05-26	249496	36237			
2020-05-27	251299	36659			
2020-05-28	253033	37002			
2020-05-29	254537	37276			
2020-05-30	255636	37430			
2020-05-31	256705	37490			
2020-06-01	258139	37576			
2020-06-02	259606	37826			
2020-06-03	260949	38080			
2020-06-04	262183	38210			
2020-06-05	263288	38468			
2020-06-06	264081	38611			
2020-06-07	264798	38665			
2020-06-08	265885	38712			
2020-06-09	267039	38909			
2020-06-10	268221	39073			
2020-06-11	269222	39149			
2020-06-12	270275	39280			
2020-06-13	271162	39387			
2020-06-14	271969	39414			
2020-06-15	272998	39443			
2020-06-16	274075	39563			
2020-06-17	275074	39673			
2020-06-18	276094	39740			
2020-06-19	277074	39824			
2020-06-20	277740	39895			
2020-06-21	278362	39926			
2020-06-22	279254	39939			
2020-06-23	280136	40033			
2020-06-24	280911	40120			
2020-06-25	281608	40219			
2020-06-26	282246	40296			
2020-06-27	282879	40336			
2020-06-28	283274	40367			
2020-06-29	283878	40388			
2020-06-30	284281	40441			
2020-07-01	284341	40538			
2020-07-02	284345	40579			
2020-07-03	284847	40628			
2020-07-04	285471	40660			
2020-07-05	285987	40679			
2020-07-06	286345	40690			
2020-07-07	286926	40744			
2020-07-08	287556	40801			
2020-07-09	288198	40832			
2020-07-10	288710	40866			
2020-07-11	289530	40883			
2020-07-12	290180	40892			
2020-07-13	290714	40902			
2020-07-14	291954	40946			
2020-07-15	292492	40972			
2020-07-16	293135	40996			
2020-07-17	293822	41022			
2020-07-18	294649	41031			
2020-07-19	295375	41042			
2020-07-20	295955	41052			
2020-07-21	296400	41077			
2020-07-22	296960	41094			
2020-07-23	297729	41103			
2020-07-24	298498	41135			
2020-07-25	299265	41150			
2020-07-26	300010	41158			
2020-07-27	300695	41161			
2020-07-28	301245	41182			
2020-07-29	302042	41216			
2020-07-30	302888	41216			
2020-07-31	303768	41236			
2020-08-01	304529	41249			
2020-08-02	305272	41254			
2020-08-03	306214	41255			
2020-08-04	306888	41273			
2020-08-05	307780	41287			
2020-08-06	308731	41305			
2020-08-07	309602	41317			
2020-08-08	310360	41320			
2020-08-09	311422	41325			
2020-08-10	312240	41343			
2020-08-11	313388	41356			
2020-08-12	314401	41376			
2020-08-13	315530	41394			
2020-08-14	316974	41405			
2020-08-15	317986	41408			
2020-08-16	319091	41413			
2020-08-17	319806	41416			
2020-08-18	320895	41428			
2020-08-19	321711	41445			
2020-08-20	322893	41451			
2020-08-21	323927	41453			
2020-08-22	325215	41471			
2020-08-23	326256	41477			
2020-08-24	327230	41481			
2020-08-25	328418	41497			
2020-08-26	329469	41513			
2020-08-27	330991	41525			
2020-08-28	332269	41534			
2020-08-29	333377	41546			
2020-08-30	335092	41547			
2020-08-31	336498	41549			
2020-09-01	337798	41552			
2020-09-02	339307	41562			
2020-09-03	341042	41575			
2020-09-04	342982	41585			
2020-09-05	344795	41597			
2020-09-06	347778	41599			
2020-09-07	350728	41602			
2020-09-08	353189	41634			
2020-09-09	355850	41642			
2020-09-10	358769	41656			
2020-09-11	362310	41662			
2020-09-12	365807	41671			
2020-09-13	369137	41676			
2020-09-14	371758	41685			
2020-09-15	374867	41712			
2020-09-16	378858	41732			
2020-09-17	382258	41753			
2020-09-18	386580	41780			
2020-09-19	391002	41807			
2020-09-20	394901	41825			
2020-09-21	399277	41836			
2020-09-22	404203	41873			
2020-09-23	410383	41910			
2020-09-24	417018	41950			
2020-09-25	423892	41984			
2020-09-26	429933	42019			
2020-09-27	435625	42036			
2020-09-28	439677	42049			
2020-09-29	446820	42120			
2020-09-30	453929	42191			
2020-10-01	460843	42250			
2020-10-02	467823	42316			
2020-10-03	480695	42365			
2020-10-04	503656	42398			
2020-10-05	516257	42417			
2020-10-06	530808	42493			
2020-10-07	544973	42563			
2020-10-08	562514	42640			
2020-10-09	576378	42727			
2020-10-10	591543	42808			
2020-10-11	604415	42873			
2020-10-12	618425	42923			
2020-10-13	635661	43066			
2020-10-14	655389	43203			
2020-10-15	674370	43341			
2020-10-16	690005	43477			
2020-10-17	706176	43627			
2020-10-18	723157	43694			
2020-10-19	741979	43774			
2020-10-20	763310	44015			
2020-10-21	790004	44206			
2020-10-22	811251	44395			
2020-10-23	831793	44619			
2020-10-24	854805	44793			
2020-10-25	874595	44944			
2020-10-26	895486	45046			
2020-10-27	918397	45413			
2020-10-28	943108	45723			
2020-10-29	966176	46003			
2020-10-30	990586	46277			
2020-10-31	1012501	46603			
2020-11-01	1035755	46765			
2020-11-02	1054709	46901			
2020-11-03	1074761	47298			
2020-11-04	1099952	47790			
2020-11-05	1124102	48168			
2020-11-06	1147405	48523			
2020-11-07	1172362	48936			
2020-11-08	1192934	49092			
2020-11-09	1214314	49286			
2020-11-10	1234747	49818			
2020-11-11	1257711	50413			
2020-11-12	1291198	50976			
2020-11-13	1318499	51352			
2020-11-14	1345359	51814			
2020-11-15	1370321	51982			
2020-11-16	1391727	52195			
2020-11-17	1411778	52793			
2020-11-18	1431409	53322			
2020-11-19	1454335	53823			
2020-11-20	1474588	54334			
2020-11-21	1494477	54674			
2020-11-22	1513139	55072			
2020-11-23	1528589	55278			
2020-11-24	1539918	55886			
2020-11-25	1558154	56581			
2020-11-26	1575709	57079			
2020-11-27	1590519	57599			
2020-11-28	1606390	58078			
2020-11-29	1618545	58293			
2020-11-30	1630956	58496			
2020-12-01	1644427	59099			
2020-12-02	1660653	59747			
2020-12-03	1675592	60161			
2020-12-04	1691958	60665			
2020-12-05	1707520	61062			
2020-12-06	1724887	61293			
2020-12-07	1739636	61482			
2020-12-08	1751989	62081			
2020-12-09	1768605	62614			
2020-12-10	1789627	63130			
2020-12-11	1811381	63554			
2020-12-12	1832933	64074			
2020-12-13	1851471	64218			
2020-12-14	1871798	64450			
2020-12-15	1890308	64956			
2020-12-16	1915569	65568			
2020-12-17	1951049	66100			
2020-12-18	1979556	66590			
2020-12-19	2006745	67127			
2020-12-20	2042776	67453			
2020-12-21	2076249	67668			
2020-12-22	2113090	68359			
2020-12-23	2152408	69107			
2020-12-24	2191467	69682			
2020-12-25	2224192	70252			
2020-12-26	2258885	70462			
2020-12-27	2291305	70809			
2020-12-28	2332719	71166			
2020-12-29	2385869	71624			
2020-12-30	2435912	72606			
2020-12-31	2491838	73570			
2021-01-01	2545124	74185			
2021-01-02	2602848	74630			
2021-01-03	2657900	75084			
2021-01-04	2716705	75494			
2021-01-05	2777643	76372			
2021-01-06	2839995	77413			
2021-01-07	2892629	78575			
2021-01-08	2960695	79906			
2021-01-09	3020669	80941			
2021-01-10	3075626	81504			
2021-01-11	3121817	82033			
2021-01-12	3167361	83278			
2021-01-13	3214900	84843			
2021-01-14	3263595	86091			
2021-01-15	3319372	87371			
2021-01-16	3360717	88666			
2021-01-17	3399322	89339			
2021-01-18	3436864	89938			
2021-01-19	3470235	91548			
2021-01-20	3509152	93368			
2021-01-21	3547053	94658			
2021-01-22	3587321	96059			
2021-01-23	3620889	97408			
2021-01-24	3650926	98018			
2021-01-25	3673144	98610			
2021-01-26	3693245	100241			
2021-01-27	3718579	101966			
2021-01-28	3747288	103205			
2021-01-29	3776367	104450			
2021-01-30	3799727	105653			
2021-01-31	3820867	106240			
2021-02-01	3839520	106646			
2021-02-02	3856399	108096			
2021-02-03	3875601	109418			
2021-02-04	3896275	110333			
2021-02-05	3915435	111347			
2021-02-06	3933720	112175			
2021-02-07	3949576	112548			
2021-02-08	3963702	112881			
2021-02-09	3976087	113933			
2021-02-10	3989111	114934			
2021-02-11	4002616	115612			
2021-02-12	4017779	116370			
2021-02-13	4031095	116991			
2021-02-14	4042077	117249			
2021-02-15	4051847	117481			
2021-02-16	4062477	118280			
2021-02-17	4075198	119018			
2021-02-18	4087258	119472			
2021-02-19	4099292	120005			
2021-02-20	4109700	120450			
2021-02-21	4119535	120665			
2021-02-22	4130180	120842			
2021-02-23	4138669	121390			
2021-02-24	4148608	121833			
2021-02-25	4158594	122156			
2021-02-26	4167118	122501			
2021-02-27	4174553	122791			
2021-02-28	4180592	122935			
2021-03-01	4186047	123039			
2021-03-02	4192439	123382			
2021-03-03	4198825	123869			
2021-03-04	4205399	124111			
2021-03-05	4211345	124347			
2021-03-06	4217384	124505			
2021-03-07	4222561	124587			
2021-03-08	4227274	124652			
2021-03-09	4233041	124883			
2021-03-10	4238967	125073			
2021-03-11	4245720	125254			
2021-03-12	4252329	125429			
2021-03-13	4257863	125550			
2021-03-14	4262481	125602			
2021-03-15	4267571	125666			
2021-03-16	4272866	125776			
2021-03-17	4278624	125917			
2021-03-18	4284927	126012			
2021-03-19	4289729	126112			
2021-03-20	4295316	126208			
2021-03-21	4300628	126241			
2021-03-22	4305970	126258			
2021-03-23	4311350	126370			
2021-03-24	4316954	126468			
2021-03-25	4323174	126531			
2021-03-26	4329361	126601			
2021-03-27	4333226	126659			
2021-03-28	4337088	126678			
2021-03-29	4341742	126701			
2021-03-30	4345785	126756			
2021-03-31	4349837	126799			
2021-04-01	4354316	126850			
2021-04-02	4357718	126902			
2021-04-03	4361141	126912			
2021-04-04	4363438	126922			
2021-04-05	4366200	126948			
2021-04-06	4368580	126968			
2021-04-07	4371342	127013			
2021-04-08	4374372	127066			
2021-04-09	4369512	127126			
2021-04-10	4372096	127166			
2021-04-11	4373826	127173			
2021-04-12	4377394	127186			
2021-04-13	4379867	127209			
2021-04-14	4382358	127247			
2021-04-15	4385029	127277			
2021-04-16	4387785	127311			
2021-04-17	4389991	127346			
2021-04-18	4391873	127356			
2021-04-19	4394836	127360			
2021-04-20	4397360	127393			
2021-04-21	4399758	127413			
2021-04-22	4402486	127431			
2021-04-23	4405220	127471			
2021-04-24	4407281	127503			
2021-04-25	4408993	127514			
2021-04-26	4411057	127520			
2021-04-27	4413742	127537			
2021-04-28	4415852	127566			
2021-04-29	4418297	127588			
2021-04-30	4420678	127603			
2021-05-01	4422585	127610			
2021-05-02	4424256	127624			
2021-05-03	4425905	127625			
2021-05-04	4427852	127629			
2021-05-05	4429996	127656			
2021-05-06	4432609	127669			
2021-05-07	4435099	127684			
2021-05-08	4437146	127689			
2021-05-09	4438916	127691			
2021-05-10	4441274	127695			
2021-05-11	4443748	127715			
2021-05-12	4446032	127726			
2021-05-13	4448688	127737			
2021-05-14	4450881	127754			
2021-05-15	4452908	127761			
2021-05-16	4454834	127765			
2021-05-17	4456815	127770			
2021-05-18	4454451	127777			
2021-05-19	4456586	127780			
2021-05-20	4459280	127787			
2021-05-21	4461982	127796			
2021-05-22	4464505	127802			
2021-05-23	4466597	127807			
2021-05-24	4468965	127810			
2021-05-25	4471375	127825			
2021-05-26	4474362	127834			
2021-05-27	4477742	127844			
2021-05-28	4481770	127854			
2021-05-29	4485010	127861			
2021-05-30	4488121	127867			
2021-05-31	4491405	127868			
2021-06-01	4494504	127868			
2021-06-02	4498765	127880			
2021-06-03	4503944	127898			
2021-06-04	4510084	127909			
2021-06-05	4515735	127922			
2021-06-06	4520958	127926			
2021-06-07	4526552	127927			
2021-06-08	4532518	127940			
2021-06-09	4539837	127946			
2021-06-10	4547074	127953			
2021-06-11	4555032	127970			
2021-06-12	4562582	127982			
2021-06-13	4569912	127990			
2021-06-14	4577531	127993			
2021-06-15	4585118	128003			
2021-06-16	4593926	128012			
2021-06-17	4604747	128031			
2021-06-18	4615019	128042			
2021-06-19	4625094	128056			
2021-06-20	4634168	128062			
2021-06-21	4644635	128067			
2021-06-22	4656138	128094			
2021-06-23	4672020	128113			
2021-06-24	4688722	128134			
2021-06-25	4704086	128152			
2021-06-26	4722030	128175			
2021-06-27	4736654	128186			
2021-06-28	4759371	128189			
2021-06-29	4779623	128212			
2021-06-30	4805290	128226			
2021-07-01	4832911	128248			
2021-07-02	4859684	128275			
2021-07-03	4884131	128293			
2021-07-04	4907955	128308			
2021-07-05	4935055	128317			
2021-07-06	4963666	128354			
2021-07-07	4995714	128387			
2021-07-08	5027794	128422			
2021-07-09	5063298	128451			
2021-07-10	5095098	128485			
2021-07-11	5126450	128511			
2021-07-12	5160905	128517			
2021-07-13	5197348	128567			
2021-07-14	5239308	128616			
2021-07-15	5287481	128679			
2021-07-16	5338966	128728			
2021-07-17	5392946	128769			
2021-07-18	5440545	128794			
2021-07-19	5480939	128813			
2021-07-20	5527368	128909			
2021-07-21	5570991	128982			
2021-07-22	5610561	129066			
2021-07-23	5646402	129130			
2021-07-24	5677693	129216			
2021-07-25	5706349	129244			
2021-07-26	5731090	129258			
2021-07-27	5754452	129389			
2021-07-28	5779964	129516			
2021-07-29	5810688	129601			
2021-07-30	5839982	129669			
2021-07-31	5865742	129741			
2021-08-01	5889883	129806			
2021-08-02	5911570	129830			
2021-08-03	5933263	129970			
2021-08-04	5962263	130090			
2021-08-05	5992136	130177			
2021-08-06	6023618	130269			
2021-08-07	6051851	130372			
2021-08-08	6078968	130411			
2021-08-09	6103930	130448			
2021-08-10	6127269	130594			
2021-08-11	6156558	130698			
2021-08-12	6189321	130793			
2021-08-13	6221747	130893			
2021-08-14	6250900	130986			
2021-08-15	6277340	131045			
2021-08-16	6305618	131071			
2021-08-17	6332246	131241			
2021-08-18	6365892	131352			
2021-08-19	6402313	131466			
2021-08-20	6439351	131580			
2021-08-21	6471134	131684			
2021-08-22	6503110	131733			
2021-08-23	6534908	131774			
2021-08-24	6565561	131948			
2021-08-25	6601145	132097			
2021-08-26	6639147	132238			
2021-08-27	6676885	132338			
2021-08-28	6708972	132471			
2021-08-29	6741909	132532			
2021-08-30	6768136	132580			
2021-08-31	6800189	132630			
2021-09-01	6835723	132837			
2021-09-02	6873593	133015			
2021-09-03	6915707	133136			
2021-09-04	6952349	133256			
2021-09-05	6988864	133324			
2021-09-06	7029802	133369			
2021-09-07	7067027	133578			
2021-09-08	7105537	133769			
2021-09-09	7143058	133936			
2021-09-10	7179835	134083			
2021-09-11	7208691	134239			
2021-09-12	7237305	134295			
2021-09-13	7267690	134357			
2021-09-14	7293978	134542			
2021-09-15	7323857	134743			
2021-09-16	7350232	134901			
2021-09-17	7382570	135080			
2021-09-18	7412008	135244			
2021-09-19	7441015	135300			
2021-09-20	7476783	135349			
2021-09-21	7507911	135552			
2021-09-22	7541496	135718			
2021-09-23	7577294	135900			
2021-09-24	7612953	136080			
2021-09-25	7642699	136202			
2021-09-26	7675696	136265			
2021-09-27	7713206	136305			
2021-09-28	7747810	136472			
2021-09-29	7782899	136622			
2021-09-30	7818672	136759			
2021-10-01	7853282	136886			
2021-10-02	7882671	137007			
2021-10-03	7912337	137050			
2021-10-04	7946643	137083			
2021-10-05	7979722	137249			
2021-10-06	8018435	137394			
2021-10-07	8058202	137516			
2021-10-08	8093143	137641			
2021-10-09	8132556	137797			
2021-10-10	8166149	137835			
2021-10-11	8205737	137863			
2021-10-12	8243454	138044			
2021-10-13	8284955	138180			
2021-10-14	8329574	138337			
2021-10-15	8373825	138479			
2021-10-16	8416643	138627			
2021-10-17	8461339	138684			
2021-10-18	8510194	138729			
2021-10-19	8553605	138952			
2021-10-20	8602204	139131			
2021-10-21	8653752	139248			
2021-10-22	8702543	139428			
2021-10-23	8747528	139563			
2021-10-24	8786268	139635			
2021-10-25	8822551	139673			
2021-10-26	8866054	139936			
2021-10-27	8910054	140143			
2021-10-28	8949145	140309			
2021-10-29	8992306	140495			
2021-10-30	9033032	140661			
2021-10-31	9070699	140735			
2021-11-01	9110634	140775			
2021-11-02	9144249	141067			
2021-11-03	9185052	141284			
2021-11-04	9221790	141498			
2021-11-05	9255600	141691			
