# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-22	1	0			
2020-01-23	1	0			
2020-01-24	2	0			
2020-01-25	2	0			
2020-01-26	5	0			
2020-01-27	5	0			
2020-01-28	5	0			
2020-01-29	6	0			
2020-01-30	6	0			
2020-01-31	8	0			
2020-02-01	8	0			
2020-02-02	8	0			
2020-02-03	11	0			
2020-02-04	11	0			
2020-02-05	11	0			
2020-02-06	12	0			
2020-02-07	12	0			
2020-02-08	12	0			
2020-02-09	12	0			
2020-02-10	12	0			
2020-02-11	13	0			
2020-02-12	13	0			
2020-02-13	14	0			
2020-02-14	14	0			
2020-02-15	14	0			
2020-02-16	14	0			
2020-02-17	14	0			
2020-02-18	14	0			
2020-02-19	14	0			
2020-02-20	14	0			
2020-02-21	16	0			
2020-02-22	16	0			
2020-02-23	16	0			
2020-02-24	16	0			
2020-02-25	16	0			
2020-02-26	16	0			
2020-02-27	17	0			
2020-02-28	17	0			
2020-02-29	25	1			
2020-03-01	32	1			
2020-03-02	55	6			
2020-03-03	74	7			
2020-03-04	107	11			
2020-03-05	184	12			
2020-03-06	237	14			
2020-03-07	403	17			
2020-03-08	519	21			
2020-03-09	594	22			
2020-03-10	782	28			
2020-03-11	1147	33			
2020-03-12	1586	43			
2020-03-13	2219	51			
2020-03-14	2978	58			
2020-03-15	3212	70			
2020-03-16	4679	97			
2020-03-17	6512	133			
2020-03-18	9169	192			
2020-03-19	13663	264			
2020-03-20	20030	367			
2020-03-21	26025	466			
2020-03-22	34855	576			
2020-03-23	46086	763			
2020-03-24	56698	1004			
2020-03-25	68773	1330			
2020-03-26	86613	1742			
2020-03-27	105293	2263			
2020-03-28	124900	2898			
2020-03-29	143779	3490			
2020-03-30	165861	4187			
2020-03-31	192177	5278			
2020-04-01	224418	6539			
2020-04-02	256636	8035			
2020-04-03	288906	9442			
2020-04-04	321318	10989			
2020-04-05	351203	12570			
2020-04-06	382613	14326			
2020-04-07	413382	16900			
2020-04-08	444580	19043			
2020-04-09	480534	21249			
2020-04-10	514942	23467			
2020-04-11	544119	25599			
2020-04-12	571400	27419			
2020-04-13	598310	29381			
2020-04-14	627082	31824			
2020-04-15	652513	34422			
2020-04-16	682548	36582			
2020-04-17	715267	38673			
2020-04-18	743223	40646			
2020-04-19	769416	42584			
2020-04-20	799212	44780			
2020-04-21	825046	47318			
2020-04-22	853818	49746			
2020-04-23	887386	52202			
2020-04-24	919658	54362			
2020-04-25	950100	56068			
2020-04-26	976680	57418			
2020-04-27	1000298	58882			
2020-04-28	1024746	61106			
2020-04-29	1051136	63625			
2020-04-30	1080303	66028			
2020-05-01	1115219	67916			
2020-05-02	1142639	69621			
2020-05-03	1167095	70739			
2020-05-04	1191071	72063			
2020-05-05	1215543	74350			
2020-05-06	1240053	76699			
2020-05-07	1267418	78618			
2020-05-08	1294224	80367			
2020-05-09	1319414	81899			
2020-05-10	1338381	82810			
2020-05-11	1357566	83810			
2020-05-12	1380423	85428			
2020-05-13	1400812	87170			
2020-05-14	1427725	88951			
2020-05-15	1452425	90621			
2020-05-16	1476586	91893			
2020-05-17	1495068	92656			
2020-05-18	1517302	93832			
2020-05-19	1538241	95333			
2020-05-20	1560975	96848			
2020-05-21	1586662	98055			
2020-05-22	1610252	99300			
2020-05-23	1631496	100447			
2020-05-24	1651676	101055			
2020-05-25	1670442	101614			
2020-05-26	1689948	102277			
2020-05-27	1708342	103777			
2020-05-28	1730551	104944			
2020-05-29	1755010	106111			
2020-05-30	1778689	107061			
2020-05-31	1797763	107755			
2020-06-01	1815200	108536			
2020-06-02	1836574	109576			
2020-06-03	1856276	110570			
2020-06-04	1877823	111588			
2020-06-05	1903298	112476			
2020-06-06	1924571	113179			
2020-06-07	1942472	113629			
2020-06-08	1959988	114136			
2020-06-09	1978167	115057			
2020-06-10	1999178	115950			
2020-06-11	2022249	116803			
2020-06-12	2046987	117621			
2020-06-13	2072111	118393			
2020-06-14	2091205	118708			
2020-06-15	2110841	119095			
2020-06-16	2134198	119916			
2020-06-17	2160815	120657			
2020-06-18	2188746	121346			
2020-06-19	2219943	122008			
2020-06-20	2252125	122613			
2020-06-21	2277398	122912			
2020-06-22	2308786	123301			
2020-06-23	2344930	124142			
2020-06-24	2379799	124899			
2020-06-25	2419613	125441			
2020-06-26	2465116	126070			
2020-06-27	2506339	126578			
2020-06-28	2546782	126870			
2020-06-29	2587430	127261			
2020-06-30	2633466	127893			
2020-07-01	2684885	128590			
2020-07-02	2741180	129323			
2020-07-03	2792300	129985			
2020-07-04	2838085	130278			
2020-07-05	2889103	130582			
2020-07-06	2932001	130945			
2020-07-07	2992598	132145			
2020-07-08	3052898	133002			
2020-07-09	3115732	134007			
2020-07-10	3183634	134820			
2020-07-11	3244493	135531			
2020-07-12	3303223	135996			
2020-07-13	3361729	136423			
2020-07-14	3429909	137351			
2020-07-15	3498016	138319			
2020-07-16	3573831	139281			
2020-07-17	3645631	140200			
2020-07-18	3708311	141070			
2020-07-19	3769030	141540			
2020-07-20	3831042	142084			
2020-07-21	3895883	143207			
2020-07-22	3966659	144425			
2020-07-23	4035507	145522			
2020-07-24	4108964	146675			
2020-07-25	4173928	147555			
2020-07-26	4229037	148076			
2020-07-27	4285458	149208			
2020-07-28	4351764	150569			
2020-07-29	4423576	151991			
2020-07-30	4491150	153215			
2020-07-31	4559806	154478			
2020-08-01	4616171	155574			
2020-08-02	4662070	155988			
2020-08-03	4707671	156553			
2020-08-04	4766269	157910			
2020-08-05	4820373	159307			
2020-08-06	4880058	160533			
2020-08-07	4938874	161766			
2020-08-08	4993219	162845			
2020-08-09	5039240	163381			
2020-08-10	5087700	163934			
2020-08-11	5134709	164972			
2020-08-12	5191589	166484			
2020-08-13	5243537	167543			
2020-08-14	5309325	168875			
2020-08-15	5356189	169905			
2020-08-16	5395917	170482			
2020-08-17	5432544	170940			
2020-08-18	5477609	172242			
2020-08-19	5525022	173561			
2020-08-20	5568994	174644			
2020-08-21	5617797	175736			
2020-08-22	5661206	176706			
2020-08-23	5695539	177164			
2020-08-24	5732271	177617			
2020-08-25	5772465	178832			
2020-08-26	5817972	180059			
2020-08-27	5863269	181159			
2020-08-28	5910346	182123			
2020-08-29	5953316	183021			
2020-08-30	5987929	183464			
2020-08-31	6023258	184003			
2020-09-01	6064969	185053			
2020-09-02	6106038	186098			
2020-09-03	6149894	187156			
2020-09-04	6200210	188116			
2020-09-05	6243352	188890			
2020-09-06	6274812	189303			
2020-09-07	6298337	189589			
2020-09-08	6325681	190043			
2020-09-09	6359446	191200			
2020-09-10	6395602	192116			
2020-09-11	6443198	193312			
2020-09-12	6484318	194031			
2020-09-13	6518685	194427			
2020-09-14	6552844	194841			
2020-09-15	6592244	196127			
2020-09-16	6630740	197110			
2020-09-17	6675875	197974			
2020-09-18	6725049	198892			
2020-09-19	6767272	199605			
2020-09-20	6805666	199855			
2020-09-21	6857454	200282			
2020-09-22	6897006	201298			
2020-09-23	6935883	202379			
2020-09-24	6982669	203303			
2020-09-25	7030827	204231			
2020-09-26	7075478	204986			
2020-09-27	7113140	205277			
2020-09-28	7146213	205612			
2020-09-29	7189259	206490			
2020-09-30	7228526	207436			
2020-10-01	7274067	208289			
2020-10-02	7328822	209216			
2020-10-03	7377524	209903			
2020-10-04	7413454	210260			
2020-10-05	7452759	210722			
2020-10-06	7497679	211424			
2020-10-07	7548496	212338			
2020-10-08	7606852	213306			
2020-10-09	7663065	214264			
2020-10-10	7718042	214899			
2020-10-11	7764068	215328			
2020-10-12	7805771	215680			
2020-10-13	7857769	216466			
2020-10-14	7917339	217461			
2020-10-15	7982002	218274			
2020-10-16	8050927	219177			
2020-10-17	8107514	219931			
2020-10-18	8156897	220377			
2020-10-19	8224529	220840			
2020-10-20	8286333	221758			
2020-10-21	8349392	222920			
2020-10-22	8425524	223789			
2020-10-23	8507125	224741			
2020-10-24	8589978	225683			
2020-10-25	8652142	226076			
2020-10-26	8719288	226568			
2020-10-27	8795853	227531			
2020-10-28	8874912	228541			
2020-10-29	8965601	229508			
2020-10-30	9064594	230539			
2020-10-31	9154267	231431			
2020-11-01	9259021	231862			
2020-11-02	9343909	232408			
2020-11-03	9470630	233969			
2020-11-04	9574753	235063			
2020-11-05	9703539	236203			
2020-11-06	9831108	237392			
2020-11-07	9958367	238402			
2020-11-08	10073695	238897			
2020-11-09	10193818	239601			
2020-11-10	10333769	240978			
2020-11-11	10479818	242398			
2020-11-12	10643792	243574			
2020-11-13	10823622	244750			
2020-11-14	10991513	246012			
2020-11-15	11127843	246659			
2020-11-16	11289623	247408			
2020-11-17	11452204	249089			
