# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	2	0			
2020-03-15	10	0			
2020-03-16	17	0			
2020-03-17	33	0			
2020-03-18	36	0			
2020-03-19	42	0			
2020-03-20	42	0			
2020-03-21	70	0			
2020-03-22	70	0			
2020-03-23	77	0			
2020-03-24	84	0			
2020-03-25	91	0			
2020-03-26	107	0			
2020-03-27	107	1			
2020-03-28	119	2			
2020-03-29	119	2			
2020-03-30	135	3			
2020-03-31	135	3			
2020-04-01	143	3			
2020-04-02	146	5			
2020-04-03	153	7			
2020-04-04	155	7			
2020-04-05	159	7			
2020-04-06	165	7			
2020-04-07	165	7			
2020-04-08	167	9			
2020-04-09	171	9			
2020-04-10	171	9			
2020-04-11	175	9			
2020-04-12	181	9			
2020-04-13	189	9			
2020-04-14	189	9			
2020-04-15	197	9			
2020-04-16	204	9			
2020-04-17	204	9			
2020-04-18	227	9			
2020-04-19	256	9			
2020-04-20	256	9			
2020-04-21	285	10			
2020-04-22	288	10			
2020-04-23	311	10			
2020-04-24	318	10			
2020-04-25	323	10			
2020-04-26	325	10			
2020-04-27	329	10			
2020-04-28	329	10			
2020-04-29	331	10			
2020-04-30	333	16			
2020-05-01	335	10			
2020-05-02	345	10			
2020-05-03	357	10			
2020-05-04	357	10			
2020-05-05	361	10			
2020-05-06	379	10			
2020-05-07	381	10			
2020-05-08	388	10			
2020-05-09	402	10			
2020-05-10	414	10			
2020-05-11	422	10			
2020-05-12	423	10			
2020-05-13	423	10			
2020-05-14	455	10			
2020-05-15	459	10			
2020-05-16	504	10			
2020-05-17	541	10			
2020-05-18	618	10			
2020-05-19	749	10			
2020-05-20	824	10			
2020-05-21	882	10			
2020-05-22	944	10			
2020-05-23	1010	10			
2020-05-24	1121	10			
2020-05-25	1177	10			
2020-05-26	1211	11			
2020-05-27	1245	11			
2020-05-28	1325	11			
2020-05-29	1370	14			
2020-05-30	1459	14			
2020-05-31	1510	14			
2020-06-01	1662	17			
2020-06-02	1819	18			
2020-06-03	1952	20			
2020-06-04	2087	20			
2020-06-05	2145	20			
2020-06-06	2316	22			
2020-06-07	2377	22			
2020-06-08	2473	22			
2020-06-09	2632	23			
2020-06-10	2738	23			
2020-06-11	2814	23			
2020-06-12	2879	23			
2020-06-13	2904	24			
2020-06-14	2978	25			
2020-06-15	3062	26			
2020-06-16	3150	27			
2020-06-17	3386	28			
2020-06-18	3483	28			
2020-06-19	3591	30			
2020-06-20	3789	33			
2020-06-21	3917	33			
2020-06-22	4048	35			
2020-06-23	4187	35			
2020-06-24	4366	38			
2020-06-25	4563	39			
2020-06-26	4779	41			
2020-06-27	5130	42			
2020-06-28	5297	44			
2020-06-29	5530	48			
2020-06-30	5832	51			
2020-07-01	6062	54			
2020-07-02	6273	57			
2020-07-03	6537	59			
2020-07-04	6750	62			
2020-07-05	7169	65			
2020-07-06	7411	68			
2020-07-07	7693	71			
2020-07-08	8008	75			
2020-07-09	8372	80			
2020-07-10	8803	83			
2020-07-11	9178	85			
2020-07-12	9465	89			
2020-07-13	9707	93			
2020-07-14	10010	96			
2020-07-15	10428	100			
2020-07-16	10854	104			
2020-07-17	11191	107			
2020-07-18	11483	110			
2020-07-19	11891	112			
2020-07-20	12334	116			
2020-07-21	12774	120			
2020-07-22	13164	124			
2020-07-23	13613	129			
2020-07-24	14263	134			
2020-07-25	14929	138			
2020-07-26	15463	142			
2020-07-27	15988	146			
2020-07-28	16571	151			
2020-07-29	17158	156			
2020-07-30	17859	158			
2020-07-31	18574	164			
2020-08-01	19443	169			
2020-08-02	20206	174			
2020-08-03	20754	180			
2020-08-04	21438	187			
2020-08-05	22299	195			
2020-08-06	23280	202			
2020-08-07	24166	208			
2020-08-08	24961	215			
2020-08-09	25805	223			
2020-08-10	26800	229			
2020-08-11	27938	238			
2020-08-12	29088	247			
2020-08-13	30369	259			
2020-08-14	31381	266			
2020-08-15	32607	276			
2020-08-16	33755	281			
2020-08-17	34802	288			
2020-08-18	35697	297			
2020-08-19	36868	303			
2020-08-20	37567	311			
2020-08-21	38219	317			
2020-08-22	38957	323			
2020-08-23	39564	329			
2020-08-24	40338	337			
2020-08-25	41158	343			
2020-08-26	41965	351			
2020-08-27	42898	358			
2020-08-28	43879	366			
2020-08-29	44946	375			
2020-08-30	45868	381			
2020-08-31	46728	386			
2020-09-01	47756	391			
2020-09-02	48883	398			
2020-09-03	49877	402			
2020-09-04	50973	412			
2020-09-05	52165	420			
2020-09-06	53289	428			
2020-09-07	54350	436			
2020-09-08	55563	444			
2020-09-09	56751	452			
2020-09-10	57823	460			
2020-09-11	58663	468			
2020-09-12	59630	477			
2020-09-13	60540	485			
2020-09-14	61569	494			
2020-09-15	62655	502			
2020-09-16	63416	511			
2020-09-17	64284	520			
2020-09-18	65174	530			
2020-09-19	65949	539			
2020-09-20	66656	547			
2020-09-21	67443	555			
2020-09-22	68453	564			
2020-09-23	69439	574			
2020-09-24	70406	581			
2020-09-25	71273	591			
2020-09-26	71940	600			
2020-09-27	72691	606			
2020-09-28	73528	614			
2020-09-29	74363	621			
2020-09-30	75122	628			
2020-10-01	76029	635			
2020-10-02	76820	643			
2020-10-03	77646	649			
2020-10-04	78434	653			
2020-10-05	79117	658			
2020-10-06	79796	665			
2020-10-07	80404	671			
2020-10-08	81019	678			
2020-10-09	81696	684			
2020-10-10	82453	691			
2020-10-11	83137	697			
2020-10-12	83756	704			
2020-10-13	84391	710			
2020-10-14	85005	714			
2020-10-15	85469	720			
2020-10-16	85758	725			
2020-10-17	86289	731			
2020-10-18	86636	736			
2020-10-19	86636	736			
2020-10-20	87644	747			
2020-10-21	88035	753			
2020-10-22	88416	759			
2020-10-23	88718	764			
2020-10-24	89142	770			
2020-10-25	89565	773			
2020-10-26	90047	777			
2020-10-27	90400	780			
2020-10-28	90876	784			
2020-10-29	91280	789			
2020-10-30	91589	793			
2020-10-31	92013	798			
2020-11-01	92325	801			
2020-11-02	92705	806			
2020-11-03	93100	810			
2020-11-04	93480	814			
2020-11-05	93921	819			
2020-11-06	94305	821			
2020-11-07	94698	824			
2020-11-08	94883	826			
2020-11-09	95149	830			
2020-11-10	95445	834			
2020-11-11	95750	838			
2020-11-12	96140	841			
2020-11-13	96441	844			
2020-11-14	96933	848			
2020-11-15	97352	851			
2020-11-16	97739	855			
2020-11-17	98050	858			
2020-11-18	98350	860			
2020-11-19	98665	863			
2020-11-20	99017	866			
2020-11-21	99435	869			
2020-11-22	99835	871			
2020-11-23	100143	873			
2020-11-24	100498	876			
2020-11-25	100817	880			
2020-11-26	101215	884			
2020-11-27	101524	888			
2020-11-28	101760	892			
2020-11-29	102040	894			
2020-11-30	102394	897			
2020-12-01	102621	901			
2020-12-02	103067	905			
2020-12-03	103548	909			
2020-12-04	103877	913			
2020-12-05	104177	916			
2020-12-06	104442	919			
2020-12-07	104904	924			
2020-12-08	105384	928			
2020-12-09	105852	933			
2020-12-10	106280	938			
2020-12-11	106715	944			
2020-12-12	107177	949			
2020-12-13	107786	954			
2020-12-14	108125	960			
2020-12-15	108480	965			
2020-12-16	108717	970			
2020-12-17	109081	975			
2020-12-18	109395	979			
2020-12-19	109781	984			
2020-12-20	110075	988			
2020-12-21	110513	993			
2020-12-22	110828	997			
2020-12-23	111024	1002			
2020-12-24	111245	1006			
2020-12-25	111603	1010			
2020-12-26	111951	1013			
2020-12-27	112316	1014			
2020-12-28	112636	1018			
2020-12-29	112861	1021			
2020-12-30	113121	1025			
2020-12-31	113558	1028			
2021-01-01	113884	1030			
2021-01-02	114083	1032			
2021-01-03	114230	1034			
2021-01-04	114407	1038			
2021-01-05	114662	1042			
2021-01-06	114908	1047			
2021-01-07	115322	1052			
2021-01-08	115667	1056			
2021-01-09	116172	1061			
2021-01-10	116610	1061			
2021-01-11	116983	1073			
2021-01-12	117299	1078			
2021-01-13	117811	1084			
2021-01-14	118415	1090			
2021-01-15	118856	1095			
2021-01-16	119306	1101			
2021-01-17	119803	1106			
2021-01-18	120444	1112			
2021-01-19	121117	1116			
2021-01-20	121691	1122			
2021-01-21	122260	1129			
2021-01-22	122795	1136			
2021-01-23	123245	1142			
2021-01-24	123709	1148			
2021-01-25	124112	1154			
2021-01-26	124525	1159			
2021-01-27	124958	1165			
