# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-23	3	1			
2020-03-24	3	1			
2020-03-25	3	1			
2020-03-26	3	1			
2020-03-27	5	1			
2020-03-28	7	1			
2020-03-29	7	1			
2020-03-30	7	1			
2020-03-31	8	1			
2020-04-01	8	1			
2020-04-02	9	1			
2020-04-03	9	1			
2020-04-04	9	1			
2020-04-05	9	1			
2020-04-06	10	1			
2020-04-07	11	2			
2020-04-08	11	3			
2020-04-09	11	3			
2020-04-10	13	3			
2020-04-11	14	3			
2020-04-12	14	3			
2020-04-13	17	3			
2020-04-14	17	3			
2020-04-15	23	3			
2020-04-16	23	3			
2020-04-17	24	3			
2020-04-18	25	3			
2020-04-19	25	3			
2020-04-20	25	3			
2020-04-21	28	3			
2020-04-22	28	4			
2020-04-23	28	4			
2020-04-24	29	4			
2020-04-25	31	4			
2020-04-26	31	4			
2020-04-27	32	4			
2020-04-28	32	4			
2020-04-29	32	4			
2020-04-30	40	4			
2020-05-01	40	4			
2020-05-02	34	4			
2020-05-03	34	4			
2020-05-04	34	4			
2020-05-05	34	4			
2020-05-06	34	4			
2020-05-07	34	4			
2020-05-08	34	4			
2020-05-09	35	4			
2020-05-10	36	4			
2020-05-11	36	4			
2020-05-12	36	4			
2020-05-13	37	4			
2020-05-14	37	4			
2020-05-15	42	4			
2020-05-16	42	4			
2020-05-17	44	4			
2020-05-18	46	4			
2020-05-19	46	4			
2020-05-20	48	4			
2020-05-21	51	4			
2020-05-22	51	4			
2020-05-23	56	4			
2020-05-24	56	4			
2020-05-25	56	4			
2020-05-26	56	4			
2020-05-27	132	4			
2020-05-28	149	4			
2020-05-29	149	4			
2020-05-30	174	4			
2020-05-31	178	4			
2020-06-01	203	4			
2020-06-02	206	4			
2020-06-03	222	4			
2020-06-04	237	4			
2020-06-05	265	4			
2020-06-06	279	4			
2020-06-07	282	4			
2020-06-08	287	4			
2020-06-09	314	4			
2020-06-10	320	4			
2020-06-11	332	4			
2020-06-12	343	4			
2020-06-13	356	4			
2020-06-14	383	4			
2020-06-15	387	4			
2020-06-16	391	4			
2020-06-17	401	4			
2020-06-18	463	4			
2020-06-19	479	4			
2020-06-20	479	4			
2020-06-21	489	6			
2020-06-22	512	6			
2020-06-23	525	6			
2020-06-24	530	6			
2020-06-25	551	6			
2020-06-26	561	6			
2020-06-27	567	6			
2020-06-28	567	6			
2020-06-29	574	7			
2020-06-30	591	7			
2020-07-01	605	7			
2020-07-02	617	7			
2020-07-03	625	7			
2020-07-04	698	8			
2020-07-05	716	8			
2020-07-06	734	9			
2020-07-07	787	9			
2020-07-08	885	9			
2020-07-09	885	9			
2020-07-10	942	13			
2020-07-11	982	18			
2020-07-12	985	18			
2020-07-13	1034	19			
2020-07-14	1064	20			
2020-07-15	1089	20			
2020-07-16	1362	23			
2020-07-17	1420	24			
2020-07-18	1478	25			
2020-07-19	1611	25			
2020-07-20	1713	26			
2020-07-21	1820	26			
2020-07-22	2034	26			
2020-07-23	2124	28			
2020-07-24	2296	32			
2020-07-25	2434	34			
2020-07-26	2512	34			
2020-07-27	2704	36			
2020-07-28	2817	40			
2020-07-29	2879	41			
2020-07-30	3092	53			
2020-07-31	3169	67			
2020-08-01	3659	69			
2020-08-02	3921	70			
2020-08-03	4075	80			
2020-08-04	4221	81			
2020-08-05	4221	81			
2020-08-06	4339	84			
2020-08-07	4451	102			
2020-08-08	4575	102			
2020-08-09	4649	104			
2020-08-10	4748	104			
2020-08-11	4818	104			
2020-08-12	4893	122			
2020-08-13	4990	128			
2020-08-14	5072	128			
2020-08-15	5176	130			
2020-08-16	5261	132			
2020-08-17	5308	135			
2020-08-18	5378	141			
2020-08-19	5643	150			
2020-08-20	5745	151			
2020-08-21	5815	152			
2020-08-22	5893	153			
2020-08-23	5930	155			
2020-08-24	6070	155			
2020-08-25	6196	166			
2020-08-26	6251	179			
2020-08-27	6292	189			
2020-08-28	6388	195			
2020-08-29	6406	196			
2020-08-30	6412	196			
2020-08-31	6497	202			
2020-09-01	6559	203			
2020-09-02	6638	206			
2020-09-03	6678	206			
2020-09-04	6837	206			
2020-09-05	6837	206			
2020-09-06	6837	206			
2020-09-07	7298	210			
2020-09-08	7388	218			
2020-09-09	7429	222			
2020-09-10	7453	222			
2020-09-11	7479	224			
2020-09-12	7508	224			
2020-09-13	7526	224			
2020-09-14	7531	224			
2020-09-15	7576	224			
2020-09-16	7598	224			
2020-09-17	7633	224			
2020-09-18	7647	224			
2020-09-19	7672	225			
2020-09-20	7683	225			
2020-09-21	7683	225			
2020-09-22	7711	226			
2020-09-23	7725	227			
2020-09-24	7752	227			
2020-09-25	7787	227			
2020-09-26	7803	227			
2020-09-27	7812	227			
2020-09-28	7816	228			
2020-09-29	7837	228			
2020-09-30	7838	228			
2020-10-01	7850	228			
2020-10-02	7858	228			
2020-10-03	7885	228			
2020-10-04	7888	228			
2020-10-05	7898	228			
2020-10-06	7915	229			
2020-10-07	7919	229			
2020-10-08	7951	229			
2020-10-09	7994	229			
2020-10-10	8010	230			
2020-10-11	8011	230			
2020-10-12	8021	230			
2020-10-13	8036	230			
2020-10-14	8055	231			
2020-10-15	8075	231			
2020-10-16	8099	231			
2020-10-17	8110	231			
2020-10-18	8147	231			
2020-10-19	8159	232			
2020-10-20	8187	233			
2020-10-21	8215	236			
2020-10-22	8242	236			
2020-10-23	8257	236			
2020-10-24	8269	236			
2020-10-25	8276	237			
2020-10-26	8303	242			
2020-10-27	8315	242			
2020-10-28	8320	242			
2020-10-29	8349	242			
2020-10-30	8362	242			
2020-10-31	8367	243			
2020-11-01	8374	243			
2020-11-02	8389	245			
2020-11-03	8410	246			
2020-11-04	8427	248			
2020-11-05	8444	248			
2020-11-06	8471	250			
2020-11-07	8498	251			
2020-11-08	8531	253			
2020-11-09	8561	254			
2020-11-10	8610	255			
2020-11-11	8667	255			
2020-11-12	8696	255			
2020-11-13	8765	257			
2020-11-14	8786	257			
2020-11-15	8829	257			
2020-11-16	8897	257			
2020-11-17	8945	260			
2020-11-18	8981	261			
2020-11-19	9046	265			
2020-11-20	9120	265			
2020-11-21	9172	265			
2020-11-22	9220	268			
2020-11-23	9308	273			
2020-11-24	9398	274			
2020-11-25	9508	274			
2020-11-26	9623	274			
2020-11-27	9714	275			
2020-11-28	9822	275			
2020-11-29	9822	275			
2020-11-30	9950	276			
2020-12-01	10129	277			
2020-12-02	10129	277			
2020-12-03	10424	280			
2020-12-04	10547	281			
2020-12-05	10617	291			
2020-12-06	10718	291			
2020-12-07	10839	294			
2020-12-08	10912	303			
2020-12-09	11007	304			
2020-12-10	11081	305			
2020-12-11	11162	306			
2020-12-12	11219	307			
2020-12-13	11246	307			
2020-12-14	11358	309			
2020-12-15	11522	310			
2020-12-16	11749	313			
2020-12-17	11866	314			
2020-12-18	12047	316			
2020-12-19	12151	318			
2020-12-20	12325	320			
2020-12-21	12422	322			
2020-12-22	12544	326			
2020-12-23	12656	330			
2020-12-24	12786	339			
2020-12-25	12880	341			
2020-12-26	12963	341			
2020-12-27	13077	349			
2020-12-28	13148	354			
2020-12-29	13325	359			
2020-12-30	13625	360			
2020-12-31	13867	363			
2021-01-01	14084	369			
2021-01-02	14491	377			
2021-01-03	15265	380			
2021-01-04	15829	384			
2021-01-05	17194	418			
2021-01-06	17804	431			
2021-01-07	18675	446			
2021-01-08	19660	468			
2021-01-09	20499	483			
2021-01-10	21477	507			
2021-01-11	22297	528			
2021-01-12	23239	551			
2021-01-13	24256	589			
2021-01-14	25368	636			
2021-01-15	26109	666			
2021-01-16	26881	683			
2021-01-17	27203	713			
2021-01-18	27892	773			
2021-01-19	28675	825			
2021-01-20	29408	879			
2021-01-21	30047	917			
2021-01-22	30523	962			
2021-01-23	31007	974			
2021-01-24	31320	1005			
2021-01-25	31646	1075			
2021-01-26	32004	1103			
2021-01-27	32304	1122			
2021-01-28	32646	1160			
2021-01-29	32952	1178			
2021-01-30	33273	1193			
2021-01-31	33388	1217			
2021-02-01	33548	1234			
2021-02-02	33814	1254			
2021-02-03	33964	1269			
2021-02-04	34171	1288			
2021-02-05	34331	1303			
2021-02-06	34487	1316			
2021-02-07	34552	1326			
2021-02-08	34658	1339			
2021-02-09	34781	1353			
2021-02-10	34864	1364			
2021-02-11	34864	1364			
2021-02-12	35045	1393			
2021-02-13	35104	1398			
2021-02-14	35172	1400			
2021-02-15	35222	1410			
2021-02-16	35315	1414			
2021-02-17	35423	1418			
2021-02-18	35543	1420			
2021-02-19	35710	1430			
2021-02-20	35768	1432			
2021-02-21	35796	1436			
2021-02-22	35862	1441			
2021-02-23	35910	1448			
2021-02-24	35960	1456			
2021-02-25	35994	1458			
2021-02-26	36044	1463			
2021-02-27	36058	1463			
2021-02-28	36089	1463			
2021-03-01	36115	1468			
2021-03-02	36148	1472			
2021-03-03	36179	1478			
2021-03-04	36223	1483			
2021-03-05	36248	1484			
2021-03-06	36260	1485			
2021-03-07	36271	1485			
2021-03-08	36289	1487			
2021-03-09	36321	1489			
2021-03-10	36341	1489			
2021-03-11	36377	1492			
2021-03-12	36423	1496			
2021-03-13	36471	1501			
2021-03-14	36484	1503			
2021-03-15	36504	1504			
2021-03-16	36535	1507			
2021-03-17	36552	1508			
2021-03-18	36611	1509			
2021-03-19	36652	1510			
2021-03-20	36662	1510			
2021-03-21	36665	1512			
2021-03-22	36684	1514			
2021-03-23	36717	1516			
2021-03-24	36749	1516			
2021-03-25	36778	1518			
2021-03-26	36805	1518			
2021-03-27	36818	1519			
2021-03-28	36822	1520			
2021-03-29	36839	1520			
2021-03-30	36839	1520			
2021-03-31	36882	1523			
2021-04-01	36896	1523			
2021-04-02	36903	1524			
2021-04-03	36911	1524			
2021-04-04	36923	1525			
2021-04-05	36934	1525			
2021-04-06	36966	1531			
2021-04-07	36984	1531			
2021-04-08	37052	1532			
2021-04-09	37147	1535			
2021-04-10	37273	1538			
2021-04-11	37288	1538			
2021-04-12	37307	1542			
2021-04-13	37330	1543			
2021-04-14	37369	1548			
2021-04-15	37422	1550			
2021-04-16	37534	1551			
2021-04-17	37699	1552			
2021-04-18	37751	1553			
2021-04-19	37859	1553			
2021-04-20	37875	1554			
2021-04-21	37980	1555			
2021-04-22	38018	1555			
2021-04-23	38045	1556			
2021-04-24	38064	1556			
2021-04-25	38086	1557			
2021-04-26	38102	1560			
2021-04-27	38164	1565			
2021-04-28	38191	1565			
2021-04-29	38235	1567			
2021-04-30	38257	1567			
2021-05-01	38260	1568			
2021-05-02	38281	1570			
2021-05-03	38293	1573			
2021-05-04	38327	1574			
2021-05-05	38357	1574			
2021-05-06	38398	1575			
2021-05-07	38403	1576			
2021-05-08	38414	1576			
2021-05-09	38419	1576			
2021-05-10	38433	1576			
2021-05-11	38448	1579			
2021-05-12	38466	1579			
2021-05-13	38491	1582			
2021-05-14	38535	1582			
2021-05-15	38554	1582			
2021-05-16	38560	1582			
2021-05-17	38572	1582			
2021-05-18	38595	1583			
2021-05-19	38612	1583			
2021-05-20	38635	1585			
2021-05-21	38664	1586			
2021-05-22	38679	1586			
2021-05-23	38682	1586			
2021-05-24	38696	1586			
2021-05-25	38706	1587			
2021-05-26	38819	1589			
2021-05-27	38854	1592			
2021-05-28	38918	1592			
2021-05-29	38933	1594			
2021-05-30	38944	1594			
2021-05-31	38961	1594			
2021-06-01	38998	1599			
2021-06-02	39031	1599			
2021-06-03	39092	1604			
2021-06-04	39144	1605			
2021-06-05	39168	1605			
2021-06-06	39189	1606			
2021-06-07	39238	1611			
2021-06-08	39321	1617			
2021-06-09	39432	1622			
2021-06-10	39496	1626			
2021-06-11	39688	1629			
2021-06-12	39852	1632			
2021-06-13	39959	1632			
2021-06-14	40077	1635			
2021-06-15	40318	1637			
2021-06-16	40556	1640			
2021-06-17	40927	1647			
2021-06-18	41335	1656			
2021-06-19	41628	1666			
2021-06-20	41779	1672			
2021-06-21	42195	1685			
2021-06-22	42714	1691			
2021-06-23	43480	1692			
2021-06-24	44306	1709			
2021-06-25	45217	1721			
2021-06-26	46018	1725			
2021-06-27	46442	1736			
2021-06-28	47284	1749			
2021-06-29	48533	1761			
2021-06-30	49864	1789			
2021-07-01	51221	1808			
2021-07-02	52663	1841			
2021-07-03	53665	1859			
2021-07-04	54474	1878			
2021-07-05	56014	1911			
2021-07-06	57963	1939			
2021-07-07	60227	1973			
2021-07-08	62383	2029			
2021-07-09	65066	2084			
2021-07-10	66853	2126			
2021-07-11	67765	2185			
2021-07-12	70426	2236			
2021-07-13	73271	2274			
2021-07-14	76381	2332			
2021-07-15	78872	2418			
2021-07-16	81168	2520			
2021-07-17	82613	2588			
2021-07-18	83619	2622			
2021-07-19	85732	2697			
2021-07-20	88415	2747			
2021-07-21	91120	2809			
2021-07-22	93421	2870			
2021-07-23	95686	2961			
2021-07-24	97277	3050			
2021-07-25	97894	3094			
2021-07-26	99944	3173			
2021-07-27	101711	3280			
2021-07-28	103567	3340			
2021-07-29	105656	3421			
2021-07-30	107490	3490			
2021-07-31	108860	3532			
2021-08-01	109546	3583			
2021-08-02	110855	3635			
2021-08-03	112435	3676			
2021-08-04	113526	3711			
2021-08-05	114489	3754			
2021-08-06	115445	3805			
2021-08-07	115890	3826			
2021-08-08	116327	3900			
2021-08-09	116853	3919			
2021-08-10	117258	3950			
2021-08-11	117954	3991			
2021-08-12	118754	4047			
2021-08-13	119508	4073			
2021-08-14	119853	4090			
2021-08-15	120088	4109			
2021-08-16	120088	4109			
2021-08-17	121046	4156			
2021-08-18	121498	4181			
2021-08-19	121902	4198			
2021-08-20	121902	4198			
2021-08-21	122487	4236			
2021-08-22	122652	4249			
2021-08-23	123001	4293			
2021-08-24	123320	4320			
2021-08-25	123711	4338			
2021-08-26	123986	4356			
2021-08-27	124236	4374			
2021-08-28	124367	4390			
2021-08-29	124437	4401			
2021-08-30	124581	4416			
2021-08-31	124773	4419			
