# Data source: https://github.com/hxchua/datadoubleconfirm/blob/master/datasets/covid19_sg.csv
# Data provenance: https://data.world/hxchua/covid-19-singapore
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-01-23	1	0	1	0	0
2020-01-24	3	0	3	0	0
2020-01-25	4	0	4	0	0
2020-01-26	4	0	4	0	0
2020-01-27	5	0	5	0	0
2020-01-28	7	0	7	0	0
2020-01-29	10	0	10	0	0
2020-01-30	13	0	13	0	0
2020-01-31	16	0	16	0	0
2020-02-01	18	0	18	0	0
2020-02-02	18	0	18	0	0
2020-02-03	18	0	18	0	0
2020-02-04	24	0	23	0	1
2020-02-05	28	0	27	0	1
2020-02-06	30	0	28	1	1
2020-02-07	33	0	29	2	2
2020-02-08	40	0	34	4	2
2020-02-09	43	0	31	6	6
2020-02-10	45	0	31	7	7
2020-02-11	47	0	31	7	9
2020-02-12	50	0	27	8	15
2020-02-13	58	0	36	7	15
2020-02-14	67	0	44	6	17
2020-02-15	72	0	48	6	18
2020-02-16	75	0	51	5	19
2020-02-17	77	0	49	4	24
2020-02-18	81	0	48	4	29
2020-02-19	84	0	46	4	34
2020-02-20	85	0	44	4	37
2020-02-21	86	0	34	5	47
2020-02-22	89	0	35	5	49
2020-02-23	89	0	33	5	51
2020-02-24	90	0	30	7	53
2020-02-25	91	0	26	7	58
2020-02-26	93	0	24	7	62
2020-02-27	96	0	22	8	66
2020-02-28	98	0	22	7	69
2020-02-29	102	0	23	7	72
2020-03-01	106	0	25	7	74
2020-03-02	108	0	24	6	78
2020-03-03	110	0	25	7	78
2020-03-04	112	0	26	7	79
2020-03-05	117	0	29	7	81
2020-03-06	130	0	39	9	82
2020-03-07	138	0	40	8	90
2020-03-08	150	0	51	9	90
2020-03-09	160	0	57	10	93
2020-03-10	166	0	61	12	93
2020-03-11	178	0	73	9	96
2020-03-12	187	0	82	9	96
2020-03-13	200	0	92	11	97
2020-03-14	212	0	93	14	105
2020-03-15	226	0	108	13	105
2020-03-16	243	0	121	13	109
2020-03-17	266	0	138	14	114
2020-03-18	313	0	181	15	117
2020-03-19	345	0	206	15	124
2020-03-20	385	0	238	16	131
2020-03-21	432	2	276	14	140
2020-03-22	455	2	295	14	144
2020-03-23	509	2	340	15	152
2020-03-24	558	2	384	17	155
2020-03-25	631	2	388	17	160
2020-03-26	683	2	404	18	172
2020-03-27	732	2	415	17	183
2020-03-28	802	2	401	19	198
2020-03-29	844	3	404	19	212
2020-03-30	879	3	401	19	228
2020-03-31	926	3	401	22	240
2020-04-01	1000	3	437	24	245
2020-04-02	1049	4	441	23	266
2020-04-03	1114	5	448	25	282
2020-04-04	1189	6	474	26	297
2020-04-05	1309	6	544	25	320
2020-04-06	1375	6	546	25	344
2020-04-07	1481	6	598	29	377
2020-04-08	1623	6	640	29	406
2020-04-09	1910	6	856	29	460
2020-04-10	2108	7	845	32	492
2020-04-11	2299	8	914	31	527
2020-04-12	2532	8	947	31	559
2020-04-13	2918	9	1131	29	585
2020-04-14	3252	10	1289	28	610
2020-04-15	3699	10	1473	26	651
2020-04-16	4427	10	1866	23	682
2020-04-17	5050	11	2095	22	707
2020-04-18	5992	11	2538	23	745
2020-04-19	6588	11	2899	22	771
2020-04-20	8014	11	1364	23	804
2020-04-21	9125	11	1381	27	843
2020-04-22	10141	12	1571	25	900
2020-04-23	11178	12	1342	26	936
2020-04-24	12075	12	1205	24	974
2020-04-25	12693	12	1190	24	1020
2020-04-26	13624	12	1289	22	1078
2020-04-27	14423	14	1431	20	1113
2020-04-28	14951	14	1668	21	1146
2020-04-29	15641	14	1692	22	1208
2020-04-30	16169	15	1687	21	1264
2020-05-01	17101	16	1741	23	1288
2020-05-02	17548	17	1686	24	1367
2020-05-03	18205	18	1608	22	1428
2020-05-04	18778	18	1466	25	1477
2020-05-05	19410	18	1560	24	1539
2020-05-06	20198	20	1439	23	1654
2020-05-07	20939	20	1357	19	1732
2020-05-08	21707	20	1223	22	2060
2020-05-09	22460	20	1101	23	2316
2020-05-10	23336	20	1075	22	2741
2020-05-11	23787	21	1069	24	3245
2020-05-12	24671	21	1112	20	3871
2020-05-13	25346	21	1018	19	4829
2020-05-14	26098	21	1052	20	5993
2020-05-15	26891	21	1106	18	7268
2020-05-16	27356	22	1095	16	8362
2020-05-17	28038	22	1194	16	9360
2020-05-18	28343	22	1024	12	9855
2020-05-19	28794	22	994	10	10385
2020-05-20	29364	22	943	11	11227
2020-05-21	29812	23	891	10	12137
2020-05-22	30426	23	790	8	12975
2020-05-23	31068	23	703	8	13902
