# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21					
2020-02-22					
2020-02-23					
2020-02-24					
2020-02-25					
2020-02-26					
2020-02-27					
2020-02-28					
2020-02-29					
2020-03-01					
2020-03-02					
2020-03-03		0			
2020-03-04		0			
2020-03-05		0			
2020-03-06		0			
2020-03-07		0			
2020-03-08		0			
2020-03-09		0			2
2020-03-10		0			3
2020-03-11		0			1
2020-03-12		1			1
2020-03-13		1			1
2020-03-14		1			1
2020-03-15		1			1
2020-03-16		1			1
2020-03-17		1			1
2020-03-18		1			4
2020-03-19		2			6
2020-03-20		2			10
2020-03-21		4			11
2020-03-22		4			17
2020-03-23		10			18
2020-03-24		10			19
2020-03-25		13			28
2020-03-26		17			39
2020-03-27		22			67
2020-03-28		26			80
2020-03-29		29			82
2020-03-30		37			100
2020-03-31		42			111
2020-04-01		46			170
2020-04-02		58			239
2020-04-03		69			375
2020-04-04		71			422
2020-04-05		75			461
2020-04-06		81			531
2020-04-07		84			537
2020-04-08		89			616
2020-04-09		89			696
2020-04-10		97			737
2020-04-11		102			757
2020-04-12		112			848
2020-04-13		117			862
2020-04-14		118			871
2020-04-15		125			881
2020-04-16		131			918
2020-04-17		134			938
2020-04-18		148			958
2020-04-19		155			993
2020-04-20		157			1005
2020-04-21		161			1005
2020-04-22		164			1017
2020-04-23		168			1047
2020-04-24		172			1081
2020-04-25		174			1102
2020-04-26		175			1123
2020-04-27		179			1136
2020-04-28		181			1166
2020-04-29		185			1196
2020-04-30		188			1219
2020-05-01		193			1245
2020-05-02		197			1268
2020-05-03		197			1284
2020-05-04		197			1294
2020-05-05		198			1307
2020-05-06		199			1321
2020-05-07		201			1345
