# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	2				
2020-02-28	8				
2020-02-29	10				
2020-03-01	15				
2020-03-02	15				
2020-03-03	15	0			
2020-03-04	19	1		0	
2020-03-05	19	1		0	
2020-03-06	30	1		1	
2020-03-07	30	1			
2020-03-08	37	1			
2020-03-09	37	1		1	
2020-03-10	50	1		1	
2020-03-11	65	1		1	
2020-03-12	76	1		2	
2020-03-13	94	1		2	
2020-03-14	130	4			
2020-03-15	409	5			
2020-03-16	409	5		4	2
2020-03-17	541	13		27	12
2020-03-18	726	22		40	16
2020-03-19	921	24		52	19
2020-03-20	1105	33		71	20
2020-03-21	1363	50	476	84	25
2020-03-22	1604	69	590	113	30
2020-03-23	1901	94	702	138	36
2020-03-24	2167	115	917	161	37
2020-03-25	2616	143	1071	198	44
2020-03-26	3200	167	1278	230	57
2020-03-27	3532	198	1422	252	73
2020-03-28	4034	234	1694	282	92
2020-03-29	4784	267	1874	309	161
2020-03-30	5110	310	2042	336	185
2020-03-31	5508	339	2189	356	200
2020-04-01	5922	395	2189	365	240
2020-04-02	6308	443	2189	379	432
2020-04-03	6624	511	2064	386	592
2020-04-04	6901	571	1977	386	695
2020-04-05	7184	613	1901	381	812
2020-04-06	7334	637	1909	384	930
2020-04-07	7443	672	1887	384	1103
2020-04-08	7655	724	1714	371	1344
2020-04-09	7964	767			1772
2020-04-10	8331	796			2085
2020-04-11	8578	818			2289
2020-04-12	8841	838			2624
2020-04-13	9060	876			2803
2020-04-14	9213	907			3069
2020-04-15	9424	945			3360
2020-04-16	9615	972			3702
2020-04-17	9869	999			4024
2020-04-18	9795	1042			4306
2020-04-19	9937	1065			4547
2020-04-20	10018	1079			4629
2020-04-21	10084	1089			4719
2020-04-22	10538	1106			5011
2020-04-23	10692	1124			5388
2020-04-24	10906	1147			5809
2020-04-25	11123	1172			6033
2020-04-26	11372	1186			6243
2020-04-27	11412	1189			6317
2020-04-28	11658	1200			6423
