# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	6				
2020-02-28	6				
2020-02-29	6				
2020-03-01	7				
2020-03-02	7				
2020-03-03	7	0			
2020-03-04	7	0		0	
2020-03-05	8	0		0	
2020-03-06	11	0		0	
2020-03-07	18	0			
2020-03-08	17	0			
2020-03-09	22	0		0	
2020-03-10	25	0		1	
2020-03-11	37	0		1	
2020-03-12	51	0		3	
2020-03-13	70	0		2	
2020-03-14	90	1			
2020-03-15	109	1			
2020-03-16	119	1		9	7
2020-03-17	148	2		13	8
2020-03-18	181	3		17	8
2020-03-19	220	3		23	9
2020-03-20	287	4		25	6
2020-03-21	348	7	139	29	7
2020-03-22	414	9	150	32	7
2020-03-23	481	11	172	32	7
2020-03-24	557	16	207	36	8
2020-03-25	657	21	235	43	15
2020-03-26	784	24	279	45	18
2020-03-27	878	27	328	61	20
2020-03-28	1025	36	377	68	25
2020-03-29	1125	39	425	78	30
2020-03-30	1204	40	444	84	32
2020-03-31	1262	55	483	94	57
2020-04-01	1380	62	532	110	77
2020-04-02	1444	68	566	113	94
2020-04-03	1490	73	605	120	102
2020-04-04	1564	78	632	128	123
2020-04-05	1622	80	644	129	137
2020-04-06	1649	85	651	133	157
2020-04-07	1725	89	689	137	186
2020-04-08	1762	91	703	138	249
2020-04-09	1834	92	730	140	359
2020-04-10	1858	94	738	141	386
2020-04-11	1887	95	745	144	432
2020-04-12	1918	95	758	144	447
2020-04-13	1944	96	763	145	458
2020-04-14	1958	102	771	147	589
2020-04-15	1975	104	781	152	622
2020-04-16	1988	107	802	156	673
2020-04-17	2009	111	811	159	730
2020-04-18	2035	115	822	160	785
2020-04-19	2047	119	825	162	789
2020-04-20	2067	119	826	163	813
2020-04-21	2085	120	837	164	878
2020-04-22	2094	121	841	164	927
2020-04-23	2113	121	855	169	969
2020-04-24	2140	128	868	169	1017
2020-04-25	2155	130	878	171	1036
2020-04-26	2167	131	880	171	1048
2020-04-27	2178	131	881	171	1047
2020-04-28	2187	133	900	174	1075
