# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	0				
2020-02-28	0				
2020-02-29	0				
2020-03-01	1				
2020-03-02	3				
2020-03-03	7	0			
2020-03-04	12	0		1	
2020-03-05	13	0		1	
2020-03-06	15	0		1	
2020-03-07	15	0			
2020-03-08	15	0			
2020-03-09	26	0		2	
2020-03-10	39	0		2	
2020-03-11	71	0		5	
2020-03-12	115	1		9	
2020-03-13	194	5		10	
2020-03-14	289	6			
2020-03-15	401	10			
2020-03-16	567	17		23	12
2020-03-17	567	17		23	12
2020-03-18	675	28		29	15
2020-03-19	801	42		37	27
2020-03-20	1044	42		53	34
2020-03-21	1423	84	635	65	38
2020-03-22	1819	112	838	76	48
2020-03-23	2078	145	1547	142	51
2020-03-24	2465	216	1826	182	53
2020-03-25	2780	263	2162	210	71
2020-03-26	3383	316	2162	243	95
2020-03-27	3934	367	2707	273	153
2020-03-28	4512	448	2977	289	197
2020-03-29	5246	539	3018	299	236
2020-03-30	5858	622	3134	302	252
2020-03-31	6424	708	3225	344	296
2020-04-01	7047	774	3230	353	397
2020-04-02	7682	854	3230	355	494
2020-04-03	8523	916	3168	355	579
2020-04-04	9324	989	3133	360	657
2020-04-05	10031	1055	2950	357	1149
2020-04-06	10602	1132	2901	354	1259
2020-04-07	11077	1177	2908	360	1353
2020-04-08	11788	1255	2731	354	1557
2020-04-09	12489	1322	2575	342	1766
2020-04-10	13063	1431	2359	329	1982
2020-04-11	13456	1483	2198	316	2205
2020-04-12	13698	1543			2365
2020-04-13	14054	1626			2532
2020-04-14	14329	1714			2943
2020-04-15	14680	1755			2998
2020-04-16	15151	1796			3378
2020-04-17	15997	1852			3600
2020-04-18	16349	1913			3838
2020-04-19	16625	1963			3963
2020-04-20	16796	2021			4178
2020-04-21	17045	2075			4242
2020-04-22	17321	2140			4337
2020-04-23	17557	2188			4577
2020-04-24	18053	2255			4782
2020-04-25	18525	2292			4876
2020-04-26	18995	2330			5196
2020-04-27	19286	2365			5282
2020-04-28	19518	2396			5306
2020-04-29	19795	2436			5382
