# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	0				
2020-02-22	0				
2020-02-23	0				
2020-02-24	0				
2020-02-25	0				
2020-02-26	1				
2020-02-27	2				
2020-02-28	3				
2020-02-29	5				
2020-03-01	6				
2020-03-02	15				
2020-03-03	15	0			
2020-03-04	15	0			
2020-03-05	24	0			
2020-03-06	24	0			
2020-03-07	24	1			
2020-03-08	49	1			
2020-03-09	59	2			2
2020-03-10	82	2			5
2020-03-11	123	3			6
2020-03-12	202	6			12
2020-03-13	349	9			19
2020-03-14	558	13			32
2020-03-15	742	15			39
2020-03-16	1017	20			45
2020-03-17	1414	23			58
2020-03-18	1866	33			79
2020-03-19	2702	53			103
2020-03-20	3270	93			147
2020-03-21	4203	122			192
2020-03-22	5046	143			247
2020-03-23	5747	199			402
2020-03-24	7864	293			631
2020-03-25	9937	385			961
2020-03-26	11592	501			1008
2020-03-27	12940	685			1482
2020-03-28	14263	827			1717
2020-03-29	15025	904			1966
2020-03-30	16104	983			2168
2020-03-31	18520	1216			2633
2020-04-01	19991	1458			3077
2020-04-02	21804	1629			3683
2020-04-03	23460	1784			3876
2020-04-04	24734	1928			4589
2020-04-05	26032	2053			5149
2020-04-06	26824	2167			5374
2020-04-07	28323	2329			6150
2020-04-08	29647	2462			7320
2020-04-09	31043	2667			8014
2020-04-10	31824	2787			8705
2020-04-11	32984	2877			9267
2020-04-12	34027	2975			9610
2020-04-13	34726	3105			10040
2020-04-14	35197	3201			10387
2020-04-15	36505	3453			11480
2020-04-16	37354	3618			11961
2020-04-17	38316	3752			12787
2020-04-18	40095	3879			13275
2020-04-19	40600	3933			13691
2020-04-20	42703	4009			13934
2020-04-21	44139	4152			14446
2020-04-22	44829	4247			15089
2020-04-23	45919	4343			15477
2020-04-24	46571	4393			16138
2020-04-25	47288	4498			16753
2020-04-26	47838	4566			17006
2020-04-27	48782	4699			17897
2020-04-28	49185	4808			18319
2020-04-29	49681	4905			19060
2020-04-30	49943	4975			19615
2020-05-01	50334	5061			19640
2020-05-02	50877	5137			19913
2020-05-03	51261	5185			20332
2020-05-04	51393	5220			21898
2020-05-05	51798	5270			22553
2020-05-06	52090	5345			22881
2020-05-07	52505	5394			23231
