# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	0				
2020-02-22	0				
2020-02-23	0				
2020-02-24	0				
2020-02-25	0				
2020-02-26	0				
2020-02-27	0				
2020-02-28	0				
2020-02-29	0				
2020-03-01	0				
2020-03-02	0				
2020-03-03	0	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	3	0			
2020-03-07	3	0			
2020-03-08	5	0			
2020-03-09	6	0		2	0
2020-03-10	22	0		2	0
2020-03-11	35	0		2	0
2020-03-12	35	0		2	0
2020-03-13	85	0		6	0
2020-03-14	115	0		6	3
2020-03-15	195	2		6	4
2020-03-16	245	2		8	4
2020-03-17	292	3		12	4
2020-03-18	341	3		17	4
2020-03-19	453	4		24	4
2020-03-20	578	5		34	5
2020-03-21	739	9		40	6
2020-03-22	915	12		50	16
2020-03-23	1208	18		62	19
2020-03-24	1415	20		78	19
2020-03-25	1653	27		100	25
2020-03-26	1915	32		107	47
2020-03-27	2322	43		122	67
2020-03-28	2772	47		141	95
2020-03-29	3139	60		159	153
2020-03-30	3723	66		176	168
2020-03-31	4039	84		189	187
2020-04-01	4432	103		203	259
2020-04-02	4842	120		212	333
2020-04-03	5219	138		219	435
2020-04-04	5625	159		229	531
2020-04-05	5944	174		237	587
2020-04-06	6151	190		245	610
2020-04-07	6331	204		253	688
2020-04-08	6538	213		256	800
2020-04-09	6758	231		260	910
2020-04-10	6946	243		263	997
2020-04-11	7176	261		264	1082
2020-04-12	7336	274		267	1143
2020-04-13	7494	284		275	1186
2020-04-14	7597	290		280	1240
2020-04-15	7708	299		282	1298
2020-04-16	7873	310		282	1383
2020-04-17	8013	320		290	1456
2020-04-18	8084	334		291	1507
2020-04-19	8185	346		294	1536
2020-04-20	8299	352		296	1548
2020-04-21	8468	360		296	1588
2020-04-22	8634	368		297	1625
2020-04-23	8805	375		298	1676
2020-04-24	8932	382		301	1730
2020-04-25	9116	388		302	1783
2020-04-26	9176	394		303	1803
2020-04-27	9238	405		304	1816
2020-04-28	9328	412		305	1841
2020-04-29	9484	551		308	5393
2020-04-30	9579	551		310	5573
2020-05-01	9617	558		313	5816
2020-05-02	9652	563		313	5981
2020-05-03	9685	569		315	6075
2020-05-04	9707	575		315	6234
2020-05-05	9783	579		317	6561
2020-05-06	9996	588		319	6802
2020-05-07	10077	591		320	6959
2020-05-08	10221	592		321	7138
2020-05-09	10322	595		323	7225
2020-05-10	10370	596		325	7347
2020-05-11	10388	597		326	7444
2020-05-12	10449	598		326	7820
2020-05-13	10495	599		327	7996
2020-05-14	10545	603		327	8157
2020-05-15	10605	603		332	8283
2020-05-16	10934	604		332	8820
2020-05-17	10960	606		332	9155
