# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21					
2020-02-22					
2020-02-23					
2020-02-24					
2020-02-25					
2020-02-26					
2020-02-27					
2020-02-28					
2020-02-29					
2020-03-01					
2020-03-02					
2020-03-03		0			
2020-03-04		0			
2020-03-05		0			
2020-03-06		0			
2020-03-07		0			
2020-03-08		0			
2020-03-09		0			
2020-03-10		0			
2020-03-11		0			0
2020-03-12		0			0
2020-03-13		0			0
2020-03-14		0			0
2020-03-15		0			0
2020-03-16		0			0
2020-03-17		0			0
2020-03-18		0			0
2020-03-19		0			0
2020-03-20		0			0
2020-03-21		0			0
2020-03-22		0			0
2020-03-23		0			0
2020-03-24		0			0
2020-03-25		0			0
2020-03-26		1			0
2020-03-27		1			0
2020-03-28		1			0
2020-03-29		1			0
2020-03-30		1			0
2020-03-31		1			0
2020-04-01		1			0
2020-04-02		1			0
2020-04-03		2			4
2020-04-04		2			9
2020-04-05		2			11
2020-04-06		2			11
2020-04-07		2			11
2020-04-08		2			12
2020-04-09		2			16
2020-04-10		2			17
2020-04-11		2			18
2020-04-12		2			18
2020-04-13		2			18
2020-04-14		2			18
2020-04-15		2			24
2020-04-16		2			27
2020-04-17		2			30
2020-04-18		2			30
2020-04-19		2			44
2020-04-20		2			46
2020-04-21		2			46
2020-04-22		2			50
2020-04-23		2			55
2020-04-24		2			61
2020-04-25		2			77
2020-04-26		2			81
2020-04-27		2			87
2020-04-28		2			92
2020-04-29		2			95
2020-04-30		2			96
2020-05-01		2			96
2020-05-02		2			96
2020-05-03		2			98
2020-05-04		2			101
2020-05-05		2			101
2020-05-06		2			104
2020-05-07		2			108
