# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	0				
2020-02-22	0				
2020-02-23	0				
2020-02-24	0				
2020-02-25	0				
2020-02-26	0				
2020-02-27	0				
2020-02-28	0				
2020-02-29	2				
2020-03-01	3				
2020-03-02	9				
2020-03-03	13	0			
2020-03-04	17	0			
2020-03-05	17	1			
2020-03-06	45	1			
2020-03-07	45	1			
2020-03-08	70	5			
2020-03-09	149	6			2
2020-03-10	195	6			2
2020-03-11	225	6			2
2020-03-12	346	11			1
2020-03-13	417	14			2
2020-03-14	521	14			5
2020-03-15	630	23			5
2020-03-16	630	23			5
2020-03-17	765	36			11
2020-03-18	973	40			14
2020-03-19	1190	53			18
2020-03-20	1465	71			21
2020-03-21	1725	85			165
2020-03-22	2097	97			216
2020-03-23	2421	120			283
2020-03-24	2728	133			344
2020-03-25	3271	155			466
2020-03-26	3946	180			621
2020-03-27	4601	207			814
2020-03-28	5136	241			1023
2020-03-29	5740	265			1503
2020-03-30	6057	297			1646
2020-03-31	6320	325			1796
2020-04-01	6838	369			2165
2020-04-02	7317	412			2490
2020-04-03	7827	444			2809
2020-04-04	8187	477			3098
2020-04-05	8628	515			3405
2020-04-06	8810	548			3568
2020-04-07	9021	586			3728
2020-04-08	9452	635			4151
2020-04-09	9806	689			4514
2020-04-10	10103	729			4680
2020-04-11	10515	765			4741
2020-04-12	10772	804			4867
2020-04-13	11018	831			5026
2020-04-14	11226	859			5193
2020-04-15	11475	902			5428
2020-04-16	11790	956			5813
2020-04-17	12089	992			6144
2020-04-18	12355	1020			6556
2020-04-19	12569	1062			6972
2020-04-20	12628	1081			7124
2020-04-21	12810	1103			7277
2020-04-22	13044	1124			7651
2020-04-23	13436	1167			8136
2020-04-24	13780	1193			8459
2020-04-25	14132	1212			8941
2020-04-26	14315	1230			9602
2020-04-27	14412	1241			9840
2020-04-28	14804	1255			9974
2020-04-29	15138	1274			10474
2020-04-30	15519	1296			10936
2020-05-01	15969	1312			11380
2020-05-02	16119	1321			11805
2020-05-03	16197	1329			12024
2020-05-04	16246	1341			12155
2020-05-05	16426	1353			12251
2020-05-06	16679	1364			12749
2020-05-07	16959	1383			13070
2020-05-08	17286	1390			13540
2020-05-09	17553	1403			13985
2020-05-10	17677	1418			14646
2020-05-11	17709	1423			14718
2020-05-12	17840	1429			14913
2020-05-13	18095	1442			14986
2020-05-14	18100	1454			15256
