# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	3	0			
2020-03-01	4	0			
2020-03-02	7	0			
2020-03-03	7	0			
2020-03-04	10	0			
2020-03-05	11	0			
2020-03-06	12	0			
2020-03-07	14	0			
2020-03-08	14	0			
2020-03-09	15	0			
2020-03-10	18	0			
2020-03-11	20	0			
2020-03-12	27	0	1		
2020-03-13	30	0			
2020-03-14	33	0			
2020-03-15	43	0			
2020-03-16	56	0	2		
2020-03-17	69	0	2		
2020-03-18	96	0	6		
2020-03-19	134	1	17	6	
2020-03-20	175	1	25	4	
2020-03-21	223	1			
2020-03-22	235	1			
2020-03-23	245	2	13	3	
2020-03-24	283	2	15	2	
2020-03-25	318	2	33	7	
2020-03-26	367	3	38	10	
2020-03-27	407	5	50	12	
2020-03-28	444	8			
2020-03-29	485	9			
2020-03-30	506	11	50	12	
2020-03-31	554	11	85	22	
2020-04-01	596	11	94	27	
2020-04-02	631	14	96	27	
2020-04-03	673	15	100	27	
2020-04-04	702	18			
2020-04-05	737	19			
2020-04-06	764	19	82	25	
2020-04-07	794	19	88	25	
2020-04-08	833	22	85	23	
2020-04-09	854	22	87	22	
2020-04-10	881	26	82	23	
2020-04-11	902	27	76	23	
2020-04-12	910	27			
2020-04-13	917	27			
2020-04-14	931	29	78	22	
2020-04-15	946	29	69	20	
2020-04-16	963	30	61	20	
2020-04-17	989	30	58	20	
2020-04-18	1009	30			
2020-04-19	1017	31			
2020-04-20	1019	32	45	16	
2020-04-21	1029	34	43	18	
2020-04-22	1040	35	37	15	
2020-04-23	1055	36	35	14	
2020-04-24	1073	36	40	14	
2020-04-25	1081	37			
2020-04-26	1091	37			
2020-04-27	1096	38	42	15	
2020-04-28	1102	38	41	12	
2020-04-29	1109	40	38	10	
2020-04-30	1115	40	33	9	
2020-05-01	1127	41	34	9	
2020-05-02	1132	41			
2020-05-03	1136	41			
2020-05-04	1138	42	34	5	
2020-05-05	1144	42	23	5	
2020-05-06	1148	42	24	5	
2020-05-07	1152	42	19	4	
2020-05-08	1156	43	16	3	
2020-05-09	1158	43			
2020-05-10	1165	44			
2020-05-11	1169	44	14	2	
2020-05-12	1171	44	9	2	
2020-05-13	1176	44	8	1	
2020-05-14	1180	44	10	1	
2020-05-15	1184	45	12	1	230
2020-05-16	1186	46			235
2020-05-17	1189	46			235
2020-05-18	1191	46	7	1	245
2020-05-19	1198	46	10	4	245
2020-05-20	1199	46	11	2	250
2020-05-21	1199	46			255
2020-05-22	1201	46	9	2	260
2020-05-23	1202	46			260
2020-05-24	1202	46			270
2020-05-25	1202	46	6	1	275
2020-05-26	1204	47	5	1	280
2020-05-27	1205	47	5	1	285
2020-05-28	1206	47	6	1	285
2020-05-29	1213	47	4	1	295
2020-05-30	1213	47			295
2020-05-31	1216	47			300
2020-06-01	1216	47			300
2020-06-02	1216	47	4	1	305
2020-06-03	1217	47	2	1	310
2020-06-04	1219	47	3	2	310
2020-06-05	1219	47	2	1	310
2020-06-06	1221	47			315
2020-06-07	1221	47			315
2020-06-08	1221	47	4	1	315
2020-06-09	1223	47	3	1	315
2020-06-10	1223	47	2	1	315
2020-06-11	1226	47	2	1	315
2020-06-12	1229	47	1	1	325
2020-06-13	1230	47			325
2020-06-14	1232	47			330
2020-06-15	1233	47	1	1	330
2020-06-16	1234	47	1	1	330
2020-06-17	1234	47	1	1	330
2020-06-18	1237	47	1	1	330
2020-06-19	1239	47	2	1	330
2020-06-20	1243	47			330
2020-06-21	1243	48			330
2020-06-22	1245	48	2	0	330
