# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1				
2020-02-28	1				
2020-02-29	1				
2020-03-01	1				
2020-03-02	1				
2020-03-03	3				
2020-03-04	3				
2020-03-05	8		1		
2020-03-06	15		1		
2020-03-07	21		1		
2020-03-08	24		1		
2020-03-09	28		1		
2020-03-10	33		1		
2020-03-11	49		13	2	4
2020-03-12	73	1	13		4
2020-03-13	92	1	13		4
2020-03-14	100	1	13		4
2020-03-16	143	4	13		4
2020-03-17	164	4	30		25
2020-03-18	181	4	40		36
2020-03-19	220	4	40		44
2020-03-20	270	4	45		46
2020-03-21	297	5	46		57
2020-03-22	356	5	50		73
2020-03-23	374	5	56		78
2020-03-24	410	5	58		105
2020-03-25	462	8	58		128
2020-03-26	501	12	74	8	155
2020-03-27	530	13	76	8	191
2020-03-28	569	13	79	11	211
2020-03-29	605	15	87	12	228
2020-03-30	617	15	90	12	263
2020-03-31	653	16	105	15	292
2020-04-01	687	18	108	16	323
2020-04-02	714	19	119	17	350
2020-04-03	754	21	115	17	397
2020-04-04	767	24	112	16	434
2020-04-05	789	26	106	15	460
2020-04-06	798	26	99	13	481
2020-04-07	808	28	101	13	508
2020-04-08	829	31	99	14	535
2020-04-09	841	33	93	13	572
2020-04-10	854	33	87	13	593
2020-04-11	861	33			612
2020-04-12	877	33	86	12	629
2020-04-13	888	34			653
2020-04-14	894	34	86	9	663
2020-04-15	904	36	80	7	682
2020-04-16	912	37	76	6	711
2020-04-17	918	37	68	7	720
2020-04-18	924	40	67	8	753
2020-04-19	927	40	61	7	764
2020-04-20	928	42	57	8	770
2020-04-21	928	44	54	9	781
2020-04-22	928	45	49	7	786
2020-04-23	931	45	42	7	793
2020-04-24	936	46	40	7	800
2020-04-25	938	46	32	7	
2020-04-26	940	46	30	8	
2020-04-27	941	46	29	7	
2020-04-28	943	49	28	7	
2020-04-29	946	49	26	7	810
2020-04-30	951	50	24	8	828
2020-05-01	952	50	22	6	833
2020-05-02	955	50	21	5	835
2020-05-03	956	50	21	5	839
2020-05-04	958	50	22	4	840
2020-05-05	959	50	21	4	842
2020-05-06	962	50	21	4	868
2020-05-07	965	50	20	4	870
2020-05-08	966	50	19	4	874
2020-05-09	967	50	16	3	881
2020-05-10	968	50	14	3	882
2020-05-11	970	50	14	3	884
2020-05-12	970	50	15	3	892
2020-05-13	970	50	12	3	894
2020-05-14	971	50	11	3	895
2020-05-15	972	50	11	3	897
2020-05-16	974	50	11	3	904
2020-05-17	974	50	11	3	904
2020-05-18	974	50	12	3	904
2020-05-19	975	50	12	3	916
2020-05-20	976	50			916
2020-05-21	976	50			916
2020-05-22	976	50			916
2020-05-23	976	50	6	3	916
2020-05-24	976	50	5	2	916
2020-05-25	976	50	5	2	920
2020-05-26	976	50	4	2	922
2020-05-27	976	50	4	2	923
2020-05-28	976	50	4	2	923
2020-05-29	978	50	4	2	923
2020-05-30	978	50	5	3	923
2020-05-31	978	50	5	3	923
2020-06-01	978	50	5	3	923
2020-06-02	978	50	5	3	923
2020-06-03	979	50	6	3	923
2020-06-04	979	50	6	3	924
2020-06-05	982	50	6	3	924
2020-06-06	982	50	5	3	926
2020-06-07	982	50	4	3	926
2020-06-08	982	50	4	3	928
2020-06-09	983	50	4	3	928
2020-06-10	983	50	4	3	928
2020-06-11	983	50	3	2	929
2020-06-12	983	50	3	2	930
2020-06-13	983	50	3	2	931
2020-06-14	983	50	3	2	932
2020-06-15	983	50	3	2	932
2020-06-16	983	50	3	2	932
2020-06-17	984	50	3	2	932
2020-06-18	984	50	3	2	933
2020-06-19	985	50	3	2	933
2020-06-20	985	50	3	2	933
2020-06-21	985	50	2	1	934
2020-06-22	985	50	2	1	934
2020-06-23	985	50	2	1	934
2020-06-24	985	50	2	1	934
2020-06-25	985	50	2	1	934
2020-06-26	985	50			934
2020-06-27	985	50			934
2020-06-28	985	50			934
