# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1		3		
2020-02-28	2				
2020-02-29	3		5		
2020-03-01	3		5		
2020-03-02	3		8		
2020-03-03	5		10		
2020-03-04	5		12		
2020-03-05	14		13		
2020-03-06	21		16	3	
2020-03-07	36		16	3	
2020-03-08	44		17	3	
2020-03-09	49		23	5	
2020-03-10	57		28	3	
2020-03-11	79		30	3	6
2020-03-12	104	3	39	5	6
2020-03-13	140	3	43	7	6
2020-03-14	154	3	47	7	6
2020-03-15	162		53	8	
2020-03-16	228	6	63	10	9
2020-03-17	262	6	74	12	38
2020-03-18	306	6	79	9	52
2020-03-19	363	6	69	8	61
2020-03-20	464	7	77	7	66
2020-03-21	589	8	95	10	81
2020-03-22	655	8	108	13	98
2020-03-23	686	8	127	16	118
2020-03-24	727	9	139	18	151
2020-03-25	815	13	142	16	181
2020-03-26	935	17	143	17	228
2020-03-27	1008	18	157	22	275
2020-03-28	1083	18	161	26	319
2020-03-29	1129	21	188	27	351
2020-03-30	1170	22	190	32	430
2020-03-31	1231	26	195	34	543
2020-04-01	1293	29	203	34	581
2020-04-02	1343	31	193	35	622
2020-04-03	1400	35	191	34	674
2020-04-04	1449	43	178	34	743
2020-04-05	1485	45	170	32	840
2020-04-06	1506	45	165	30	904
2020-04-07	1524	47	163	32	973
2020-04-08	1551	52	155	31	1008
2020-04-09	1580	54	146	31	1070
2020-04-10	1605	55	144	31	1110
2020-04-11	1626	55	134	28	1156
2020-04-12	1647	56	136	26	1201
2020-04-13	1668	58	132	25	1242
2020-04-14	1681	59	126	21	1283
2020-04-15	1704	61	120	15	1315
2020-04-16	1725	62	113	15	1358
2020-04-17	1744	62	106	16	1376
2020-04-18	1754	65	104	14	1415
2020-04-19	1762	65	96	15	1443
2020-04-20	1766	67	93	15	1461
2020-04-21	1770	70	81	10	1488
2020-04-22	1772	71	74	10	1498
2020-04-23	1775	71	71	10	1515
2020-04-24	1786	76	54	8	1528
2020-04-25	1791	76	51	8	
2020-04-26	1793	76	48		
2020-04-27	1794	76	44	7	
2020-04-28	1798	79	38	7	
2020-04-29	1805	79	35	8	1593
2020-04-30	1812	80	30	6	1615
2020-05-01	1814	82	29	6	1623
2020-05-02	1820	82	29	7	1629
2020-05-03	1821	82	32	5	1638
2020-05-04	1823	82	30	5	1644
2020-05-05	1825	82	29	5	1650
2020-05-06	1829	83	26	5	1677
2020-05-07	1835	83	25	5	1681
2020-05-08	1837	84	21	4	1688
2020-05-09	1839	84	17	4	1699
2020-05-10	1841	84	16	4	1703
2020-05-11	1843	84	18	4	1705
2020-05-12	1844	84	15	4	1717
2020-05-13	1844	84	13	4	1720
2020-05-14	1845	84	14	4	1721
2020-05-15	1846	84	12		1725
2020-05-16	1849	84	12	4	1732
2020-05-17	1849	85	15	4	1736
2020-05-18	1849	85	15		1736
2020-05-19	1850	85	10		1750
2020-05-20	1851	85	10		1751
2020-05-21	1851	85	10		1751
2020-05-22	1851	85	8		1752
2020-05-23	1851	85	7		1753
2020-05-24	1851	85	7		1754
2020-05-25	1851	85	6		1758
2020-05-26	1851	85			1761
2020-05-27	1851	85			1762
