# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0		
2020-03-01	1	0	0		
2020-03-02	2	0	0		
2020-03-03	2	0	0		
2020-03-04	4	0	0		
2020-03-05	6	0	0		
2020-03-06	7	0	0		
2020-03-07	7	0	0		
2020-03-08	7	0	0		
2020-03-09	9	0	0		
2020-03-10	12	0	0		
2020-03-11	16	0	0		
2020-03-12	22	0	0		
2020-03-13	28	0	0		
2020-03-14	35	0	0		
2020-03-15	39	0	0		
2020-03-16	44	0	0		
2020-03-17	58	0	26	5	
2020-03-18	85	0	11	5	
2020-03-19	109	1	12	5	
2020-03-20	143	1	20	6	
2020-03-21	166	2	28	6	
2020-03-22	203	3	32	8	
2020-03-23	226	4	35	7	
2020-03-24	255	6	35	7	
2020-03-25	293	6	39	7	
2020-03-26	309	11	44	5	
2020-03-27	370	14	50	8	
2020-03-28	423	15	67	12	
2020-03-29	444	15	76	13	
2020-03-30	479	17	77	16	
2020-03-31	493	20	77	20	
2020-04-01	528	23	81	23	
2020-04-02	553	26	80	23	46
2020-04-03	591	31	77	21	46
2020-04-04	640	37	89	21	49
2020-04-05	671	40	87	20	55
2020-04-06	691	41	87	19	56
2020-04-07	732	44	78	22	73
2020-04-08	759	45	80	22	78
2020-04-09	789	46	80	20	84
2020-04-10	799	49	73	19	88
2020-04-11	837	53	68	20	93
2020-04-12	849	54	65	19	97
2020-04-13	862	55	68	17	97
2020-04-14	882	57	68	14	98
2020-04-15	893	63	61	16	105
2020-04-16	910	65	60	15	105
2020-04-17	933	67	66	13	106
2020-04-18	959	69	64	11	109
2020-04-19	984	71	61	12	113
2020-04-20	993	72	62	11	113
2020-04-21	999	74	60	8	115
2020-04-22	1010	76	57	5	116
2020-04-23	1018	76	57	5	118
2020-04-24	1025	76	55	8	119
2020-04-25	1033	76	54	7	119
2020-04-26	1037	77	54	5	120
2020-04-27	1044	78	55	5	120
2020-04-28	1048	78	49	5	121
2020-04-29	1061	78	48	7	123
2020-04-30	1074	78	46	6	123
2020-05-01	1082	78	43	5	123
2020-05-02	1096	79	38	4	129
2020-05-03	1101	79	35	4	130
2020-05-04	1106	79	36	4	130
2020-05-05	1108	80	35	3	131
2020-05-06	1112	80	34	5	131
2020-05-07	1120	80	30	5	134
2020-05-08	1122	81	30	5	134
2020-05-09	1126	82	30	5	134
2020-05-10	1131	83	26	4	137
2020-05-11	1134	83	26	5	137
2020-05-12	1143	83	26	6	138
2020-05-13	1146	84	25	5	139
2020-05-14	1148	84	20	5	142
2020-05-15	1150	84	19	5	143
2020-05-16	1151	84	18	5	143
2020-05-17	1152	84	16	4	144
2020-05-18	1152	84	16	4	144
2020-05-19	1152	84	15	4	144
2020-05-20	1157	84	12	4	144
2020-05-21	1157	84	11	3	146
2020-05-22	1157	84	11	3	146
2020-05-23	1160	84	10	3	146
2020-05-24	1161	84	9	3	147
2020-05-25	1162	84	8	3	148
2020-05-26	1162	84	7	3	148
2020-05-27	1163	84	7	3	148
2020-05-28	1164	84	7	3	149
2020-05-29	1165	84	7	3	149
2020-05-30	1165	84	5	3	150
2020-05-31	1165	84	5	3	150
2020-06-01	1165	84	5	3	150
2020-06-02	1167	84	5	3	150
2020-06-03	1168	84	5	3	150
2020-06-04	1170	84	5	3	150
2020-06-05	1172	84	5	2	150
2020-06-06	1172	84	5	2	150
2020-06-07	1174	84	5	2	150
2020-06-08	1178	84	5	2	150
2020-06-09	1178	84	4	1	150
2020-06-10	1180	84	4	1	150
2020-06-11	1181	84	3	1	150
2020-06-12	1181	84	4	1	150
2020-06-13	1185	84	3	1	150
2020-06-14	1187	84	3	1	150
2020-06-15	1187	84	3	1	150
2020-06-16	1188	84	4	1	150
2020-06-17	1189	84	3	1	151
2020-06-18	1191	84	2	0	151
2020-06-19	1192	84	2	0	151
2020-06-20	1197	84	0		151
2020-06-21	1197	84	0	0	151
2020-06-22	1197	85	3	0	151
2020-06-23	1201	85	2	0	152
2020-06-24	1209	85	2	0	152
2020-06-25	1212	85	2	0	152
2020-06-26	1217	85	3	0	152
2020-06-27	1221	85	0		152
2020-06-28	1226	85	0		152
2020-06-29	1226	85	4	0	152
2020-06-30	1226	85	4	0	152
2020-07-01	1237	85	3	0	152
2020-07-02	1245	85	3	0	152
2020-07-03	1250	85	4	1	152
2020-07-04	1253	85	4	1	152
2020-07-05	1258	85	4	1	152
2020-07-06	1260	85	4	1	152
2020-07-07	1262	85	4	1	152
2020-07-08	1265	85	4	1	152
2020-07-09	1266	85	4	1	152
2020-07-10	1270	85	3	1	153
2020-07-11	1273	85	1	1	155
2020-07-12	1278	85	1	1	155
2020-07-13	1281	85	1	1	155
2020-07-14	1281	85	1	1	155
2020-07-15	1285	85	1	1	155
2020-07-16	1289	85	2	1	155
2020-07-17	1291	85	2	1	155
2020-07-18	1299	85	2	1	155
2020-07-19	1304	85	3	1	155
2020-07-20	1311	85	3	1	155
2020-07-21	1312	85	2	1	156
2020-07-22	1318	85	2	1	156
2020-07-23	1319	85	2	1	156
2020-07-24	1322	85	2	1	156
2020-07-25	1326	85	1	1	157
2020-07-26	1327	85	1	1	157
2020-07-27	1328	85	1	1	157
2020-07-28	1332	85	1	1	157
2020-07-29	1339	85	1	1	157
2020-07-30	1349	85	2	1	157
2020-07-31	1357	85	2	1	157
2020-08-01	1360	85	2	1	157
2020-08-02	1365	85	1	1	158
2020-08-03	1367	85	1	2	158
2020-08-04	1367	85	1	1	158
2020-08-05	1375	85	1	1	158
2020-08-06	1380	85	1	1	158
2020-08-07	1384	85	1	1	158
2020-08-08	1385	85	1	1	158
2020-08-09	1391	85	1	1	158
2020-08-10	1396	85	2	1	158
2020-08-11	1400	85	2	1	158
2020-08-12	1408	85	2	1	158
2020-08-13	1412	85	2	1	158
2020-08-14	1415	85	2	1	158
2020-08-15	1425	85	3	1	158
2020-08-16	1432	85	3	1	158
2020-08-17	1435	85	3	1	158
2020-08-18	1441	85	3	1	158
2020-08-19	1458	85	4	1	158
2020-08-20	1471	85	2	1	160
2020-08-21	1494	85	2	0	160
2020-08-22	1523	85	4	1	160
2020-08-23	1557	85	4	1	160
2020-08-24	1568	85	3	1	160
2020-08-25	1578	85	2	0	160
2020-08-26	1601	85	2	0	160
2020-08-27	1619	85	2	0	160
2020-08-28	1640	85	3	0	160
2020-08-29	1660	85	3	0	162
2020-08-30	1685	85	3	1	162
2020-08-31	1692	85	5	1	162
2020-09-01	1709	85	5	0	163
2020-09-02	1736	85	5	0	163
2020-09-03	1771	85	5	1	163
2020-09-04	1805	85	6	1	163
2020-09-05	1826	85	5	1	164
2020-09-06	1880	87	5	1	164
2020-09-07	1904	87	5	1	164
2020-09-08	1926	88	6	0	164
2020-09-09	1980	88	6	0	164
2020-09-10	2022	88	11	0	164
2020-09-11	2042	88	18	2	164
2020-09-12	2078	88	20	1	164
2020-09-13	2111	88	21	1	164
2020-09-14	2130	88	22	2	164
2020-09-15	2156	88	20	2	165
2020-09-16	2184	95	17	1	166
2020-09-17	2202	97	19	1	166
2020-09-18	2229	98	14	2	168
2020-09-19	2266	101	9	2	169
2020-09-20	2282	101	9	2	171
2020-09-21	2289	101	9	3	171
2020-09-22	2319	101	9	3	171
2020-09-23	2332	102	9	2	171
2020-09-24	2340	102	9	2	172
2020-09-25	2357	102	9	3	173
2020-09-26	2375	102	9	3	173
2020-09-27	2393	102	10	3	173
2020-09-28	2396	102	11	3	173
2020-09-29	2411	102	11	2	173
2020-09-30	2427	102	9	2	174
2020-10-01	2452	102	9	2	174
2020-10-02	2476	102	8	2	175
2020-10-03	2500	102	8	1	176
2020-10-04	2526	102	9	1	176
2020-10-05	2537	102	10	1	176
2020-10-06	2575	102	10	1	177
2020-10-07	2621	102	11	1	177
2020-10-08	2670	102	11	1	177
2020-10-09	2748	102	12	2	177
2020-10-10	2892	102	14	1	177
2020-10-11	2959	103	13	1	179
2020-10-12	3050	103	13	1	180
2020-10-13	3157	104	13	2	182
2020-10-14	3295	105	21	3	183
2020-10-15	3446	106	24	3	185
2020-10-16	3604	106	26	3	189
2020-10-17	3784	106	33	5	190
2020-10-18	4007	107	35	5	191
2020-10-19	4216	107	41	6	191
2020-10-20	4450	108	43	5	193
2020-10-21	4732	110	46	6	195
2020-10-22	5039	110	60	5	198
2020-10-23	5532	112	61	7	205
2020-10-24	6007	116	66	10	213
2020-10-25	6303	118	74	13	217
2020-10-26	6788	119	83	10	218
2020-10-27	7277	121	95	12	224
2020-10-28	7879	123	105	11	233
2020-10-29	8420	129	123	16	244
2020-10-30	9208	133	133	16	257
2020-10-31	9896	136	146	17	265
2020-11-01	10410	140	161	19	269
2020-11-02	10918	148	175	18	272
2020-11-03	11562	156	190	19	285
2020-11-04	12367	169	195	22	296
2020-11-05	13241	176	199	23	316
2020-11-06	13916	183	202	24	331
2020-11-07	14624	201	196	22	348
2020-11-08	15051	201	192	24	365
2020-11-09	15364	219	200	25	372
2020-11-10	15958	226	212	24	382
2020-11-11	16552	233	212	23	397
2020-11-12	17058	238	211	23	417
2020-11-13	17496	253	205	21	428
2020-11-14	17847	261	186	21	452
2020-11-15	18001	268	189	23	458
2020-11-16	18210	276	196	22	461
2020-11-17	18438	282	197	20	470
2020-11-18	18752	292	189	26	485
2020-11-19	19052	297	178	24	500
2020-11-20	19225	302	169	23	511
2020-11-21	19360	307	158	23	523
2020-11-22	19454	311	156	23	528
2020-11-23	19690	322	155	22	529
2020-11-24	19839	325	156	21	543
2020-11-25	19992	329	158	19	547
2020-11-26	20139	335	148	19	556
2020-11-27	20244	335	141	20	567
2020-11-28	20355	340	131	18	580
2020-11-29	20405	340	124	18	589
2020-11-30	20507	345	126	20	589
2020-12-01	20643	349	115	17	599
2020-12-02	20795	351	107	17	605
2020-12-03	20921	357	84	16	609
2020-12-04	21036	357	88	15	615
2020-12-05	21137	357	82	15	623
2020-12-06	21205	359	87	16	623
2020-12-07	21291	363	88	16	627
2020-12-08	21384	364	90	18	633
2020-12-09	21500	370	90	16	635
2020-12-10	21601	370	88	15	639
2020-12-11	21712	373	84	14	642
2020-12-12	21810	376	85	16	645
2020-12-13	21878	377	86	17	645
2020-12-14	21970	381	87	14	645
2020-12-15	22066	383	86	16	649
2020-12-16	22154	386	79	16	653
2020-12-17	22237	389	68	14	660
2020-12-18	22316	391	66	11	660
2020-12-19	22410	395	59	10	664
2020-12-20	22478	396	58	11	666
2020-12-21	22545	398	62	13	666
2020-12-22	22640	400	60	13	673
2020-12-23	22730	402	58	12	675
2020-12-24	22856	402	57	10	678
2020-12-25	22905	402	54	12	680
2020-12-26	22954	402	55	10	683
