# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	116	1	13		
2020-03-19	145	1	18		
2020-03-20	213	3	24		
2020-03-21	239	3	24		
2020-03-22	266	6	27		
2020-03-24	276	6	29		
2020-03-25	322	6	43		
2020-03-26	373	9	45		
2020-03-27	409	9	52		
2020-03-30	497	12	63		
2020-03-31	513	19	58		
2020-04-01	521	21	58		
2020-04-02	569	23	59		
2020-04-03	598	27	60		
2020-04-05	646	30	49		
2020-04-06	657	31	52		
2020-04-07	668	34	49		
2020-04-08	680	35	38		
2020-04-09	704	35	39		
2020-04-10	715	35	35		
2020-04-11	728	35	35		
2020-04-12	732	35	35		
2020-04-13	735	35	34		
2020-04-14	740	37	34		
2020-04-15	746	38	36		
2020-04-16	752	39	37		
2020-04-19	769	40	28		
