# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1	0	1	0	
2020-02-28	1	0	1	0	
2020-02-29	1	0	1	0	
2020-03-01	1	0	1	0	
2020-03-02	1	0	1	0	
2020-03-03	2	0	1	0	
2020-03-04	2	0	1	0	
2020-03-05	4	0	2	0	
2020-03-06	4	0	5	0	
2020-03-07	5	0	5	0	
2020-03-08	5	0	5	0	
2020-03-09	7	0	5	0	
2020-03-10	7	0	5	0	
2020-03-11	7	0	6	0	
2020-03-12	12	0	6	0	
2020-03-13	17	0	8	0	
2020-03-14	18	0	8	0	
2020-03-15	19	0	9	0	
2020-03-16	25	0	9	0	
2020-03-17	29	0	11	0	
2020-03-18	32	0	11	0	
2020-03-19	36	0	12	0	
2020-03-20	44	0	14	1	
2020-03-21	54	0	13	1	
2020-03-22	61	0	18	2	
2020-03-23	69	0	18	3	
2020-03-24	82	0	22	4	
2020-03-25	92	0	23	4	
2020-03-26	100	0	22	4	
2020-03-27	114	0	25	6	
2020-03-28	119	0	27	5	
2020-03-29	127	0	28	5	
2020-03-30	128	0	28	5	
2020-03-31	140	0	29	5	
2020-04-01	145	0	29	5	
2020-04-02	149	0	29	3	
2020-04-03	149	0	28	3	
2020-04-04	154	0	27	3	
2020-04-05	160	0	29	4	
2020-04-06	164	0	27	4	
2020-04-07	171	0	28	4	
2020-04-08	174	1	31	4	
2020-04-09	179	1	28	5	
2020-04-10	182	3	25	5	
2020-04-11	183	3	23	5	
2020-04-12	183	3	22	5	
2020-04-13	184	3	24	5	
2020-04-14	185	3	21	5	
2020-04-15	188	3	17	5	
2020-04-16	189	3	18	5	
2020-04-17	191	3	18	5	
2020-04-18	192	3	17	5	
2020-04-19	192	5	16	5	
2020-04-20	195	6	14	4	
2020-04-21	195	6	12	4	
2020-04-22	196	6	12	4	
2020-04-23	196	6	11	4	
2020-04-24	196	6	12	4	
2020-04-25	196	6	12	4	
2020-04-26	196	6	12	4	
2020-04-27	196	7	10	4	
2020-04-28	197	7	10	5	
2020-04-29	197	7	9	5	
2020-04-30	198	7	8	5	
2020-05-01	198	7	8	5	
2020-05-02	198	7	8	5	
2020-05-03	198	7	8	5	
2020-05-04	198	7	8	5	
2020-05-05	201	7	8	5	
2020-05-06	201	7	9	5	
2020-05-07	201	7	7	4	
2020-05-08	202	7	6	4	
2020-05-09	202	7	6	4	
2020-05-10	202	7	6	4	
2020-05-11	202	7	4	3	
2020-05-12	202	7	4	3	
2020-05-13	202	7	2	2	
2020-05-14	202	7	2	2	
2020-05-15	202	7	2	2	
2020-05-16	202	7	2	2	
2020-05-17	202	7	3	2	
2020-05-18	202	7	3	2	
2020-05-19	203	7	3	2	
2020-05-20	203	7	3	2	
2020-05-21	204	7	4	1	
2020-05-22	204	7	2	1	
2020-05-23	204	7	3	2	
2020-05-24	204	7	3	2	
2020-05-25	204	7	3	2	
2020-05-26	204	7	3	2	
2020-05-27	205	7	3	1	
2020-05-28	205	7	3	1	
2020-05-29	205	7	3	1	
2020-05-30	205	7	3	1	
2020-05-31	205	7	3	1	
2020-06-01	205	7	3	1	
2020-06-02	205	7	1	0	
2020-06-03	205	7	1	0	
2020-06-04	205	7	1	0	
2020-06-05	205	7	1	0	
2020-06-06	205	7	1	0	
2020-06-07	205	7	1	0	
2020-06-08	205	7	1	0	
2020-06-09	205	7	1	0	
2020-06-10	205	7	1	0	
2020-06-11	205	7	1	0	
2020-06-12	205	7	1	0	
2020-06-13	206	7	1	0	
2020-06-14	206	7	1	0	
2020-06-15	206	7	1	0	
2020-06-16	206	7	1	0	
2020-06-17	206	7	1	0	
2020-06-18	206	7	1	0	
2020-06-19	206	7	0	0	
2020-06-20	206	7	0	0	
2020-06-21	208	7	0	0	
2020-06-22	208	7	0	0	
2020-06-23	208	7	0	0	
2020-06-24	208	7	0	0	
2020-06-25	210	7	0	0	
